,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxM2V5eGJBEAE,Enoch Tetteh,https://www.google.com/maps/contrib/101285651383444949363/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.331700,5.0,25,"This is the best place by far to skate, run, jog, walk, have picnics and meet people of all walks of life. I've been at this place on 4 different occassion, just seated close to the street to watch people have fun, while listening to afrobeat music.

But today I decided to take a walk around, and was astonished at how big and well maintained the place is. It's now my go-to place for running and walking. I really love everything about this place. Hoping to meet people and make friends there"
1,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxazVhMVFREAE,Gilbert Ekale Amoding,https://www.google.com/maps/contrib/103408265176117354583/reviews?hl=en-US,5 days ago,2021-06-23 21:01:23.334646,5.0,10,"An extremely large park with running spaces, cycling and party spots. The environment is mesmerizing. It's popular for friends hangout, and family outdoor party."
2,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxbU1Ma1lnEAE,Nina Severa,https://www.google.com/maps/contrib/109737861091181042225/reviews?hl=en-US,4 weeks ago,2021-06-23 21:01:23.336331,5.0,39,"Beautiful large spacious parc. Although its a popular parc, there is a lot of space an its not over crowded. There are toilets open during the pandemic, functioning water fountains and If you know, dance parties."
3,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxZy1UV2JBEAE,Calin Giurgiu,https://www.google.com/maps/contrib/114056647584033297511/reviews?hl=en-US,6 days ago,2021-06-23 21:01:23.337743,4.0,11,If this humongous park would have sort of a lake or any body of water it would be a 5 star park. Shame they didn't design one. We can only hope. Also more trees would be nice.
4,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxalpPU2NnEAE,Jay Silverfox,https://www.google.com/maps/contrib/108703437977241775789/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.339715,3.0,157,I wish people would be more careful with the cyclists as some areas are shared for walking and cycling. Would also be nicer if some cyclists didn't believe they were on race tracks.
5,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxaDgyald3EAE,Manuela Caballero López,https://www.google.com/maps/contrib/106102894228483656326/reviews?hl=en-US,2 days ago,2021-06-23 21:01:23.341808,5.0,18,Such a beautiful and quiet place to visit. You will fall in love immediately.
6,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxdk42MWh3RRAB,Mo Alawami,https://www.google.com/maps/contrib/115573873305911089155/reviews?hl=en-US,3 weeks ago,2021-06-23 21:01:23.343998,5.0,27,"It's huge and beautiful! Even when it's busy, you can find a secluded spot. When somewhere in the middle of the park, it doesn't feel like you're in the city, I love it!"
7,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxM0lYbUxBEAE,Robert Mumba,https://www.google.com/maps/contrib/112077783364252784438/reviews?hl=en-US,3 weeks ago,2021-06-23 21:01:23.345215,5.0,4,"It's so beautiful, quiet ,clean with a lot of space. Suitable for social distance."
8,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSURLdGR6SHpnRRAB,Linda N'dri,https://www.google.com/maps/contrib/116797626466780006928/reviews?hl=en-US,a month ago,2021-06-23 21:01:23.346299,5.0,34,"Beautiful, large park in the middle of the city. Nice for relaxing, picnic. Lovely place"
9,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxZ3F6Sm1RRRAB,rassem chamaa,https://www.google.com/maps/contrib/117665011660217772910/reviews?hl=en-US,3 weeks ago,2021-06-23 21:01:23.347305,4.0,74,Perfect place for a kids bday... the weather was on our side. A lot of police was there nd there was a lot of people who had the same idea
10,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSURLdVlPbW1nRRAB,Veronica Nevado,https://www.google.com/maps/contrib/111204160984720114810/reviews?hl=en-US,a month ago,2021-06-23 21:01:23.349097,4.0,17,"Love this parc, big enough have a lot a space for picnics and barbecue. I love walking there with my dog"
11,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxa08tSnpRRRAB,Joseph Izzo,https://www.google.com/maps/contrib/108993879345017678168/reviews?hl=en-US,4 weeks ago,2021-06-23 21:01:23.350836,5.0,27,Beautiful place . It's a really big park but no amusements for children.  You'll have to bring some.
12,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxNWFmRnFnRRAB,Louis-Philippe Trempe,https://www.google.com/maps/contrib/105815614361945276813/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.351991,5.0,31,One of the nicest and natural park in Montreal at 2 min of the jardin botanique
13,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUM4dkt5ME53EAE,David Beghin,https://www.google.com/maps/contrib/111284601457096064415/reviews?hl=en-US,5 months ago,2021-06-23 21:01:23.353034,5.0,43,"Giant park of Eastern Montreal, with tons of activities summer like winter.
The park is so big it's like you never feel it's Crowded.
Perfect for chilling and BBQ smduring summer.
Perfect for cross-country skiing and walk in winter.
There's an ice skating park also.
Botanic garden at the same place.
My favorite park in MTL :-)"
14,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxcmRiM0V3EAE,Luc Gauthier,https://www.google.com/maps/contrib/116126010988192719426/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.354638,4.0,3,"Quiet bike rides on week days
Also quiet bike rides on weekends before 09:00"
15,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxbGNEMTRnRRAB,Ayman garout,https://www.google.com/maps/contrib/104900704794824453066/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.355653,3.0,27,"Only empty green large space
Good for relaxing and tanning"
16,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxcEs3Vzd3RRAB,Natia dubé,https://www.google.com/maps/contrib/102722236105061797884/reviews?hl=en-US,3 weeks ago,2021-06-23 21:01:23.356710,5.0,40,"Beautiful, big park! Super family oriented and perfect place for a picnic!"
17,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNpeGJxZEx3EAE,M M,https://www.google.com/maps/contrib/108107689889180477203/reviews?hl=en-US,5 days ago,2021-06-23 21:01:23.357731,5.0,271,Lots og space. Beautiul green.
18,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNLcFo3NlFnEAE,Negar Rahele Safe,https://www.google.com/maps/contrib/102777234920043931814/reviews?hl=en-US,2 months ago,2021-06-23 21:01:23.358843,5.0,57,"Very big beautiful park, with lots of wooden benches and flat grass area for the families to go on a picnic, and also special track for runners and bikers."
19,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNLMGRmaHFBRRAB,Xavier Sierra,https://www.google.com/maps/contrib/107601623703528684366/reviews?hl=en-US,2 months ago,2021-06-23 21:01:23.359791,4.0,18,"Huge park, no one will be close enough to bother you, but not much for tables and chairs. Bring your own"
20,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNLaTd1UDhRRRAB,Ermanno Napolitano,https://www.google.com/maps/contrib/110318408617550462301/reviews?hl=en-US,2 months ago,2021-06-23 21:01:23.361085,5.0,25,Very nice place for family gatherings. So well organized and clean.
21,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNxeFpDekFnEAE,simran bhalla,https://www.google.com/maps/contrib/117902306807672638416/reviews?hl=en-US,a week ago,2021-06-23 21:01:23.362022,5.0,19,Good place to play and have family picnic.
22,Parc Maisonneuve,ChZDSUhNMG9nS0VJQ0FnSUNLeGRQTVhREAE,Kevin Drury,https://www.google.com/maps/contrib/116759577384717969993/reviews?hl=en-US,2 months ago,2021-06-23 21:01:23.362951,4.0,20,Went walking around. It was great. Toilets on Sherbrooke St.
23,Parc Maisonneuve,ChdDSUhNMG9nS0VJQ0FnSUNxOEtuSXVBRRAB,Marco Hidalgo,https://www.google.com/maps/contrib/100712282369761495712/reviews?hl=en-US,4 weeks ago,2021-06-23 21:01:23.364057,5.0,16,Beautiful park one of montreal’s biggest parks
