,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSUNDbFpPRGNBEAE,Miss Kothy,https://www.google.com/maps/contrib/100821959782294725248/reviews?hl=en-CA,9 months ago,2021-06-24 13:40:38.429714,5.0,96,Beautiful ❤
1,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSUM4Z3BPbFZ3EAE,Chantal La Merveilleuse,https://www.google.com/maps/contrib/111906973104800887475/reviews?hl=en-CA,11 months ago,2021-06-24 13:40:38.432015,4.0,18,"(Translated by Google) Very nice park, with a beautiful period house to visit on the water's edge

(Original)
Très joli parc, avec une belle maison d'époque à visiter sur le bord de l'eau"
2,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSUQ4c2FmamVREAE,Francois Ethier,https://www.google.com/maps/contrib/110281979496206448173/reviews?hl=en-CA,11 months ago,2021-06-24 13:40:38.445665,3.0,210,"(Translated by Google) Park very well when shows are presented otherwise it remains a green space with the Beaudry house

(Original)
Parc très bien quand des spectacles sont présentés sinon ça reste un espace vert avec la maison Beaudry"
3,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSURjNU8yZ1V3EAE,Francois Lebrun,https://www.google.com/maps/contrib/112073048862586069370/reviews?hl=en-CA,a year ago,2021-06-24 13:40:38.447557,4.0,1,"(Translated by Google) Super wifi but it misses the dock for fishermen !!

(Original)
Super le wifi mais il manque le quai pour les pêcheurs !!"
4,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSURjeEtITVd3EAE,We506 Anjou,https://www.google.com/maps/contrib/113119700536443672388/reviews?hl=en-CA,a year ago,2021-06-24 13:40:38.449523,5.0,114,"(Translated by Google) Very nice park for a picnic.

(Original)
Très beau parc pour un pique-nique."
5,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSURVcXJqNXd3RRAB,thérèse leduc,https://www.google.com/maps/contrib/115223597003325302909/reviews?hl=en-CA,a year ago,2021-06-24 13:40:38.450769,1.0,15,"(Translated by Google) Emile Bilodeau flat and no voice. I left after 5 min.

(Original)
Emile Bilodeau plate et pas de voix. Je suis partie après 5 min."
6,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSUQ4dTd5bC1BRRAB,Marc-Yves G. Ulysse,https://www.google.com/maps/contrib/116704468662124026300/reviews?hl=en-CA,10 months ago,2021-06-24 13:40:38.461882,4.0,0,
7,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSURDak1xRThnRRAB,Martin Rivard,https://www.google.com/maps/contrib/100665661582744246064/reviews?hl=en-CA,9 months ago,2021-06-24 13:40:38.463501,4.0,66,
8,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSUNDLS1pdzdBRRAB,Devil on a Rainbow,https://www.google.com/maps/contrib/114704968265507217079/reviews?hl=en-CA,9 months ago,2021-06-24 13:40:38.466130,5.0,7,
9,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSURVcnBUZ3ZBRRAB,Gilles Baril,https://www.google.com/maps/contrib/117767297619569196468/reviews?hl=en-CA,a year ago,2021-06-24 13:40:38.470380,5.0,0,
10,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSUM4NXFPM3BBRRAB,Francois Boucher,https://www.google.com/maps/contrib/111391483100062871432/reviews?hl=en-CA,11 months ago,2021-06-24 13:40:38.471887,4.0,20,
11,Parc Marcel-Léger,ChdDSUhNMG9nS0VJQ0FnSUNxaWJ1WGdRRRAB,Michel Landreville,https://www.google.com/maps/contrib/109671060655452880574/reviews?hl=en-CA,a week ago,2021-06-24 13:40:38.473876,4.0,37,
12,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSURLX05fcGRnEAE,Charles Barthe,https://www.google.com/maps/contrib/112238341411052258266/reviews?hl=en-CA,a month ago,2021-06-24 13:40:38.479916,5.0,41,
13,Parc Marcel-Léger,ChZDSUhNMG9nS0VJQ0FnSUMwaFBLVU1REAE,A Google User,https://www.google.com/maps/contrib/102060841692789059093/reviews?hl=en-CA,a year ago,2021-06-24 13:40:38.481521,4.0,1,
