,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNxNFpHbkt3EAE,Antonia Kandilerakis,https://www.google.com/maps/contrib/103984007721908295601/reviews?hl=en-CA,a week ago,2021-06-22 11:25:16.279298,5.0,9,Love the place.  Walk the dogs there every morning.  Don't like the bikes riding through there.  They are suppose to walk not ride.
1,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSURTdzZHQi1nRRAB,Daniel Carrera,https://www.google.com/maps/contrib/101883458568556881881/reviews?hl=en-CA,5 months ago,2021-06-22 11:25:16.281910,5.0,6,"Very good park to go for a walk and relax. The park is divided into two sections separated by Henri-Bourassa Blvd. The first section has basketball and tennis courts, soccer and baseball fields, indoor ice-skating arena, outdoor swimming pool and a small skating park. In January 2021, a pond has frozen forming an outdoor ice skating field. The second and smaller section has a track for walking and relaxing. Both sections have a playground for small children, benches and areas for picnic."
2,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNnNlpLRkdREAE,Mathew Flood,https://www.google.com/maps/contrib/103836829486495202664/reviews?hl=en-CA,3 years ago,2021-06-22 11:25:16.283143,5.0,201,"They just built a new play structure for toddlers and older kids.it has different musical instruments attached to it. Also very big walking paths with trees, water and different art pieces around."
3,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSURLcnY3ZUx3EAE,soniskars Usuc4uhi,https://www.google.com/maps/contrib/102286638173684158082/reviews?hl=en-CA,a month ago,2021-06-22 11:25:16.284144,4.0,2,2-3 years ago it was cleaner and better maintained.
4,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSURTMHR6WDR3RRAB,Pramod Vohra,https://www.google.com/maps/contrib/114520730545464244281/reviews?hl=en-CA,5 months ago,2021-06-22 11:25:16.285140,3.0,76,"Nice park for a stroll. The only problem is that some people along with their children don't follow the social distancing guidelines. Also, many people walking don't wear masks or follow social distancing when other people are coming from the opposite direction."
5,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNxb3RpLXJnRRAB,Sarmiha,https://www.google.com/maps/contrib/115553548616815289386/reviews?hl=en-CA,3 weeks ago,2021-06-22 11:25:16.286733,5.0,10,Nice plàce to walk and  do the activities
6,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUN5MXEzTVh3EAE,Alina Maria Proca,https://www.google.com/maps/contrib/101382242694931612548/reviews?hl=en-CA,4 months ago,2021-06-22 11:25:16.289342,4.0,9,Love this place. I live nearby and we go very often .
7,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNxeDYyaVJBEAE,Waseem Rafie,https://www.google.com/maps/contrib/112534162262975623576/reviews?hl=en-CA,a day ago,2021-06-22 11:25:16.291076,5.0,44,Very nice
8,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSURLNnR5LW9RRRAB,Gilles Raquer,https://www.google.com/maps/contrib/112622087760069480880/reviews?hl=en-CA,a month ago,2021-06-22 11:25:16.292640,4.0,69,Table a picnic.
9,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSUNLeWZpdG1BRRAB,Abdulrahman Braighish,https://www.google.com/maps/contrib/109869423962244149966/reviews?hl=en-CA,2 months ago,2021-06-22 11:25:16.294762,2.0,41,There are not many children's games
10,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNDcUpPbVFBEAE,Suzanne P,https://www.google.com/maps/contrib/111642101511816081786/reviews?hl=en-CA,10 months ago,2021-06-22 11:25:16.297615,5.0,3,"Very well maintained grounds, excellent tennis court surfaces. Went at 10:15 am on a Sunday and only had a 10 minute wait for a court."
11,Parc Marcelin-Wilson,ChdDSUhNMG9nS0VJQ0FnSURRdTVIdC1BRRAB,Juan Pablo Mo,https://www.google.com/maps/contrib/103409527796607059001/reviews?hl=en-CA,5 months ago,2021-06-22 11:25:16.299622,5.0,645,A very nice park!!
12,Parc Marcelin-Wilson,ChZDSUhNMG9nS0VJQ0FnSUNnajRmdVVBEAE,Randa E.C,https://www.google.com/maps/contrib/104401319819339721331/reviews?hl=en-CA,2 years ago,2021-06-22 11:25:16.301533,5.0,11,"It’s amazing. It has a small skate park, a football field, a basketball field, a baseball field, a tennis terrain, an ice-skating rink and a pool (olympic + baby + water games). It also has two spots for children to play with slides and such and to even play with some musical instruments as well. It has a cute little bridge and some “cultural” spots for Phoenicians. It is also like any other park: green with benches and picnic tables. Almost in the middle, there is a big empty space that one can be creative with. It doesn’t end there! There is a forest with several entrances! It’s like one moment you’re in the street, the other you’re lost in some interesting and mysterious place coming out of a movie. I explored most of it, but I didn’t go deep into the “forest” because it was beginning to get dark. I am totally in love with this place. Almost forgot: there’s also a community garden (and maybe a museum, I am not really sure about the museum because I didn’t check it out)."
