,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUNxMVpLSEtREAE,Tobias Huang,https://www.google.com/maps/contrib/109995983288068979259/reviews?hl=en-CA,a week ago,2021-06-22 11:28:58.884382,5.0,23,"Great views. When I was there for the first time (early June), there were cute little baby geese which was cool."
1,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUNBa0pPWFFBEAE,Anne K,https://www.google.com/maps/contrib/118271292169461430527/reviews?hl=en-CA,3 years ago,2021-06-22 11:28:58.885740,5.0,90,"Beautiful park with paved walks, bike path and lookouts"
2,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUNxMWN5dlZBEAE,liang huang,https://www.google.com/maps/contrib/117586335030595898161/reviews?hl=en-CA,a week ago,2021-06-22 11:28:58.886858,5.0,38,Beautiful park
3,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNJaTlMQXdBRRAB,A P,https://www.google.com/maps/contrib/104004465445714284873/reviews?hl=en-CA,2 years ago,2021-06-22 11:28:58.888101,5.0,164,"Good variety, I seldom go there.

You can find stuff that you cannot find in some other places.

Good quality stuff!

I would go there every time in the future.

You should look at what they offer and choose what is best for you!

Very nice place and I will go there again in the future, I like that is not far from where I live and it’s not very busy in the week-ends.

I’m sure you’ll find it pleasant easy accessible and comforting."
4,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUM4LXVYNTJnRRAB,Donna Gordon,https://www.google.com/maps/contrib/102467682238548636190/reviews?hl=en-CA,11 months ago,2021-06-22 11:28:58.889254,5.0,142,It was wonderful.  Friendly people.
5,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUM4a29ld0F3EAE,Monica Lugo,https://www.google.com/maps/contrib/117734219728619440447/reviews?hl=en-CA,11 months ago,2021-06-22 11:28:58.890585,5.0,642,Beautiful place .Peace and calm
6,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNDdmR2d3dnRRAB,goldie dilwinder,https://www.google.com/maps/contrib/113573421381867440183/reviews?hl=en-CA,9 months ago,2021-06-22 11:28:58.891995,5.0,31,Good place for mental peace
7,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSURVcm82S2NnEAE,Amrit Singh Bhat,https://www.google.com/maps/contrib/102910383266988760210/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.893265,4.0,16,One of the best park I went
8,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSURZenBEeEN3EAE,Rosa Isela,https://www.google.com/maps/contrib/103243460534498596292/reviews?hl=en-CA,2 years ago,2021-06-22 11:28:58.894412,5.0,281,Very nice area to go for a walk.
9,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNVdWVEamxBRRAB,Faty Amar,https://www.google.com/maps/contrib/105532501412448570116/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.900061,2.0,2,They need to have more chairs
10,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUN3eVltb2pBRRAB,M. Oviedo,https://www.google.com/maps/contrib/111032491698840800276/reviews?hl=en-CA,3 years ago,2021-06-22 11:28:58.902477,5.0,30,"Great view of the river. Peaceful place for walking, jogging, bicking, fishing, even meditation, or simple contemplation. This is the Parc de l'Aqueduct renewed."
11,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUR3OXViZUR3EAE,Lynn Lalynzy,https://www.google.com/maps/contrib/118056007797209575910/reviews?hl=en-CA,2 years ago,2021-06-22 11:28:58.904790,5.0,32,Love IT there so beautiful 💓💓💓
12,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUMwNWNYRUpREAE,Maxim Beiline,https://www.google.com/maps/contrib/104263569999100872729/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.906204,5.0,335,"Nice Park,  highly recommend"
13,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSURVZ2UtT3RRRRAB,verere adasen,https://www.google.com/maps/contrib/105413426479532701323/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.908345,5.0,121,Beautiful parc
14,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNpM05DUmtRRRAB,Fanny Auclair,https://www.google.com/maps/contrib/117419444532123341953/reviews?hl=en-CA,7 months ago,2021-06-22 11:28:58.909687,5.0,229,"(Translated by Google) Very close to the river! Clean and very well appointed place.

(Original)
Tout près du fleuve! Endroit propre et très bien aménagé."
15,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNVXzVlRGlnRRAB,claudine bouchard,https://www.google.com/maps/contrib/105847404877497000331/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.911517,5.0,154,"(Translated by Google) We have been seeing a very beautiful park show

(Original)
Nous avons été voir un spectacle très beau parc"
16,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSURBNDVMdWJBEAE,Serge Purtell,https://www.google.com/maps/contrib/116034081017365317692/reviews?hl=en-CA,3 years ago,2021-06-22 11:28:58.914697,3.0,161,"(Translated by Google) Super nice but dogs are not tolerated even on a leash.

(Original)
Super nice mais les chiens ne sont pas tolérés meme en laisse."
17,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUNnNXVpZ0RREAE,Alex Cournoyer,https://www.google.com/maps/contrib/101893484882593890082/reviews?hl=en-CA,3 years ago,2021-06-22 11:28:58.916232,4.0,1,"(Translated by Google) Marie-Claire Kirkland-Casgrain was the first woman member of the Legislative Assembly of Quebec, the first woman member of the Cabinet and the first woman to hold a national funeral. The park offers a splendid view of the river and encourages contemplation.

(Original)
Marie-Claire Kirkland-Casgrain a été la première femme députée de l'Assemblée législative du Québec, la première femme membre du Conseil des ministres ainsi que la première femme à obtenir des funérailles nationales. Le parc offre une vue splendide sur le fleuve et incite à la contemplation."
18,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUQwdWNlM2VnEAE,Denis B,https://www.google.com/maps/contrib/101280752168019172200/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.917658,5.0,59,"(Translated by Google) Great stop on the river

(Original)
Super arrêt sur le fleuve"
19,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSUNVdzU3bld3EAE,Charn Devgun,https://www.google.com/maps/contrib/103319155489588972604/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.919792,5.0,5,"(Translated by Google) God

(Original)
Gud"
20,Parc Marie-Claire-Kirkland-Casgrain,ChZDSUhNMG9nS0VJQ0FnSURrbU5iMVpnEAE,daniel page,https://www.google.com/maps/contrib/112740510350143244860/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.921304,1.0,30,"(Translated by Google) no public toilet

(Original)
pas de toilette publique"
21,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSUNVemZhRmhBRRAB,Carole Proteau,https://www.google.com/maps/contrib/118080368266805614695/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.922683,4.0,66,"(Translated by Google) Super beautiful

(Original)
Super beau"
22,Parc Marie-Claire-Kirkland-Casgrain,ChdDSUhNMG9nS0VJQ0FnSURNOC1xb19RRRAB,Omar Guillermo Chávez Vázquez,https://www.google.com/maps/contrib/110801936278225195954/reviews?hl=en-CA,a year ago,2021-06-22 11:28:58.924451,5.0,2,
