,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNVMS1XdWdRRRAB,Shahram Shams,https://www.google.com/maps/contrib/106099990183761873072/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.808461,5.0,198,"Picturesque, quiet place for meditation."
1,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSUM0cDl1R1JnEAE,MenameFCDDD,https://www.google.com/maps/contrib/106823410078298361268/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.811045,5.0,9,Wonderful walk around the river. Biking there is nice too. Bring mosquito repellent if you want to stop and take in the natures beauty.
2,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUMwaDV6dnN3RRAB,Francis Haley,https://www.google.com/maps/contrib/110320527374359418830/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.812904,5.0,120,Waterfront park on Nun's Island with a playground
3,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSUR3NUstMlJnEAE,Lea Huang,https://www.google.com/maps/contrib/109582537439074881208/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.813852,5.0,18,"nice place , quite and fresh"
4,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSURncTlIU0FREAE,Gustavo F N,https://www.google.com/maps/contrib/107174323130398465109/reviews?hl=en-CA,5 years ago,2021-06-24 13:47:03.815282,3.0,352,Nice place.
5,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSUNLMXYtU1hREAE,Rah Mer,https://www.google.com/maps/contrib/103582264009488032793/reviews?hl=en-CA,2 months ago,2021-06-24 13:47:03.816578,5.0,4,"(Translated by Google) Ideal for children, very pleasant to relax

(Original)
Idéal pour les enfants, très agréable pour ce détendre"
6,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURDanVYZXF3RRAB,Sylvie Galante,https://www.google.com/maps/contrib/103286537679888258914/reviews?hl=en-CA,8 months ago,2021-06-24 13:47:03.818499,5.0,51,"(Translated by Google) Beautiful area

(Original)
Très bel endroit"
7,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSURjdWUzS0tREAE,S Sabot,https://www.google.com/maps/contrib/113502191484478446297/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.819664,5.0,22,"(Translated by Google) Beautiful park at the water's edge

(Original)
Très beau parc au bord de l'eau"
8,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURVeTVQb3VRRRAB,Charles Matte,https://www.google.com/maps/contrib/115313214049436921627/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.820608,5.0,36,"(Translated by Google) Very beautiful page. Free. Access ramp for wheelchairs, strollers, etc. Cabins for change

(Original)
Très belle page. Gratuit. Rampe d'accès pour fauteuil roulant, poussettes, etc Cabines pour se changer"
9,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURVeHVYNDBnRRAB,Marc-Andre Petit,https://www.google.com/maps/contrib/113224989230794738816/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.821619,4.0,611,"(Translated by Google) Go there early to get a little shade otherwise you are done

(Original)
Allez y tôt pour avoir un peu d'ombre sinon vous êtes faites"
10,Parc Marin,ChZDSUhNMG9nS0VJQ0FnSURJeXFPQUJREAE,Claude Beaulé,https://www.google.com/maps/contrib/104447405936281275511/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.822594,5.0,2,"(Translated by Google) Beautiful sunsets

(Original)
Magnifiques couchers de soleil"
11,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURZaU0yZHdBRRAB,Denis Thibault,https://www.google.com/maps/contrib/102680481244754577218/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.823523,5.0,17,"(Translated by Google) pretty

(Original)
Jolies"
12,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNLMzZxaV93RRAB,Nataliia Golovchuk,https://www.google.com/maps/contrib/105529388394039236368/reviews?hl=en-CA,a month ago,2021-06-24 13:47:03.824453,5.0,1,
13,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURZbTRuQV9BRRAB,David Laflamme,https://www.google.com/maps/contrib/103982570440307052353/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.825376,5.0,1,
14,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURjMjRfSjlnRRAB,Ayoub Bouchama,https://www.google.com/maps/contrib/104679919000321922733/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.826369,5.0,6,
15,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURrcmFEWDhBRRAB,Dongjoon Lim,https://www.google.com/maps/contrib/102686825294251694988/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.827560,2.0,327,
16,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNRaWFtZjZRRRAB,K.J. Mattis,https://www.google.com/maps/contrib/107198202643760810377/reviews?hl=en-CA,4 years ago,2021-06-24 13:47:03.828716,4.0,10,
17,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNvd3BXZTZBRRAB,Pierre De Villeneuve,https://www.google.com/maps/contrib/100903212960358846711/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.829957,5.0,6,
18,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURpM05lUzV3RRAB,Will Payette,https://www.google.com/maps/contrib/106498088906173483201/reviews?hl=en-CA,6 months ago,2021-06-24 13:47:03.831175,4.0,36,
19,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURDdkl1dTVRRRAB,Silvia Rebeca Mendoza Ramirez,https://www.google.com/maps/contrib/101968578790117471703/reviews?hl=en-CA,9 months ago,2021-06-24 13:47:03.832931,5.0,0,
20,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURZOS1hSzNnRRAB,Timur Bekniyazov,https://www.google.com/maps/contrib/111483302937086781251/reviews?hl=en-CA,2 years ago,2021-06-24 13:47:03.834152,4.0,6,
21,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURDNFBDZjJnRRAB,Praellwyn C,https://www.google.com/maps/contrib/100651873088536209251/reviews?hl=en-CA,9 months ago,2021-06-24 13:47:03.835230,4.0,8,
22,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURVMHIyTTFnRRAB,Jorge Eduardo Osorio,https://www.google.com/maps/contrib/118420355449602576712/reviews?hl=en-CA,a year ago,2021-06-24 13:47:03.836508,5.0,81,
23,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURDMDh2Mnp3RRAB,marlon bustos,https://www.google.com/maps/contrib/117289041502192861785/reviews?hl=en-CA,8 months ago,2021-06-24 13:47:03.837829,5.0,0,
24,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSURBcThLZnlBRRAB,Jacques Pilotte,https://www.google.com/maps/contrib/118103796477781564711/reviews?hl=en-CA,4 years ago,2021-06-24 13:47:03.838908,3.0,73,
25,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNBdzhHTHZnRRAB,yves cote,https://www.google.com/maps/contrib/110377476602317930043/reviews?hl=en-CA,3 years ago,2021-06-24 13:47:03.839865,3.0,4,
26,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNBLWVycnV3RRAB,Pierre-Alexandre Prévost-Robert,https://www.google.com/maps/contrib/115411634037624904238/reviews?hl=en-CA,3 years ago,2021-06-24 13:47:03.840800,4.0,2,
27,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNLLUpDTnNnRRAB,Michael Benmussa,https://www.google.com/maps/contrib/112019317133349945552/reviews?hl=en-CA,2 months ago,2021-06-24 13:47:03.841931,5.0,9,
28,Parc Marin,ChdDSUhNMG9nS0VJQ0FnSUNVeDl2RG9nRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-24 13:47:03.842879,5.0,140,
