,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSURLNWQ2bDN3RRAB,Bernadine Fontaine,https://www.google.com/maps/contrib/109410815046865318033/reviews?hl=en-CA,a month ago,2021-06-22 11:37:47.495192,5.0,173,"Perfection...love love love it.
Tennis loves! Make here your home❤"
1,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSURLbHRhQnJ3RRAB,Katherine Laporte,https://www.google.com/maps/contrib/105996449057642717487/reviews?hl=en-CA,a month ago,2021-06-22 11:37:47.496278,5.0,5,Lovely park with lots of green space and plenty of play structures for the kids. Even has a pool and splash pad
2,Parc Marlborough,ChZDSUhNMG9nS0VJQ0FnSUNpMmFxY1dBEAE,Patrick Tchobanian,https://www.google.com/maps/contrib/107914487985363206351/reviews?hl=en-CA,7 months ago,2021-06-22 11:37:47.497244,4.0,39,Nice place but gets crowdy like another parc
3,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSURjLUxHNzJBRRAB,William Mouth,https://www.google.com/maps/contrib/103263450232154991301/reviews?hl=en-CA,a year ago,2021-06-22 11:37:47.498670,5.0,20,This park has always been my go to park ever since I was a kid. Very quiet and not too crowded. Tennis courts are available for those who play. Nothing better but to relax there on a sunny day.
4,Parc Marlborough,ChZDSUhNMG9nS0VJQ0FnSUM4Z3VtUlJnEAE,Leon,https://www.google.com/maps/contrib/112217234715949609710/reviews?hl=en-CA,11 months ago,2021-06-22 11:37:47.499636,4.0,16,"Marlborough is located in a calm neighborhood. The parc is relatively big, and it offers a sand pit, a pool, a tennis court, a basketball court and plenty of surface area.  The pool is more for children ,and families usually come together. Noël-Nord is located down the road, and it has a bigger pool for adolescents and adults."
5,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSUNBOXEzTHBBRRAB,Armen Kavaldjian,https://www.google.com/maps/contrib/115941999343696448959/reviews?hl=en-CA,11 months ago,2021-06-22 11:37:47.500565,4.0,15,"Very nice park, with a pool, basketball court and 4 tennis courts but they closed the lights at the tennis at 10 pm instead of 11 pm, which was frustrating."
6,Parc Marlborough,ChZDSUhNMG9nS0VJQ0FnSURjaFBER1BnEAE,thefast_rabbit,https://www.google.com/maps/contrib/113358113612706912689/reviews?hl=en-CA,a year ago,2021-06-22 11:37:47.501700,3.0,87,It gets very crowded at times. A large gathering of Muslims picnic at the park almost every night and they take up almost the whole park
7,Parc Marlborough,ChZDSUhNMG9nS0VJQ0FnSUNVb3ZxQVh3EAE,Bai Lu Chen,https://www.google.com/maps/contrib/103927813474518729296/reviews?hl=en-CA,a year ago,2021-06-22 11:37:47.502827,5.0,5,"Basket ball court, and 4 tennis courts. Big swimming pool and one small pool for babies, water games as well.
Really good park."
8,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSURrX3FxbmxBRRAB,Ibrahim Abulibdeh,https://www.google.com/maps/contrib/115908999312980454454/reviews?hl=en-CA,11 months ago,2021-06-22 11:37:47.503819,3.0,49,"There is a good pool with a park and a tennis field, it includes a small adult pool and a baby pool and a water park."
9,Parc Marlborough,ChdDSUhNMG9nS0VJQ0FnSUM0dU5PLXd3RRAB,Jia Wei Zhang,https://www.google.com/maps/contrib/110250319748419357242/reviews?hl=en-CA,2 years ago,2021-06-22 11:37:47.504743,5.0,68,Very good pool. I love this parc.
