,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNLbWZ1UHh3RRAB,Ahmed Khalaf,https://www.google.com/maps/contrib/101133907351510337608/reviews?hl=en-CA,2 months ago,2021-06-22 11:38:23.933404,4.0,125,"Clean, good for baby"
1,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNBMjZxelZBEAE,Kostas Kotsopoulos,https://www.google.com/maps/contrib/116747624868627142394/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.934492,5.0,165,"The park has been updated over the last year. Its clean and in great condition. Kids had a great time. I would say appropriate for ages 2 to 12. No more basketball nets. The swings and playground is great for children. Also the trees provide a nice shaded area to cool off when necessary.

If you find this review helpful, feel free to give it a thumbs up."
2,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURZX2ZtSTNnRRAB,Miko Tremblovei,https://www.google.com/maps/contrib/108888584404990636012/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.935435,5.0,401,"Queit, recently rebuilt.... kids like it. Only down side...to much attention just because is close to city hall...other parcs around are suffering because of this..."
3,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNDOTRiVW1BRRAB,Andree Martin (Empress Levi),https://www.google.com/maps/contrib/113672900181428512751/reviews?hl=en-CA,9 months ago,2021-06-22 11:38:23.936472,5.0,47,Nice installations
4,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUMwcUpYQ2xRRRAB,Robert Dunkley,https://www.google.com/maps/contrib/103713986372803796570/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.938726,5.0,26,Great place to play in😉
5,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUM0cGU3bFVBEAE,David Bodi,https://www.google.com/maps/contrib/103103371161941856115/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.939795,3.0,150,Great spot.
6,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNRMnB1eFF3EAE,Paul Van Buren,https://www.google.com/maps/contrib/107447753863572124074/reviews?hl=en-CA,4 years ago,2021-06-22 11:38:23.940743,4.0,140,Nice park for the kids.
7,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNnaWZEcktREAE,Leetia Kelly,https://www.google.com/maps/contrib/108593028795139274552/reviews?hl=en-CA,4 years ago,2021-06-22 11:38:23.941663,3.0,2,Very nice upgraded
8,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURjbHVIZWpBRRAB,Alex Cournoyer,https://www.google.com/maps/contrib/101893484882593890082/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.942585,5.0,1,"(Translated by Google) Restored and pleasant.

(Original)
Restauré et agréable."
9,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUN3bXZUSWNREAE,Steve Hovington,https://www.google.com/maps/contrib/115776580329887039189/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.943516,5.0,2,"(Translated by Google) Beautiful little park for children, freshly renovated with new play modules ...

(Original)
Beau petit parc pour les enfants, fraîchement rénové avec nouveaux modules de jeu..."
10,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURRbmNuWnlBRRAB,Francinebeaulacfr Francinebeaulacfr,https://www.google.com/maps/contrib/115031980922560981974/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.944620,4.0,1,"(Translated by Google) Beautiful park the kids love lots of play station, picnic table, and very well landscaping

(Original)
Beau parc les enfants l adore beaucoup de station de jeux, table de Picnic, et très bien aménager"
11,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNRM3NtWlNREAE,Louise Helene “Mahina&Luna” Beaudet,https://www.google.com/maps/contrib/117483699561392490359/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.945684,5.0,110,"(Translated by Google) Perfect for ages 0-5 and a nice module for 5-10. Closed at the bottom, clean.

(Original)
Parfait pour les 0-5 ans et un beau module pour le 5-10. Clôturé au bas, propre."
12,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURBNU5LajhnRRAB,Jess H,https://www.google.com/maps/contrib/114432884897286546938/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.946606,5.0,4,"(Translated by Google) Very nice park

(Original)
Très beau parc"
13,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNBemVYS3pnRRAB,Yassine Ben,https://www.google.com/maps/contrib/109660990290319491849/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.947522,5.0,11,"(Translated by Google) Very clean

(Original)
Très propre"
14,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURRam9UMXd3RRAB,استغفر الله العظيم,https://www.google.com/maps/contrib/118003666952937893479/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.948577,4.0,37,"(Translated by Google) ideal park for children

(Original)
parc idéal pour les enfants"
15,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURVbnNlSzlnRRAB,Polski Bob,https://www.google.com/maps/contrib/118138844864085815958/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.949498,5.0,2,
16,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURnekl6VjlBRRAB,Vladimir Yesin,https://www.google.com/maps/contrib/104255713629525502901/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.950409,5.0,34,
17,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNvd3JYZTFRRRAB,Alvic Parise,https://www.google.com/maps/contrib/115095931680936869606/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.951317,5.0,141,
18,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURnMzhLTXpnRRAB,Jérémy Bordage,https://www.google.com/maps/contrib/103849154209690373721/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.952224,5.0,4,
19,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURnOE5ITXdRRRAB,V. P.,https://www.google.com/maps/contrib/102694935646230993446/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.953132,5.0,74,
20,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUR3eHVQN3JnRRAB,TaraS,https://www.google.com/maps/contrib/100719232085125893332/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.954038,4.0,3,
21,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURZNnNTaHFBRRAB,Anonyme Girl,https://www.google.com/maps/contrib/107269961905185226771/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.954991,5.0,11,
22,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNBcnMzNnBBRRAB,Cinzia Mattevi,https://www.google.com/maps/contrib/112322193703224042768/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.955901,4.0,49,
23,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURFOG9PY253RRAB,Tania Hamon,https://www.google.com/maps/contrib/112816390786735493757/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.956920,4.0,0,
24,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUN3b3BEbG5nRRAB,Jaheim Thompson,https://www.google.com/maps/contrib/111778613482314667981/reviews?hl=en-CA,4 years ago,2021-06-22 11:38:23.957940,1.0,0,
25,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSURBM0wzSmxRRRAB,Josiane Lepine,https://www.google.com/maps/contrib/110244621976161398975/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.958858,5.0,45,
26,Parc Marroni,ChdDSUhNMG9nS0VJQ0FnSUNVeDR1WmpBRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-22 11:38:23.959769,5.0,140,
27,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURVNHV1Z2J3EAE,Eric Bouchard,https://www.google.com/maps/contrib/110123332694600797253/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.960678,4.0,5,
28,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNzaG9qdGJBEAE,Eugene Kumanovsky,https://www.google.com/maps/contrib/102394072719494345854/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.961595,5.0,3,
29,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURNN09xYmJBEAE,Wiliam Vipond,https://www.google.com/maps/contrib/105139916905354706113/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.963020,2.0,66,
30,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNLaTZibWFREAE,Alex Lussier,https://www.google.com/maps/contrib/104771584043376784879/reviews?hl=en-CA,2 months ago,2021-06-22 11:38:23.963984,5.0,75,
31,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNjbDRQV1dREAE,joel grant,https://www.google.com/maps/contrib/117490287453269638968/reviews?hl=en-CA,a year ago,2021-06-22 11:38:23.964909,5.0,12,
32,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURRMWJ1MVdBEAE,yanick lessard,https://www.google.com/maps/contrib/107073480347747136370/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.965835,3.0,16,
33,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURJOHQtX1VnEAE,queen nicki,https://www.google.com/maps/contrib/108733872155487562033/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.966754,4.0,1,
34,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNBbDRiV1RREAE,viergetha juste,https://www.google.com/maps/contrib/102921227441116657088/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.967677,5.0,7,
35,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURBMEo2ZlBnEAE,Ileana Carmen Parvan,https://www.google.com/maps/contrib/117382224783748179474/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.968595,1.0,19,
36,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNDaW9DZVBREAE,Charles Laforest,https://www.google.com/maps/contrib/106281366808995539804/reviews?hl=en-CA,10 months ago,2021-06-22 11:38:23.969511,5.0,3,
37,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNBX3J5WU1BEAE,Neha Patel,https://www.google.com/maps/contrib/104123606062449109698/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.970524,5.0,16,
38,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUNZLV8tM0tnEAE,Liudmila Cecan,https://www.google.com/maps/contrib/105519359199291095376/reviews?hl=en-CA,2 years ago,2021-06-22 11:38:23.971564,4.0,0,
39,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSURBcHA2cERnEAE,Judith Y-L,https://www.google.com/maps/contrib/109536895860074286854/reviews?hl=en-CA,3 years ago,2021-06-22 11:38:23.972595,1.0,0,
40,Parc Marroni,ChZDSUhNMG9nS0VJQ0FnSUN5aXNySEFnEAE,David Fielding,https://www.google.com/maps/contrib/110828030934299645902/reviews?hl=en-CA,4 months ago,2021-06-22 11:38:23.973517,5.0,30,
