,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNLcDh1aHFnRRAB,Jay Mehta,https://www.google.com/maps/contrib/100723131934978308206/reviews?hl=en-CA,2 months ago,2021-06-22 11:41:26.251111,5.0,511,"Great place to hangout and for picnics. Small park with one part having a couple of benches (6-seater) on one side, an open lawn on the other. There's Trekfit open fitness center on the other side of the trail path. There are also couple of stones at the riverside if you just want to relax and enjoy the view.
On a sunny day, it makes a great place to hangout. So many things going on here. But on a not-so-good weather day, it's very quiet as well. But definitely to be visited."
1,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNxa1AySWpRRRAB,Hossein Farahmand,https://www.google.com/maps/contrib/117340673648067696360/reviews?hl=en-CA,4 weeks ago,2021-06-22 11:41:26.252286,5.0,24,"Beautiful park by Saint Lawrence river,  cool environment, eye touching views"
2,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNLcFBEdDR3RRAB,David Pardia,https://www.google.com/maps/contrib/105790600549377391446/reviews?hl=en-CA,2 months ago,2021-06-22 11:41:26.254093,5.0,92,A great bit of nature in the city. Nice even in winter.
3,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUR5czRfWFNBEAE,Alice Kulyn,https://www.google.com/maps/contrib/112257147098516874387/reviews?hl=en-CA,3 months ago,2021-06-22 11:41:26.256895,4.0,350,Very pretty with spacious paths and plenty of strategically placed benches
4,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNxaHIzd1pBEAE,Mostafa Fadaee,https://www.google.com/maps/contrib/114356799578852390694/reviews?hl=en-CA,2 weeks ago,2021-06-22 11:41:26.258823,4.0,54,Great place for a picnic and other activities.
5,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUM0MWM3NWF3EAE,Yaroslav Ehrhart,https://www.google.com/maps/contrib/112644891586451839399/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.259994,5.0,22,Great park for a family and to get away from a city. It is located on it's own island.
6,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURDMHRXaVBBEAE,Murad Elmissalati,https://www.google.com/maps/contrib/114382007638360307113/reviews?hl=en-CA,9 months ago,2021-06-22 11:41:26.261003,5.0,27,Amazing trees 🌳 😍.  I love walking there the view is always beautiful and inspiring. Great for meditation.
7,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURZd2ZlX1VREAE,Alberto Ospina Q.,https://www.google.com/maps/contrib/103850170004797847089/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.262000,5.0,52,It's one of the most beautiful places on Nuns Island
8,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURjM29xTWF3EAE,SHSHK,https://www.google.com/maps/contrib/109749582680110791380/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.263342,5.0,23,"It’s a nice place with lots of birds.

It’s where I do my stretching everyday and some days morning and night.

For those wishing to picnic please limit your garbage to a minimum and bring it back if the waste could attract animals. I am sure most people think about it but I’ve noticed too many times that the 🗑 was full or overloaded."
9,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURBOXZxVHB3RRAB,travis “Travis” dawes,https://www.google.com/maps/contrib/117549720737680035274/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.267080,5.0,20,beautiful place haven't been sense i was a kid so much changed yet somehow so familiar
10,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURLcktEc0x3EAE,Genrih Kavriga,https://www.google.com/maps/contrib/109859743177243220559/reviews?hl=en-CA,a month ago,2021-06-22 11:41:26.268270,4.0,49,Some things need to fix...
11,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNDdWRXMVBREAE,Camilo Lopez,https://www.google.com/maps/contrib/117168197278569530625/reviews?hl=en-CA,9 months ago,2021-06-22 11:41:26.269711,5.0,72,Great park with an outdoor gym and a fantastic view of the Saint-Laurence river.
12,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUM0NUxYSlBBEAE,Amir N,https://www.google.com/maps/contrib/101182535212920119016/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.270749,5.0,63,Nice stop point with view
13,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURjOXVETmVREAE,Henry C.,https://www.google.com/maps/contrib/104749910887058672996/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.272411,5.0,148,There is a spot for training and the view of the water is insane!
14,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURDanJUV3l3RRAB,Kent Conover,https://www.google.com/maps/contrib/111378446978706462276/reviews?hl=en-CA,8 months ago,2021-06-22 11:41:26.273521,5.0,120,Beautiful view of Lac St. Louis.
15,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNpMFByTmtBRRAB,Elizabeth,https://www.google.com/maps/contrib/113045531738631656577/reviews?hl=en-CA,8 months ago,2021-06-22 11:41:26.274558,5.0,87,Beautiful park especially at this time of the year
16,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNDNHBmWU93EAE,George Homer (Harley),https://www.google.com/maps/contrib/103629001060678431979/reviews?hl=en-CA,10 months ago,2021-06-22 11:41:26.275656,5.0,83,Nice quiet Clean Park :)
17,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURDN3ZLM1VREAE,Corinne Lalonde,https://www.google.com/maps/contrib/107048692766856287613/reviews?hl=en-CA,8 months ago,2021-06-22 11:41:26.276668,5.0,11,Best place for a run.
18,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUQ4NmFub2ZBEAE,Evandro Luis,https://www.google.com/maps/contrib/110856724483875732350/reviews?hl=en-CA,11 months ago,2021-06-22 11:41:26.277670,5.0,18,"Beautiful view in this park, I recommend !"
19,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURDczh6N3RBRRAB,Ayser R Almufleh,https://www.google.com/maps/contrib/114786159387589366886/reviews?hl=en-CA,8 months ago,2021-06-22 11:41:26.278665,5.0,349,Lovely place to walk and bike
20,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURzNllhaVh3EAE,Sara Tavakolian,https://www.google.com/maps/contrib/105351831945761355268/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.279791,5.0,402,Great little park for the habitant de Nans Island.
21,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURVX0tTZnd3RRAB,Vanessa H,https://www.google.com/maps/contrib/112758930311760621103/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.285802,5.0,109,Close to the water where you can go for a nice walk and naturally a great park for kids.
22,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURreDZMdThBRRAB,Ginette Morin,https://www.google.com/maps/contrib/101577768954515357623/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.287904,4.0,52,"Fresh air .
Few meters from Stlaurence River
And some sturdy exercise equipments...lovely set up to engage in exercising !!!"
23,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNZbDlUM0JREAE,Jose Sena,https://www.google.com/maps/contrib/113348851497687545232/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.289843,5.0,112,"Excellent place the kids love it, they have fun and also play with other friends and we can see them and enjoy."
24,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNpdHVuWXJBRRAB,leto B,https://www.google.com/maps/contrib/108175595505392606895/reviews?hl=en-CA,7 months ago,2021-06-22 11:41:26.291075,5.0,385,Peace and tranquility!
25,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUN3ai1uOThBRRAB,Marcos Guimaraes,https://www.google.com/maps/contrib/108093020816770881475/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.292520,5.0,106,The kids love this place. It's called the water parc. When the weather is very hot we go there
26,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSURRNHNhRjRRRRAB,Catalin Gruia,https://www.google.com/maps/contrib/107843850891946327717/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.294802,5.0,243,"Great little place to bring young children. In the hot days of summer, there are water games which are nice."
27,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUM0MUp5N2tBRRAB,Louise Helene “Mahina&Luna” Beaudet,https://www.google.com/maps/contrib/117483699561392490359/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.295963,4.0,110,"Little but close to the water if you take the little path. The "" forest "" is small now. They built a lot on the ""Pointe Sud""."
28,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUN3N1pDd01BEAE,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.300802,5.0,330,Amazing river view. Nice place to go and just relax  enjoying the landscape scenario
29,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUR3b3JPOTN3RRAB,Not A Role Model,https://www.google.com/maps/contrib/114162230288710838534/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.301817,5.0,57,"Great park for walking your dog, training or just chill out!"
30,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUN3cHR2SEV3EAE,Sajad M. Rezakhani,https://www.google.com/maps/contrib/111942677350043324224/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.303303,5.0,51,"Nice and calm, good place for families for 2-3 hours picnic. Free parking is available."
31,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURjeHZhZklBEAE,mani nayeri,https://www.google.com/maps/contrib/102229037197543059285/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.304978,4.0,7,Were very good
32,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURpNUsyaVRREAE,Jorge Eduardo Osorio,https://www.google.com/maps/contrib/118420355449602576712/reviews?hl=en-CA,6 months ago,2021-06-22 11:41:26.306505,5.0,81,Cool
33,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNBcXN2c2l3RRAB,Edward Acs Lessard,https://www.google.com/maps/contrib/111641738443114986344/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.307609,3.0,48,"its a fountain next to two bus stops and expensive houses. I recommend leaving the parc and going to explore the path in the forest and new the river, there are some beautiful places to sit in there."
34,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUN5cnFiUWJREAE,Roslyn Common,https://www.google.com/maps/contrib/109907408024211119063/reviews?hl=en-CA,4 months ago,2021-06-22 11:41:26.308984,5.0,18,Windy!!
35,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUMweUtpMWdBRRAB,Olga Karpenko,https://www.google.com/maps/contrib/117900591382755774029/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.309987,5.0,98,"Beautiful nature, feels like the seaside"
36,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURBbW9MOEt3EAE,Girish Rane,https://www.google.com/maps/contrib/117700497103334308627/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.310989,5.0,22,"Amazing place, beautiful view ...great for barbecue and picnic"
37,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURnXzZUVlpREAE,Roy Semple,https://www.google.com/maps/contrib/114420281385263971706/reviews?hl=en-CA,3 years ago,2021-06-22 11:41:26.311979,5.0,34,Great place to stop while biking on the path.
38,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSURZMm9lTUpBEAE,Flavio Vasquez,https://www.google.com/maps/contrib/114234715684094928387/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.313310,5.0,51,Amazing!
39,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUNnLVlySnlnRRAB,Denise beauséjour,https://www.google.com/maps/contrib/116671043272872622676/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.317211,4.0,144,Beautiful  park
40,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNBd2RpcGFBEAE,Andrilei Jesse Moreira,https://www.google.com/maps/contrib/108557497757590446512/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.318311,5.0,59,Excellent place near the river.
41,Parc Maynard-Ferguson,ChZDSUhNMG9nS0VJQ0FnSUNBck5IOUVnEAE,Pedro Aranda,https://www.google.com/maps/contrib/115070515202026371435/reviews?hl=en-CA,2 years ago,2021-06-22 11:41:26.319717,5.0,22,"Peaceful park, great for families"
42,Parc Maynard-Ferguson,ChdDSUhNMG9nS0VJQ0FnSUQwdnQtMGhRRRAB,Gur Isler,https://www.google.com/maps/contrib/109387980853767688501/reviews?hl=en-CA,a year ago,2021-06-22 11:41:26.320902,5.0,110,Loved it
