,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUNVMFBfdWtnRRAB,pierre benard,https://www.google.com/maps/contrib/118270111957301569518/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.204689,4.0,60,Pretty little green area before you get into plaza days are Metro a little respite from your running around downtown
1,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUNxZ2VpZmd3RRAB,Chantal Robinson,https://www.google.com/maps/contrib/107099160000756262001/reviews?hl=en-CA,2 weeks ago,2021-06-24 13:56:09.205572,4.0,12,Petit parc urbain. Halte agréable.
2,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSURJdkwtVVNBEAE,Réal Veilleux,https://www.google.com/maps/contrib/108861944575755449575/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.206538,5.0,31,"(Translated by Google) This small neighborhood park has really been remodeling a lot lately.Much more friendly and welcoming.Hello to the designer of this project that has highlighted the titled sculpture ""The celestial tramps"" which is a tribute to all forms of mutual assistance to improve the living conditions of homeless people.

(Original)
Ce petit parc de quartier s""est véritablement fait refaire toute une beauté dernièrement.  Beaucoup plus convivial et accueillant.  Bravo au concepteur de ce projet qui a su mettre en valeur la sculpture titrée ""Les clochards célestes"" qui se veut un hommage à toutes les formes d’entraide en vue d’améliorer les conditions de vie des personnes itinérantes."
3,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUN3dGFXZjlRRRAB,socrabe,https://www.google.com/maps/contrib/114065965964533436938/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.207336,2.0,23,"(Translated by Google) A small street corner park. OK to wait for the bus in the summer but that's it.

(Original)
Un petit parc de coin de rue. Correct pour attendre l'autobus l'été mais c'est tout."
4,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSUQwNEtTWWFREAE,Silvain Allard,https://www.google.com/maps/contrib/109237571449797926239/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.208127,4.0,60,"(Translated by Google) Beautiful park in the middle of the city center

(Original)
Beau parc au milieu du centre ville"
5,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSUN3eC1HcWJREAE,Normand Giard,https://www.google.com/maps/contrib/117501174341010942588/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.208919,1.0,77,"(Translated by Google) No comment

(Original)
Aucun commentaire"
6,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUNRd3ZXMTJnRRAB,G TB,https://www.google.com/maps/contrib/103359557660875348530/reviews?hl=en-CA,4 years ago,2021-06-24 13:56:09.209710,5.0,173,"(Translated by Google) Les Clochards célestes by Pierre-Yves Angers, 1983

(Original)
Les Clochards célestes de Pierre-Yves Angers, 1983"
7,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSURndnVMejZBRRAB,jason wellington,https://www.google.com/maps/contrib/111965809290011191699/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.210940,2.0,13,"(Translated by Google) Park that leaves desired

(Original)
Parc qui laisse a désiré"
8,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSURneFBhSTZnRRAB,Michel Labranche,https://www.google.com/maps/contrib/116298175855257980411/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.211737,5.0,46,
9,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSURRZy1uUzN3RRAB,Sebastien Vaillancourt,https://www.google.com/maps/contrib/107616554171420033942/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.212531,3.0,33,
10,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSURjcG9xVHlRRRAB,Jean-Simon Deslauriers,https://www.google.com/maps/contrib/100710422805482160423/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.213325,5.0,23,
11,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUQ4Mjl5a3dnRRAB,Sara TovirSayari,https://www.google.com/maps/contrib/116142276668615961585/reviews?hl=en-CA,10 months ago,2021-06-24 13:56:09.214153,3.0,13,
12,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSURncHZ2U3F3RRAB,Fernando Busco,https://www.google.com/maps/contrib/118124478315537662476/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.215236,3.0,42,
13,Parc Miville-Couture,ChdDSUhNMG9nS0VJQ0FnSUMwdUpTMG9BRRAB,tagbejule2010,https://www.google.com/maps/contrib/110237640500752910221/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.216066,5.0,6,
14,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSUNVeDZ1NVdBEAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.217235,5.0,140,
15,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSURVdzZQNU9BEAE,Martin Cardinal,https://www.google.com/maps/contrib/115469575853062838793/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.218031,5.0,64,
16,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSUMwcTRHNktREAE,Chris Stefanou,https://www.google.com/maps/contrib/105245898460310219090/reviews?hl=en-CA,a year ago,2021-06-24 13:56:09.218853,3.0,13,
17,Parc Miville-Couture,ChZDSUhNMG9nS0VJQ0FnSURRd1pqQkZnEAE,Abbas Alaraji,https://www.google.com/maps/contrib/102477342929002419215/reviews?hl=en-CA,3 years ago,2021-06-24 13:56:09.219754,5.0,0,
