,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUNLM3VmR3ZnRRAB,Johnny Evangelista,https://www.google.com/maps/contrib/108126486181947925052/reviews?hl=en-CA,2 months ago,2021-06-22 11:54:53.175277,5.0,372,"Tennis courts, soccer field, 1 basketball net. Great local park."
1,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUNpcXFERG9nRRAB,CHOSEN INFO INTERNATIONAL,https://www.google.com/maps/contrib/115521606812552152685/reviews?hl=en-CA,7 months ago,2021-06-22 11:54:53.176520,5.0,5,Playing soccer
2,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUR5cE83U0xBEAE,Khaled Joober,https://www.google.com/maps/contrib/110814835143027345588/reviews?hl=en-CA,3 months ago,2021-06-22 11:54:53.177990,4.0,238,"Reasonably good neighborhood park.
Tennis, dog park, soccer fields"
3,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUNpbVB6SjJBRRAB,Miguel Veliz,https://www.google.com/maps/contrib/110119207540149429829/reviews?hl=en-CA,8 months ago,2021-06-22 11:54:53.183611,3.0,61,"Field is uneven, represents risks for players. House is OK and convenient, but users/visitors do not care to respect it."
4,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUMweU51WlRREAE,Mario De Rubeis,https://www.google.com/maps/contrib/112392512422430338103/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.186467,5.0,46,Great place for kids soccer has tennis courts
5,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUNVdWZuRkp3EAE,Gerald C,https://www.google.com/maps/contrib/107423908830710792051/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.188898,4.0,83,Good soccer pitch... maintained by the LaSalle council
6,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUM0bVBIazB3RRAB,Fonaq,https://www.google.com/maps/contrib/107610158551070800538/reviews?hl=en-CA,2 years ago,2021-06-22 11:54:53.191064,3.0,17,"Great place to go play tennis, soccer or half court basketball."
7,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUNVamVueGh3RRAB,Mohammed Shaheen,https://www.google.com/maps/contrib/114528444370221378370/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.192816,4.0,441,Great hidden spot.. not much parking though
8,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUQ4dmNqNlRnEAE,shawn batty,https://www.google.com/maps/contrib/111008056697723143209/reviews?hl=en-CA,10 months ago,2021-06-22 11:54:53.194061,5.0,5,Soccer nets/Tennis court/Basketball net
9,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUN3b0xyUWt3RRAB,Patrick Bayne,https://www.google.com/maps/contrib/111526116118077688643/reviews?hl=en-CA,2 years ago,2021-06-22 11:54:53.195165,3.0,78,Large empty field with soccer markings and nets. No seating available and no lights for evening games.
10,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSURreTd6c2lnRRAB,Javier DL,https://www.google.com/maps/contrib/114741582828648020257/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.197019,4.0,62,Can the Tennis courts be reserved?
11,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUN3bUlPZ1h3EAE,Peter Piotrek,https://www.google.com/maps/contrib/117423157511597340910/reviews?hl=en-CA,3 years ago,2021-06-22 11:54:53.200048,5.0,77,Nice park
12,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSUMwd0liQUlnEAE,Amrit Singh Bhat,https://www.google.com/maps/contrib/102910383266988760210/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.201430,4.0,16,No lights
13,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUN3X2RicWdBRRAB,Vadim Zmuncila,https://www.google.com/maps/contrib/110550579962997753164/reviews?hl=en-CA,2 years ago,2021-06-22 11:54:53.202364,3.0,30,Basics
14,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSURneDZfLVVnEAE,Franck Gravel,https://www.google.com/maps/contrib/106059151845255663070/reviews?hl=en-CA,3 years ago,2021-06-22 11:54:53.203791,2.0,70,"grass not cut, big pile of durt in front of basketball net making impossible to use"
15,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSURLM3ZPRjlnRRAB,taoufik bousselham,https://www.google.com/maps/contrib/114137884248582999311/reviews?hl=en-CA,a month ago,2021-06-22 11:54:53.204902,4.0,208,"(Translated by Google) Small renovation desirable 😊

(Original)
Petite renovation souhaitable 😊"
16,Parc Mohawk,ChZDSUhNMG9nS0VJQ0FnSURjdE0zZ1h3EAE,diego sanchez,https://www.google.com/maps/contrib/103880325420076119224/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.205846,5.0,21,"(Translated by Google) Dog park with light, tennis and soccer field + basketball hoop int private park

(Original)
Parc a chien avec lumière , terrain de tennis et soccer + un panier de basket 👍 parc intime"
17,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSURBc3JxSTl3RRAB,Maria Rodriguez,https://www.google.com/maps/contrib/102979739290393712584/reviews?hl=en-CA,2 years ago,2021-06-22 11:54:53.206782,5.0,14,"(Translated by Google) It is a beautiful park. My son loves it.

(Original)
C'est un beau parc. Mon fils l'adore."
18,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSUNVMzliMF9BRRAB,Mustapha Medkour,https://www.google.com/maps/contrib/109920187392242969198/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.207831,5.0,147,"(Translated by Google) Beautiful park, 👍👍👍👍👌

(Original)
Magnifique parc,👍👍👍👍👌"
19,Parc Mohawk,ChdDSUhNMG9nS0VJQ0FnSURraEo3eWl3RRAB,Victoria Cretu,https://www.google.com/maps/contrib/115783938846696144875/reviews?hl=en-CA,a year ago,2021-06-22 11:54:53.208756,4.0,52,"(Translated by Google) ⚽️⚽️⚽️😁

(Original)
⚽️⚽️⚽️😁"
