,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSUNxOElMUEp3EAE,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,3 weeks ago,2021-06-22 11:59:08.999153,4.0,680,"JA Richard Park is one of several parks in Verdun that border the St Lawrence river. You have 2 parallel trails to choose from. The one that is closest to the river - you can get your feet wet if that's what you're looking for - is preferred by those who want to stay away from the much larger crowd that uses the main trail. The main trail is wider and easier of access, especially for people who are here to bike."
1,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSURLbXFDaEVnEAE,Jesus Emmanuel Lostanau Sánchez,https://www.google.com/maps/contrib/106331310249247169084/reviews?hl=en-CA,a month ago,2021-06-22 11:59:09.000200,5.0,48,Excellent place for all the family. Nearby Verdun's Beach. With a place that sells delicious icecream and cold treats!
2,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSUNxd2FQNFZ3EAE,Julien Létourneau,https://www.google.com/maps/contrib/117915846518381871066/reviews?hl=en-CA,a week ago,2021-06-22 11:59:09.001494,5.0,64,"Nice park, great big spaces, good view."
3,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSURVcVA2N0F3EAE,Simon Drury,https://www.google.com/maps/contrib/104643714618100599673/reviews?hl=en-CA,a year ago,2021-06-22 11:59:09.002565,3.0,2,"Beautiful next to the river. There is a boat ramp with easy access and the Crescendo restaurant
in case you want a full meal , snack or drink."
4,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSUNVM0pUbVN3EAE,Ved O,https://www.google.com/maps/contrib/102156789281369672642/reviews?hl=en-CA,a year ago,2021-06-22 11:59:09.003637,5.0,162,Great green place to picnic. Tables all around. Splash and children's park nearby. Lots of trees. Great view of the river. Cremerie also near.
5,Parc Monseigneur-J.-A.-Richard,ChdDSUhNMG9nS0VJQ0FnSURDcTVfNnBRRRAB,Monica Oviedo,https://www.google.com/maps/contrib/111429460828679075222/reviews?hl=en-CA,8 months ago,2021-06-22 11:59:09.004574,5.0,35,"Beautiful spot by the Saint-Laurent river in Verdun. Lots of trees and space to appreciate nature, walk, ride your bike or simply stay quietly for a  while."
6,Parc Monseigneur-J.-A.-Richard,ChdDSUhNMG9nS0VJQ0FnSUM0dUlQYjNnRRAB,Itzel Awad,https://www.google.com/maps/contrib/101723342320269349415/reviews?hl=en-CA,2 years ago,2021-06-22 11:59:09.005785,5.0,41,"I like it and so do the kids!
Water games, big climbing spiderweb, 2 different playing areas, a little ice cream shop nearby, and a great walk by the water a few steps away."
7,Parc Monseigneur-J.-A.-Richard,ChZDSUhNMG9nS0VJQ0FnSUQ4cFlEMElnEAE,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,10 months ago,2021-06-22 11:59:09.006897,5.0,330,Pace of mind and beautiful nature is the real name of this park
8,Parc Monseigneur-J.-A.-Richard,ChdDSUhNMG9nS0VJQ0FnSURjMU1Pc3FnRRAB,Ricardo Briceño,https://www.google.com/maps/contrib/112942857714564456382/reviews?hl=en-CA,a year ago,2021-06-22 11:59:09.007838,5.0,45,"This is an amazing park, where you can walk your dog's, make a BBQ, chill, have a nice moment with friends and family. The great location in front of the St Laurent river gives it a spectacular place to relax. Great location to visit if you live or visit Verdun"
9,Parc Monseigneur-J.-A.-Richard,ChdDSUhNMG9nS0VJQ0FnSUNDX29qd3VnRRAB,Alana Walker,https://www.google.com/maps/contrib/108077473825629364056/reviews?hl=en-CA,9 months ago,2021-06-22 11:59:09.008970,5.0,9,Really pretty park. You can actually ride your bike west from here all along the river to the end of the island if you can.
