,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSURrMThPS09BEAE,Chris,https://www.google.com/maps/contrib/100288806119323339933/reviews?hl=en-CA,a year ago,2021-06-22 11:45:35.532895,3.0,41,"I didnt visit this place, I was stuck in traffic beside it though. From that perspective it's ok i guess"
1,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNRaXZ2Z0l3EAE,laila salem,https://www.google.com/maps/contrib/112478592688727873006/reviews?hl=en-CA,a year ago,2021-06-22 11:45:35.534263,1.0,2,It is the worst park I 've ever I visited in Montreal.very dirty and I unmaintained place. the city promised to be maintained but they did not do anything.
2,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSURnaWVlb1R3EAE,Black Jack Samuel,https://www.google.com/maps/contrib/110000332465085358104/reviews?hl=en-CA,3 years ago,2021-06-22 11:45:35.539622,4.0,134,I had to leave this city for over 10 years to come back really appreciate these green spaces in the city
3,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSURBemNQWXd3RRAB,Melissa Bascombe,https://www.google.com/maps/contrib/101625773235046269335/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.542563,4.0,66,Ok
4,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNJci1MUElnEAE,Carol Carriere,https://www.google.com/maps/contrib/115721056953285113795/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.543887,5.0,805,Nice
5,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSUNnM3NYWWd3RRAB,Maxime Paquet,https://www.google.com/maps/contrib/111421299537703191237/reviews?hl=en-CA,3 years ago,2021-06-22 11:45:35.544936,4.0,677,Beautiful park.
6,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNBNk5mYkxREAE,Tatiana Tanizaki,https://www.google.com/maps/contrib/101120413667412226147/reviews?hl=en-CA,5 years ago,2021-06-22 11:45:35.546002,4.0,282,"Nice park, but nothing new about it."
7,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSUNRLWFLUGdRRRAB,Jean-Guy Duc,https://www.google.com/maps/contrib/104500819795476973521/reviews?hl=en-CA,4 years ago,2021-06-22 11:45:35.547030,5.0,156,very clean
8,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSURRd3RPbGNBEAE,Mahmoud Bahnasy,https://www.google.com/maps/contrib/116032038652171888960/reviews?hl=en-CA,5 years ago,2021-06-22 11:45:35.548018,1.0,4,"Very bad park, no service, herbs are growing every where."
9,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSURpMzdLSkdBEAE,Benamar Salem,https://www.google.com/maps/contrib/102137674210291417217/reviews?hl=en-CA,6 months ago,2021-06-22 11:45:35.549172,5.0,31,"(Translated by Google) It will come
We hope that the mayor adds for the well-being of young and old, table tennis for ping pong.
Thank you

(Original)
Ça va  venir
On espère que la mairesse ajoute pour le bien être des jeunes et des moins jeunes des table de tennis pour le ping pong .
Merci"
10,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSUNTNHMyZ2dBRRAB,Mark podgaichenko,https://www.google.com/maps/contrib/117687235862920871708/reviews?hl=en-CA,5 months ago,2021-06-22 11:45:35.550172,5.0,293,"(Translated by Google) A beautiful park with new modules.

(Original)
Un beaux parc avec des nouveaux modules."
11,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSUQ4aGRhbWxRRRAB,Ali BAK,https://www.google.com/maps/contrib/100221576320189522660/reviews?hl=en-CA,11 months ago,2021-06-22 11:45:35.551158,3.0,199,"(Translated by Google) Currently under construction for the whole summer, it is redeveloping the facilities.

(Original)
Actuellement en travaux pour tout l'été, il est en réaménagement des installations."
12,Parc Ménard - LaSalle,ChdDSUhNMG9nS0VJQ0FnSURjOW92YzlRRRAB,Aliona M,https://www.google.com/maps/contrib/117427278163287573818/reviews?hl=en-CA,a year ago,2021-06-22 11:45:35.553523,1.0,3,"(Translated by Google) rather desert than a park

(Original)
plutôt desert qu'un parc"
13,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNva2NMc1pBEAE,Mat G,https://www.google.com/maps/contrib/106437547087551194059/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.555174,4.0,32,"(Translated by Google) Quiet but poorly cleaned, especially winter impossible to borrow this park.

(Original)
Calme mais mal nettoyé, surtout l'hiver impossible d'emprunter ce parc."
14,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSURnOHJHT05BEAE,Henri Bishop,https://www.google.com/maps/contrib/117672705271880785110/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.556537,4.0,950,"(Translated by Google) Good

(Original)
Bien"
15,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUQ0d05YZVVREAE,Olga Shykiurova,https://www.google.com/maps/contrib/106120892420109989459/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.557579,5.0,155,"(Translated by Google) I like!

(Original)
Мне нравится!"
16,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNBMTZ5ZGF3EAE,Josee Laflamme,https://www.google.com/maps/contrib/105486642495940515178/reviews?hl=en-CA,4 years ago,2021-06-22 11:45:35.559262,5.0,20,"(Translated by Google) Very nice park

(Original)
Tres beau parc"
17,Parc Ménard - LaSalle,ChZDSUhNMG9nS0VJQ0FnSUNBaHFpRUNREAE,Aldana Galvan,https://www.google.com/maps/contrib/103400593257568948002/reviews?hl=en-CA,2 years ago,2021-06-22 11:45:35.560280,1.0,22,"(Translated by Google) Really sad .... no maintenance

(Original)
Vraiment triste.... aucune maintenance"
