,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSUNLNnJ2WDBnRRAB,InfiniteValrath,https://www.google.com/maps/contrib/117930298758241169909/reviews?hl=en-CA,2 months ago,2021-06-22 11:46:13.578113,5.0,31,"The park is a very good place to relax in. With another yard of grass to walk your dog or play sports, it is very good. It even got restaurants close to it. No problems, with water games for children. As I said, the place is good for relaxing, walking, playing and chilling."
1,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSURLeFlqeEhnEAE,Olivier Charron,https://www.google.com/maps/contrib/111990159132721534371/reviews?hl=en-CA,a month ago,2021-06-22 11:46:13.579046,5.0,1,It's cool
2,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSUNLZ0pMbmp3RRAB,Unemployed 4ever,https://www.google.com/maps/contrib/104299296413440638720/reviews?hl=en-CA,2 months ago,2021-06-22 11:46:13.579958,1.0,2,not Have swing
3,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSURLX04yYUN3EAE,Christine Milette,https://www.google.com/maps/contrib/105444999063933095687/reviews?hl=en-CA,a month ago,2021-06-22 11:46:13.580881,5.0,13,"(Translated by Google) The kids loved it

(Original)
Les enfants ont adoré"
4,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSUQ4X2ZDVF9BRRAB,Annie Beauchesne,https://www.google.com/maps/contrib/110888437059030291059/reviews?hl=en-CA,10 months ago,2021-06-22 11:46:13.581794,5.0,18,"(Translated by Google) This park has been redeveloped with water games for children. There are 2 different game modules. A large field nearby for playing ball. It is no longer the park of my childhood.

(Original)
Ce parc a été réaménagé avec des jeux d'eaux pour les enfants. Il y a 2 modules de jeux différents. Un grand terrain à côté pour jouer au ballon. Ce n'est plus le parc de mon enfance."
5,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSURDbHVuQWVBEAE,Ben Has,https://www.google.com/maps/contrib/116234009891455042538/reviews?hl=en-CA,8 months ago,2021-06-22 11:46:13.582710,5.0,3,"(Translated by Google) I love walking with my children

(Original)
J adore me promène avec mes enfants"
6,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSUNpemZfcGtBRRAB,khalil awad,https://www.google.com/maps/contrib/117490643167317405710/reviews?hl=en-CA,7 months ago,2021-06-22 11:46:13.583621,3.0,10,"(Translated by Google) Need a little love!

(Original)
Besoin d'un peu d'amour !"
7,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSURNck02SDdRRRAB,Salame Ali,https://www.google.com/maps/contrib/107186051222001875214/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.584534,5.0,53,"(Translated by Google) The park and clean a lovely place and very good

(Original)
Le parc et propre un endroit charmant et très bien"
8,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSURrbm8tcDhnRRAB,Club de Pièces,https://www.google.com/maps/contrib/118286782482086924244/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.585448,5.0,7,"(Translated by Google) Beautiful little park with clean water games.

(Original)
Beau petit parc avec des jeux d'eaux propres."
9,Parc Ménard - Montréal-Nord,ChdDSUhNMG9nS0VJQ0FnSURZcXJUYm5nRRAB,northen nathan,https://www.google.com/maps/contrib/115340893740168802423/reviews?hl=en-CA,2 years ago,2021-06-22 11:46:13.586362,5.0,11,"(Translated by Google) The park has been completely renovated with several table much cleaner than before

(Original)
Le parc a été complètement rénové avec plusieurs table beaucoup plus propre qu’avant"
10,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNNN18tMWZBEAE,Normand Leroux,https://www.google.com/maps/contrib/111512518689159988202/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.587277,5.0,70,"(Translated by Google) All renovated perfect kids summer

(Original)
Tout rénové parfait enfants l'été"
11,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSURNdThEbFBREAE,boumediene senouci,https://www.google.com/maps/contrib/115676719693646475371/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.588238,5.0,10,"(Translated by Google) Children's exit

(Original)
Sortie des enfants"
12,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNVN2JiYkZBEAE,Mery DY,https://www.google.com/maps/contrib/107137328382316776432/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.589554,4.0,139,"(Translated by Google) C rare that I find a clean park with games of water and air of games as diverse, 👍👍

(Original)
C rare que je trouve un parc propre avec des jeux d'eau et air de jeux aussi divers , 👍👍"
13,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNDNTdfcVBREAE,Wissam A Medlege,https://www.google.com/maps/contrib/111317614955458136825/reviews?hl=en-CA,9 months ago,2021-06-22 11:46:13.590571,5.0,17,"(Translated by Google) His beautiful

(Original)
Ses beaux"
14,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNnNjhUQU5nEAE,Irlande Maignan,https://www.google.com/maps/contrib/111074101406995969040/reviews?hl=en-CA,3 years ago,2021-06-22 11:46:13.591661,3.0,15,"(Translated by Google) Nice little park but lack of play module

(Original)
Beau petit parc  mais manque de module de jeux"
15,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNRNFp2NkdBEAE,Marie-Claude Fleury,https://www.google.com/maps/contrib/109479707555953602469/reviews?hl=en-CA,3 years ago,2021-06-22 11:46:13.592810,4.0,36,"(Translated by Google) 2 games for different age category. New games them

(Original)
2 jeux pour differente categorie age. Nouveau jeux eux"
16,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUNJa3NlSUpnEAE,Marie-Claude Fleury,https://www.google.com/maps/contrib/102633726786698119501/reviews?hl=en-CA,2 years ago,2021-06-22 11:46:13.593764,3.0,65,"(Translated by Google) 2 choices of games for children and water games ideal for cooling off

(Original)
2 choix de jeux pour les enfants et jeux d'eau idéal pour se rafraîchir"
17,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUN3M3F5cFRREAE,Guylaine St-Germain,https://www.google.com/maps/contrib/111188542759667543285/reviews?hl=en-CA,3 years ago,2021-06-22 11:46:13.594697,4.0,82,"(Translated by Google) Small but I like it

(Original)
Petit mais je l'aime bien"
18,Parc Ménard - Montréal-Nord,ChZDSUhNMG9nS0VJQ0FnSUMwOTgyalJREAE,charles cousineau,https://www.google.com/maps/contrib/110447988935526395190/reviews?hl=en-CA,a year ago,2021-06-22 11:46:13.595615,2.0,104,"(Translated by Google) Tiny park !!

(Original)
Minuscule parc!!"
