,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSURBMmZmNDBRRRAB,Alexandre De Repentigny,https://www.google.com/maps/contrib/107829734329106816894/reviews?hl=en-CA,3 years ago,2021-06-22 12:17:44.672657,5.0,38,Nice little parc with some benches and some table. Near a Pokemon Go Gym that you can battle from a bench.
1,Parc Napoléon-Sénécal,ChZDSUhNMG9nS0VJQ0FnSURRXzh5OERBEAE,Bassel,https://www.google.com/maps/contrib/101724214185162412547/reviews?hl=en-CA,7 years ago,2021-06-22 12:17:44.673576,5.0,10,"wow, such parc, many rate

acuali iz organn"
2,Parc Napoléon-Sénécal,ChZDSUhNMG9nS0VJQ0FnSUR3MHN5T01REAE,Okabe Rintarou,https://www.google.com/maps/contrib/105544820101333756304/reviews?hl=en-CA,2 years ago,2021-06-22 12:17:44.674352,5.0,40,Got my ex raid pass here
3,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSURRay1TTS13RRAB,Marc Grandmont,https://www.google.com/maps/contrib/104797437483777283548/reviews?hl=en-CA,4 years ago,2021-06-22 12:17:44.675124,4.0,64,"(Translated by Google) Good little park to read or relax a moment. Mostly frequented by elderly people living nearby and owners of small dogs in the area.

The immediate proximity of Sherbrooke Street makes it a rather noisy place.

(Original)
Bon petit parc pour lire ou se détendre un moment. Surtout fréquenté par des personnes âgées habitant tout près et des propriétaires de petits chiens du quartier.

La proximité immédiate de la rue Sherbrooke en fait un endroit plutôt bruyant."
4,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSUNBX2NtSzFnRRAB,ghislaine L.,https://www.google.com/maps/contrib/111777288773501083978/reviews?hl=en-CA,3 years ago,2021-06-22 12:17:44.675893,5.0,21,"(Translated by Google) Very small but very beautiful place to rest, read or chat.

(Original)
Tout petit mais très beau un lieu pour se reposer, lire ou bavarder."
5,Parc Napoléon-Sénécal,ChZDSUhNMG9nS0VJQ0FnSURrdnBQWmZBEAE,Francis Belanger,https://www.google.com/maps/contrib/105208041708728619766/reviews?hl=en-CA,a year ago,2021-06-22 12:17:44.676845,3.0,28,"(Translated by Google) You can be made to fail

(Original)
Tu peut te faire planter au échec"
6,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSUNRN1BIVnh3RRAB,Jacqueline Lemyre,https://www.google.com/maps/contrib/112768450300406832463/reviews?hl=en-CA,3 years ago,2021-06-22 12:17:44.677728,4.0,26,"(Translated by Google) For who wants to take a moment to self or meditate

(Original)
Pour qui veut prendre un moment à soi ou méditer"
7,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSURRb3VHMy1nRRAB,Emily Lindstrom,https://www.google.com/maps/contrib/106850975313202221530/reviews?hl=en-CA,3 years ago,2021-06-22 12:17:44.678622,4.0,0,
8,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSURRLU5qMzlBRRAB,edgardo scalerandi,https://www.google.com/maps/contrib/100592718366259396861/reviews?hl=en-CA,3 years ago,2021-06-22 12:17:44.679574,4.0,15,
9,Parc Napoléon-Sénécal,ChdDSUhNMG9nS0VJQ0FnSURnbGRXQjhRRRAB,Caroline Lefrancois,https://www.google.com/maps/contrib/112638789518135162409/reviews?hl=en-CA,2 years ago,2021-06-22 12:17:44.680475,5.0,2,
