,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSURpZ09QODlRRRAB,Truong Ngoc Vinh Le,https://www.google.com/maps/contrib/117708994993217948769/reviews?hl=en-CA,7 months ago,2021-06-22 14:35:03.265802,5.0,203,A nice park with good playground
1,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSURLNnA2QU5REAE,Leszek Kaczor,https://www.google.com/maps/contrib/107361783407471140037/reviews?hl=en-CA,a month ago,2021-06-22 14:35:03.266784,5.0,39,"family friendly, with a nice kids area park"
2,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSURVb2VIYTB3RRAB,Jean C Loko Earth,https://www.google.com/maps/contrib/117475646469025133342/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.267687,5.0,205,"Really love this place. Pretty clean, lots of green space. Me and my friend do lots of slacklining and we always come here to chill and relax. Great ambience. Thank you Montreal City to have so many park! Follow me up on Instagram for inspiring landscape photography; @loko.earth 🤙"
3,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNVX0tQNVJnEAE,Daniel Abreu,https://www.google.com/maps/contrib/118429254346753316113/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.268583,5.0,37,"Lovely Park, Very Clean, And A Great Place To Relax."
4,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNVM3NHOVpBEAE,WeaseL Logic,https://www.google.com/maps/contrib/115751070565431876754/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.269450,4.0,119,Decent park to chill and relax at. Great for kids also.
5,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUN3c1BiSkl3EAE,Sheena Purcell,https://www.google.com/maps/contrib/106902907671680952829/reviews?hl=en-CA,3 years ago,2021-06-22 14:35:03.270532,5.0,9,Nice park for kids and picnics.  Free kids pool in the summer and free outdoor skating in the winter with a small heated chalet to put your skates on in. Large green space with trees too. Never too busy.
6,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUN3bS1DRVV3EAE,Ivo Ganassin,https://www.google.com/maps/contrib/105264365529908244555/reviews?hl=en-CA,2 years ago,2021-06-22 14:35:03.271542,4.0,71,Fun park for the family. Great for relaxation and leisure time.
7,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUN3X3J5MGV3EAE,Lidia Marinova,https://www.google.com/maps/contrib/116611057484136210778/reviews?hl=en-CA,2 years ago,2021-06-22 14:35:03.272476,5.0,33,"Beautiful parc with old trees, nice little pool and several playgrounds. Really cool in the unbearable summer heat."
8,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSUNnMi1mcXJBRRAB,Julie B.Savard,https://www.google.com/maps/contrib/101910337594443671430/reviews?hl=en-CA,3 years ago,2021-06-22 14:35:03.273535,4.0,235,The trees are really good at being trees and you can barely heard the 40 highway over the scream of old people mad at you for playing pétanque on their boccé field. Very relaxing.
9,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNRbnUzMUJnEAE,Dale Hayward-home,https://www.google.com/maps/contrib/113560527401812134779/reviews?hl=en-CA,3 years ago,2021-06-22 14:35:03.274418,5.0,19,"Our local park, nice and quiet with a skating rink in the winter."
10,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSURVMHBYSnNBRRAB,Ricardo Mavares,https://www.google.com/maps/contrib/111837568387535415024/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.275277,5.0,30,Very nice place for family and children
11,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSURBdHJiNENBEAE,Marybeth Pak,https://www.google.com/maps/contrib/107016762372985476654/reviews?hl=en-CA,2 years ago,2021-06-22 14:35:03.276133,4.0,61,"Very nice park!  Bathrooms, green space, kiddie pool and a toddler playground."
12,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNRdi0tRktBEAE,Estelle OLIVIER,https://www.google.com/maps/contrib/109865485535662043152/reviews?hl=en-CA,3 years ago,2021-06-22 14:35:03.276984,5.0,37,Good Parc well maintained and a lot of activities whatever the season ! Childs love it !
13,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSURRejlEaWZBEAE,Bagha Shams,https://www.google.com/maps/contrib/108655143160055420051/reviews?hl=en-CA,4 years ago,2021-06-22 14:35:03.277842,4.0,154,"Nice park for picnics, but there isn't much else to do."
14,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSURZaHVUaEh3EAE,PAUL SIVA,https://www.google.com/maps/contrib/118262636985117869532/reviews?hl=en-CA,2 years ago,2021-06-22 14:35:03.278778,5.0,117,Nice clean place to relax
15,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSUNRcXFPSWdnRRAB,Maud Vincent,https://www.google.com/maps/contrib/110690546505568368390/reviews?hl=en-CA,3 years ago,2021-06-22 14:35:03.279638,5.0,151,"Great place, multigenerational parc."
16,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNBdHFhc1lREAE,Kelvin Reyes,https://www.google.com/maps/contrib/112687358580540757095/reviews?hl=en-CA,4 years ago,2021-06-22 14:35:03.280506,5.0,132,Nice area to take a break and recharge batteries
17,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSURVNUxQd3Z3RRAB,Edy Monroy,https://www.google.com/maps/contrib/103059128876205733919/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.281903,3.0,5,good place
18,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNVMk51X0RREAE,Éric Tsogo,https://www.google.com/maps/contrib/106432203522095500659/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.282796,3.0,11,Cool
19,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSUNRaWVtRTNRRRAB,Dan Alexandru,https://www.google.com/maps/contrib/108390673787837386099/reviews?hl=en-CA,4 years ago,2021-06-22 14:35:03.283672,3.0,139,"Ok park, but not much to do. It's mostly for kiddie activities."
20,Parc Nicolas-Tillemont,ChZDSUhNMG9nS0VJQ0FnSUNvbG9MeFRnEAE,Endri Valles,https://www.google.com/maps/contrib/106696490364406693708/reviews?hl=en-CA,2 years ago,2021-06-22 14:35:03.284624,5.0,9,Awesome
21,Parc Nicolas-Tillemont,ChdDSUhNMG9nS0VJQ0FnSURVOExxTDVBRRAB,mario joseph,https://www.google.com/maps/contrib/102845623133596280320/reviews?hl=en-CA,a year ago,2021-06-22 14:35:03.285449,4.0,11,Nice
