,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURLejdhZjZ3RRAB,Andrianjafy Salomon,https://www.google.com/maps/contrib/115022405409356892225/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.252367,5.0,28,"The place is calm, clean and not crowded. It's by the stream, which makes it a wonderful place if you are into dating and romance!"
1,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURDcy1ieV9BRRAB,Claudia,https://www.google.com/maps/contrib/100144974139188836438/reviews?hl=en-US,8 months ago,2021-06-23 16:16:21.253352,4.0,108,"First time in a long time since I've visited this waterfront park.  The changes were truly welcomed.  Wonderful blend of nature and function.  Too bad the city didn't think of at least adding a chemical toilet during this pandemic.  Hopefully, they'll implant it soon."
2,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURLcHRqS3V3RRAB,Oluwaseyi Malachi,https://www.google.com/maps/contrib/111512820926226753243/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.254150,4.0,48,"Nice place to refresh, with beautiful sight.
Had a nice time with some acrobatics friends. They made the evening worth it."
3,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNxd0lQR3B3RRAB,Sana Landa,https://www.google.com/maps/contrib/113367118771780417151/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.254937,5.0,32,"Beautiful park, tennis court are available for free for public, I’d love to chill out in this park and playing tennis from time to time !"
4,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURLZ0k2cjZnRRAB,Karthik,https://www.google.com/maps/contrib/111459772294979245772/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.255726,4.0,70,Beautiful small park with river view and tennis court
5,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURBdl9ld2J3EAE,Emylee SC,https://www.google.com/maps/contrib/103167923293685785742/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.256508,4.0,118,"It's calm, near the water. There is bigs trees, piknik tables and you can walk your dog. Some trash, that's sad."
6,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURLbHNEcFhREAE,Rodrigo Oliveira,https://www.google.com/maps/contrib/111228013694579857967/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.257288,5.0,25,Nice Park for a family picnic.
7,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNxMV9tOXB3RRAB,dc B,https://www.google.com/maps/contrib/116532832405606796894/reviews?hl=en-US,a day ago,2021-06-23 16:16:21.258069,5.0,88,Very nice.
8,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURrdTR2c05nEAE,Lisa Layton,https://www.google.com/maps/contrib/103014440330359079422/reviews?hl=en-US,a year ago,2021-06-23 16:16:21.259249,5.0,8,Great park with a wonderful view!
9,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURDN3NxQVVBEAE,Alexander O'Brien,https://www.google.com/maps/contrib/109800889612143686237/reviews?hl=en-US,8 months ago,2021-06-23 16:16:21.260060,5.0,240,"Can stop with bike on Bikepath, and enjoy pleasant lunch between Point des Cascades and Couteaudu Lac."
10,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNDMUx6djFBRRAB,Luis Mendoza,https://www.google.com/maps/contrib/107342562541148081207/reviews?hl=en-US,10 months ago,2021-06-23 16:16:21.260847,4.0,34,Has nice tennis courts.  It's in front of the river. It's also well maintained.  It would be nice if the  courts  were separated.
11,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSUN5dXVYemNREAE,Karl Liebknecht,https://www.google.com/maps/contrib/114415237331109698527/reviews?hl=en-US,4 months ago,2021-06-23 16:16:21.261829,5.0,70,Great scenery and atmosphere right in the city.
12,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNDb0tuUHB3RRAB,Orlando Ortega,https://www.google.com/maps/contrib/116117722744110737427/reviews?hl=en-US,10 months ago,2021-06-23 16:16:21.263264,5.0,58,"Beautiful park and road paths remake was overdue.Dear city hall, thank you for the investment in our parks."
13,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNNX3ZlLXpnRRAB,Lavina Royal,https://www.google.com/maps/contrib/100790307707272913746/reviews?hl=en-US,a year ago,2021-06-23 16:16:21.264682,5.0,12,Had Cozy and warm experience of nature 😇
14,Parc Nicolas-Viel,ChRDSUhNMG9nS0VJQ0FnSUNLbGVRZxAB,Hrayr HN,https://www.google.com/maps/contrib/100350841377337326302/reviews?hl=en-US,2 months ago,2021-06-23 16:16:21.265666,5.0,77,nice and quit park
15,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUN3bFkyX3VnRRAB,David,https://www.google.com/maps/contrib/107492693475944720312/reviews?hl=en-US,3 years ago,2021-06-23 16:16:21.266459,5.0,142,"Nice parc , nice view , even in winter 😅"
16,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURLcC1xUjd3RRAB,Abdelilah Dakir,https://www.google.com/maps/contrib/117230513783746771660/reviews?hl=en-US,a month ago,2021-06-23 16:16:21.267248,4.0,51,Best localization
17,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUNDbEw3ajV3RRAB,Didwo Pyè,https://www.google.com/maps/contrib/112680559609947143400/reviews?hl=en-US,10 months ago,2021-06-23 16:16:21.268034,5.0,31,Nice view to the river des prairies
18,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSUM0MGI3M0hREAE,Old Angels 444,https://www.google.com/maps/contrib/101076805903958843802/reviews?hl=en-US,2 years ago,2021-06-23 16:16:21.268822,5.0,40,"Very clean, has a water fountain and bathrooms. For smaller & older kids, for bicycles or roller skates or drone hobbies. Great for birthday party's."
19,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURDaGZEZTd3RRAB,Rena Mayni Sidawi,https://www.google.com/maps/contrib/111595288439216335810/reviews?hl=en-US,8 months ago,2021-06-23 16:16:21.269609,5.0,10,Awsome
20,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSUM0eGF2eFhREAE,Antonio Neves,https://www.google.com/maps/contrib/100818830433573685082/reviews?hl=en-US,2 years ago,2021-06-23 16:16:21.270444,5.0,324,Beautiful park with the water fountain! Very convenient!
21,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSUNneXR1VUVBEAE,Shéraz K,https://www.google.com/maps/contrib/103647748720237226336/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.271232,5.0,141,"It's the closest park to my home with lots of bike trails, tennis courts and river view. It's beautiful and neat.  Families , couples and friends come here to spend their time. Must visit place..."
22,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURnXzRya3V3RRAB,Kiri Siva,https://www.google.com/maps/contrib/102676950519837667743/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.272020,5.0,159,"Used to go here ever since I was a kid. It has lots of bike trails, tennis court with a beautiful river view. Always clean and the feel is amazing."
23,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUM4a00ySGtBRRAB,Richard Dinel,https://www.google.com/maps/contrib/103853350810092405732/reviews?hl=en-US,a year ago,2021-06-23 16:16:21.272805,5.0,235,Don't go. I want to keep it for myself
24,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURjdUtDdjdRRRAB,Felix Cancel,https://www.google.com/maps/contrib/116256353083574890354/reviews?hl=en-US,a year ago,2021-06-23 16:16:21.273627,5.0,142,Lovely place to hang out
25,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSUQwbkxyUDlnRRAB,Karly Oconnor,https://www.google.com/maps/contrib/111862153134824351738/reviews?hl=en-US,a year ago,2021-06-23 16:16:21.274448,1.0,22,"No where to park, some kids were smoking pot there and there's tennis"
26,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURRak82UWx3RRAB,Alain Levasseur,https://www.google.com/maps/contrib/110684380471107473441/reviews?hl=en-US,3 years ago,2021-06-23 16:16:21.275234,5.0,47,"Really nice park, right on the river, with large amounts of tennis courts that are free but require reservations. 2 kid parks and several picnic tables. Bike path goes right through it."
27,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURBaEwtR29RRRAB,Carlos Oliveira,https://www.google.com/maps/contrib/102271838529634465529/reviews?hl=en-US,2 years ago,2021-06-23 16:16:21.276071,5.0,41,"Nice park, lots of tennis courts, right next to des prairie river."
28,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURRMXM2V3BRRRAB,Chamseddine Hammouda (CHM),https://www.google.com/maps/contrib/107877113959599504486/reviews?hl=en-US,5 years ago,2021-06-23 16:16:21.276852,5.0,176,"Very nice place to go. Water, tennis courts and high frequency public bus service."
29,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURBOHI3VHJRRRAB,Thomas Karasek,https://www.google.com/maps/contrib/103571340743085639548/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.277634,4.0,352,"beautiful little park, recommended for a small stop while biking down gouin blvd"
30,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURBMHB6UlFREAE,Steve Edwards - Sitivi,https://www.google.com/maps/contrib/108009287998600928685/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.278418,5.0,1,This large park has lots of good views and the flowers are impressive.
31,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSURBMjViQlNBEAE,Emmanuil P,https://www.google.com/maps/contrib/101300625704588791433/reviews?hl=en-US,3 years ago,2021-06-23 16:16:21.279472,4.0,267,"Great park for jogging, tennis, kids, and even picnic and enjoying the view."
32,Parc Nicolas-Viel,ChZDSUhNMG9nS0VJQ0FnSUNZZy1uWUlREAE,avraham Heilpern,https://www.google.com/maps/contrib/103244026317817101329/reviews?hl=en-US,2 years ago,2021-06-23 16:16:21.280267,5.0,416,Very comfortable and very relaxing
33,Parc Nicolas-Viel,ChdDSUhNMG9nS0VJQ0FnSURBNjU2LTFnRRAB,Sam Muller,https://www.google.com/maps/contrib/117180384243359719599/reviews?hl=en-US,4 years ago,2021-06-23 16:16:21.281055,5.0,376,Beautiful Waterfront View and large play and running space for children
