,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNxeDdUMzFnRRAB,Israa Hilles,https://www.google.com/maps/contrib/106548226609957230244/reviews?hl=en-CA,a day ago,2021-06-22 15:08:50.575763,4.0,177,"First time here, Amazing for photoshotgun and Good for walking with the kids, great for kids."
1,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNLdC1QaThBRRAB,Fal Wall,https://www.google.com/maps/contrib/108261791402352334684/reviews?hl=en-CA,a month ago,2021-06-22 15:08:50.576700,5.0,10,Good park for kids 😜 because there's zones reserved for a certain age so there's not other kids disturbing your childs
2,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNxb0lEMlNnEAE,Glen Mac,https://www.google.com/maps/contrib/111382723643299248175/reviews?hl=en-CA,4 weeks ago,2021-06-22 15:08:50.577557,5.0,311,It’s the park I grew up in as a child and almost 35 years later it still hasn’t changed much.  For those who grew up in the area it will always be 5 ⭐️.
3,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNxd0pIbmpRRRAB,Youssef Omari,https://www.google.com/maps/contrib/102631022566779529149/reviews?hl=en-CA,4 weeks ago,2021-06-22 15:08:50.578409,5.0,3,My best place for jumping rope workout
4,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURVdko2dWRREAE,Jia Wei Zhang,https://www.google.com/maps/contrib/110250319748419357242/reviews?hl=en-CA,9 months ago,2021-06-22 15:08:50.579815,5.0,68,"Very nice park. Baseball field, tennis courts, playground. Very big trees creates nice shades during summer."
5,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUN5NmRTRjB3RRAB,Albert Calame,https://www.google.com/maps/contrib/105727655177085895300/reviews?hl=en-CA,4 months ago,2021-06-22 15:08:50.580875,5.0,33,Parked my car there during snow removal! I have to park on the street normally.
6,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUM4Z3RPYldBEAE,a bd,https://www.google.com/maps/contrib/115584049419901250987/reviews?hl=en-CA,11 months ago,2021-06-22 15:08:50.581746,5.0,127,"Large well maintained park, able to practice social distancing. Free parking so available with a few picnic tables well spread out. A fun outing for one and all!"
7,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUM4LXZMU2RBEAE,Kenneth McLaren,https://www.google.com/maps/contrib/114337669498032102299/reviews?hl=en-CA,11 months ago,2021-06-22 15:08:50.582603,1.0,30,Area around youngest play area is always wet on the cement apron. The drains which have filled with sand needs to be cleaned. Always puddles days after rain.
8,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUQwZ09YRHFRRRAB,D B,https://www.google.com/maps/contrib/100589833129562958504/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.583558,4.0,60,"I really like this park. It is very nice and there are many things to do. You can play baseball and tennis. Too many insects though. Overall, I think you should visit it."
9,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNVM2RxTlZ3EAE,Sebastian Zelichowski,https://www.google.com/maps/contrib/110605405448913633738/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.584395,5.0,49,"Awesome time to spend in there,  either play tennis or basketball,  tennis court is in very good condition as well other fields. Nice place to relax, also have baseball field,  playground for kids and some outdoor exercise machine's,  worth trying!, you can get there by car ""parking is free"" or by bicycle path."
10,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURjeFBMTEpnEAE,Soniaverma Verma,https://www.google.com/maps/contrib/111012445817567155246/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.585247,5.0,7,"Very clean and hygienic place for family
Loved the visit and location"
11,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUR5cTUtWXpnRRAB,Denys Dokis,https://www.google.com/maps/contrib/103251018859639979438/reviews?hl=en-CA,3 months ago,2021-06-22 15:08:50.586133,5.0,122,Nice place
12,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURDd1lybzhRRRAB,Claude-Aline Carrière,https://www.google.com/maps/contrib/110789666639459740018/reviews?hl=en-CA,8 months ago,2021-06-22 15:08:50.586989,5.0,19,Lovely parc.
13,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURrcFlpdjJBRRAB,Fareed Barakeh,https://www.google.com/maps/contrib/101320807401206598762/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.587931,5.0,85,"Nice place to spend time with friends , perfect for bicycle , basketball , kids area and vollyball"
14,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNneWZya1JREAE,packardbell rfd,https://www.google.com/maps/contrib/116659145562497804161/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.588828,5.0,24,"Although the park facilities are older.  It is less occupied and more shaded
which i like with my son. Can take pictures and video with ease"
15,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUM4M05tQmVnEAE,Bernadine Fontaine,https://www.google.com/maps/contrib/109410815046865318033/reviews?hl=en-CA,11 months ago,2021-06-22 15:08:50.589715,5.0,173,Fun time playing tennis
16,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNraXBXSWVnEAE,Jigneshkumar Patel,https://www.google.com/maps/contrib/118030657832380387889/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.590900,5.0,215,"Great place, Large park near school."
17,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNDMVA3WFVREAE,Dong Nam Nguyen,https://www.google.com/maps/contrib/113560054257932531977/reviews?hl=en-CA,10 months ago,2021-06-22 15:08:50.592585,5.0,225,chillaxe baseball n stuff
18,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURjeFAtM3VBRRAB,Maria Pachon,https://www.google.com/maps/contrib/116101861873431326657/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.593573,4.0,151,Nice place for a picnic
19,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURjNjhINlhnEAE,Um al Abd,https://www.google.com/maps/contrib/110008555594335777704/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.594820,5.0,11,Great parc
20,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURBa01qd2pBRRAB,Salam,https://www.google.com/maps/contrib/102974374458003618995/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.596559,5.0,77,"Big park,  I love the fact that they have toys on place for kids that they can borrow like small cycles and has a washroom, parents with kids or even people taking a walk can use.  Very clean and specious"
21,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURnc2JDTFl3EAE,Hamidjon Karimov,https://www.google.com/maps/contrib/116029922002047395343/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.598115,5.0,71,Nice relaxing place
22,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNTMmVYbFFREAE,hicham g,https://www.google.com/maps/contrib/111481914902386065753/reviews?hl=en-CA,6 months ago,2021-06-22 15:08:50.599760,4.0,164,Nice
23,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURReXAtNlBREAE,Little Bunny,https://www.google.com/maps/contrib/108458901733376028524/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.600952,5.0,98,I like this park i came to this park from far away
24,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNJcnFQZWVnEAE,Mohamed Bouraoui,https://www.google.com/maps/contrib/100880366152219620547/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.602294,4.0,18,Very amazing place dor detent
25,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURBbTZLbmZnEAE,Nimalan Selvasundaram,https://www.google.com/maps/contrib/113853710872786445257/reviews?hl=en-CA,4 years ago,2021-06-22 15:08:50.603269,5.0,19,"Love this park, it's big and very quiet has big ground, good for kids lots of things to do for them, has a lots of trees and it's very nice"
26,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURndmV6UEZBEAE,Denis chmielewski,https://www.google.com/maps/contrib/102696057651035918089/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.604268,4.0,125,This is a nice parc where I go play tennis regularly.
27,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNnaW9Hb0pREAE,Google Person,https://www.google.com/maps/contrib/115001423830147155512/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.605137,4.0,422,Nice parc. Has nice stuctures for kids of all ages.
28,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURnMEpuMUxBEAE,Cosmic Turtle,https://www.google.com/maps/contrib/117394519194534083045/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.606005,4.0,25,"This place is really good for a little picnic, really calm and beautiful environment"
29,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUM0NktQNVJREAE,Faatemah Saumtally,https://www.google.com/maps/contrib/102730007109509162890/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.606880,5.0,31,Its calm beautiful and serene
30,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNBaEwzUVRnEAE,Vannessa J,https://www.google.com/maps/contrib/110208699652339407776/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.607714,4.0,28,"Good family park, good for walks meditation, baseball, tennis, etc."
31,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNpalBEcUh3EAE,Dabi andC,https://www.google.com/maps/contrib/104138001503198122778/reviews?hl=en-CA,7 months ago,2021-06-22 15:08:50.608546,5.0,54,Wonderful
32,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURNbWQ3YWdBRRAB,Atie Waxman,https://www.google.com/maps/contrib/115845658589082430900/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.609384,3.0,90,Infield is not in great shape
33,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNBemFiU1lnEAE,Eric Bruno,https://www.google.com/maps/contrib/112510853421816639267/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.610223,4.0,105,"Nice park, but no dogs allowed"
34,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURnemZMWWR3EAE,Karen Bailey,https://www.google.com/maps/contrib/100843963539579554393/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.611061,5.0,205,Well kept softball field!
35,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNBcl9PSVNnEAE,Julian Kuori,https://www.google.com/maps/contrib/102513610027624572565/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.611874,5.0,34,Childhood memories warm safe place to be
36,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURNX3BUZjNRRRAB,artic peeper,https://www.google.com/maps/contrib/113513863911090068645/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.612732,5.0,26,Quiet and clean
37,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURjNFpPTzhRRRAB,李小强,https://www.google.com/maps/contrib/103964961184039218228/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.613726,3.0,104,Quite
38,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUQwOUtDa1hBEAE,YU-CHUAN HU,https://www.google.com/maps/contrib/113254811797419588588/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.615036,5.0,22,Small clean park
39,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNRbl9YYl9RRRAB,Car Noises,https://www.google.com/maps/contrib/109919574047642598621/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.616060,4.0,103,"Went there with many friends about 6 years ago, seems like a chill park."
40,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNBeWFYRERBEAE,Fakroodeen Bheekhun,https://www.google.com/maps/contrib/106298550516809660509/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.617043,4.0,19,Nice Residential area in Montreal
41,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURZaHFlTDB3RRAB,Tritzix,https://www.google.com/maps/contrib/111031983935869124337/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.617889,5.0,1,Good
42,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNjaF9uTkV3EAE,Noman Majeed,https://www.google.com/maps/contrib/117221286089671813633/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.618725,5.0,58,Great
43,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNvd1otcVBBEAE,viviana rojas,https://www.google.com/maps/contrib/114185885259067400420/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.619558,5.0,13,Super!! 😊
44,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNBeXFiTTR3RRAB,kavel george,https://www.google.com/maps/contrib/103064209413782532703/reviews?hl=en-CA,2 years ago,2021-06-22 15:08:50.620619,5.0,44,Pool
45,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNRbTlTMlZREAE,ALEJANDRA TORRES,https://www.google.com/maps/contrib/104835895651911690739/reviews?hl=en-CA,3 years ago,2021-06-22 15:08:50.621858,4.0,21,Cool
46,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURRdnR5aVBBEAE,Luc Lefebvre,https://www.google.com/maps/contrib/107055546785166144300/reviews?hl=en-CA,4 years ago,2021-06-22 15:08:50.622703,5.0,17,Verry nice for picnic
47,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNnNFktN29RRRAB,Sean Dent,https://www.google.com/maps/contrib/101425684468331767197/reviews?hl=en-CA,4 years ago,2021-06-22 15:08:50.623533,5.0,25,Nice park
48,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURDdXVMb1B3EAE,Thomas Rachel,https://www.google.com/maps/contrib/115863968066309540351/reviews?hl=en-CA,8 months ago,2021-06-22 15:08:50.624472,5.0,1,"(Translated by Google) It is really beautiful this place it is pleasant. I love Christmas park-south

(Original)
C'est vraiment magnifique cet endroit la c'est agreable. J'aime parc Noël-sud"
49,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURLOFA2S19RRRAB,Marc-Antoine Rock,https://www.google.com/maps/contrib/112574299808066260953/reviews?hl=en-CA,a month ago,2021-06-22 15:08:50.625664,5.0,46,"(Translated by Google) Very nice park, lots of activities !!!

(Original)
Très beau parc, beaucoup d'activitées!!!"
50,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNpczlpVzlnRRAB,will savoie,https://www.google.com/maps/contrib/106942359933127160578/reviews?hl=en-CA,7 months ago,2021-06-22 15:08:50.626514,5.0,442,"(Translated by Google) finally, a stimulating park which is not without risk! super cool the strings.

(Original)
finalement un parc stimulant qui n'est pas sans risque! super cool les cordes."
51,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNxc3VYNXBnRRAB,Mounir Hamoudi,https://www.google.com/maps/contrib/115324140794713175450/reviews?hl=en-CA,2 weeks ago,2021-06-22 15:08:50.627347,4.0,1,"(Translated by Google) More cleanliness in play areas

(Original)
Plus de propreté dans les aires de jeux"
52,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUNpcEtqTV9nRRAB,"RosaBel , Catch me if u can",https://www.google.com/maps/contrib/114149131362669830395/reviews?hl=en-CA,8 months ago,2021-06-22 15:08:50.628178,5.0,195,"(Translated by Google) Large park for picnic, training and games section, basketball ...

(Original)
Grand parc pour pic nic, entrainement et section de jeux, basket ..."
53,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURDb2UzWFdBEAE,Martine Laniel,https://www.google.com/maps/contrib/102503957669954481143/reviews?hl=en-CA,8 months ago,2021-06-22 15:08:50.629279,4.0,22,"(Translated by Google) As much for nature as for the sports facilities, this park filled with trees delights the view.

(Original)
Autant pour la nature que pour les installations sportives, ce parc remplie d'arbres réjouit la vue."
54,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURVZ3VqWXBnRRAB,Nass Lou,https://www.google.com/maps/contrib/114530308646156517027/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.630760,5.0,105,"(Translated by Google) User-friendly and suitable for children of all ages (game sections for each age). The woodland provides shade everywhere. There is even a soft ball court for fans. Be careful crossing the level crossing on Toupin.

(Original)
Convivial et adapté aux enfants de tout âge (sections de jeux pour chaque âge). Le boisé permet d'avoir de l'ombre partout. Il y a même un terrain de balle molle pour les adeptes. Faites attention en traversant le passage à niveau sur Toupin."
55,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSUNVNmZER1NBEAE,karim Abou ayman,https://www.google.com/maps/contrib/109556479992729736732/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.632283,5.0,52,"(Translated by Google) Full of trees, well equipped park, several fields and kind of sport to do on the spot.
Child, adult can benefit from this kind of park.

(Original)
Plein d arbre, parc bien équipé, plusieurs terrains et genre de sport a faire sur place.
Enfant, adulte peuvent y bénéficier de ce genre de parc."
56,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURVNDQzcnV3RRAB,Jonathan Doré,https://www.google.com/maps/contrib/109934485922230718590/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.633142,4.0,75,"(Translated by Google) Nice place. I played at the ball, the field is OK, but the field outside rough.

(Original)
Bel endroit. J'y ai joué à la balle, le terrain est OK, mais le champs extérieur plutôt rough."
57,Parc Noël-Sud,ChZDSUhNMG9nS0VJQ0FnSURrMzV2WExnEAE,Jasmine S,https://www.google.com/maps/contrib/104753668393404893515/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.634258,3.0,17,"(Translated by Google) It is big but very safe for children

(Original)
Il est grand mais très sécuritaire pour les enfants"
58,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSURDX2JLQ3RBRRAB,Dalice Gelli,https://www.google.com/maps/contrib/108832454096863115090/reviews?hl=en-CA,8 months ago,2021-06-22 15:08:50.635092,5.0,7,"(Translated by Google) It's beautiful

(Original)
C est beau"
59,Parc Noël-Sud,ChdDSUhNMG9nS0VJQ0FnSUQwdHFlQW9RRRAB,Sandra Awad,https://www.google.com/maps/contrib/110518218020297308828/reviews?hl=en-CA,a year ago,2021-06-22 15:08:50.635948,5.0,39,"(Translated by Google) Beautiful park!

(Original)
Très beau parc!"
