,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Oscar,ChZDSUhNMG9nS0VJQ0FnSUNxeDYtWmN3EAE,Miss Rockets,https://www.google.com/maps/contrib/100475852383639653985/reviews?hl=en-CA,a day ago,2021-06-22 15:16:00.278909,5.0,26,Fun
1,Parc Oscar,ChdDSUhNMG9nS0VJQ0FnSUMwNWVqZzZnRRAB,A Bn,https://www.google.com/maps/contrib/113994180300774520236/reviews?hl=en-CA,a year ago,2021-06-22 15:16:00.279804,5.0,82,"It's beautiful place to spend a quality time with friends and family, there is a soccer field to play your favorite activities and music festivals to listen to ,while you taste different cuisines ."
2,Parc Oscar,ChZDSUhNMG9nS0VJQ0FnSURBNjYta1RREAE,Haissam Fad,https://www.google.com/maps/contrib/112946867128510082134/reviews?hl=en-CA,3 years ago,2021-06-22 15:16:00.280981,4.0,228,Very good parc to bring the kids to play on a sunny day
3,Parc Oscar,ChdDSUhNMG9nS0VJQ0FnSUNReHRMQm53RRAB,Wiss S.,https://www.google.com/maps/contrib/104897669327635096793/reviews?hl=en-CA,3 years ago,2021-06-22 15:16:00.282880,4.0,6,Free Wifi here! Thank you Ville de Montreal
4,Parc Oscar,ChZDSUhNMG9nS0VJQ0FnSUQwNWU2Y0FREAE,Mouris Khouri,https://www.google.com/maps/contrib/108204121120887903600/reviews?hl=en-CA,a year ago,2021-06-22 15:16:00.284043,3.0,1,Good and clean parc
5,Parc Oscar,ChZDSUhNMG9nS0VJQ0FnSUNBcV9LbVBREAE,Mohamed Krelifaoui,https://www.google.com/maps/contrib/113185106499005477998/reviews?hl=en-CA,4 years ago,2021-06-22 15:16:00.284997,4.0,6,Great parc
6,Parc Oscar,ChdDSUhNMG9nS0VJQ0FnSUNBaXVmbGh3RRAB,Luce P,https://www.google.com/maps/contrib/117224861528171148313/reviews?hl=en-CA,4 years ago,2021-06-22 15:16:00.285999,5.0,21,View on the public
7,Parc Oscar,ChdDSUhNMG9nS0VJQ0FnSUR5MzZqVHJ3RRAB,François Lauzon,https://www.google.com/maps/contrib/101967431726247797251/reviews?hl=en-CA,2 months ago,2021-06-22 15:16:00.287637,4.0,32,"(Translated by Google) Nice place for children. Clean places and safe games ...

(Original)
Bel endroit pour les enfants. Endroits propre et jeux sécuritaires..."
8,Parc Oscar,ChZDSUhNMG9nS0VJQ0FnSURBOE5fVlVnEAE,Madeleine Geffard,https://www.google.com/maps/contrib/116137780148292894485/reviews?hl=en-CA,3 years ago,2021-06-22 15:16:00.288769,5.0,3,"(Translated by Google) The Circle of Fermières Montreal-Nord is located in the chalet of the park. Many activities are done there: knitting, crochet, dancing, painting, sewing, jewelry, etc. It's awesome !

(Original)
Le Cercle de Fermières Montréal-Nord est situé dans le chalet du parc.  Beaucoup d'activités s'y font : tricot, crochet, danse, peinture, couture, bijoux, etc.  C'est génial !"
9,Parc Oscar,ChdDSUhNMG9nS0VJQ0FnSUN5cnZfb3JnRRAB,David Estrada,https://www.google.com/maps/contrib/100625666192053618390/reviews?hl=en-CA,4 months ago,2021-06-22 15:16:00.289686,5.0,17,"(Translated by Google) Beautiful ice rink

(Original)
Belle patinoire"
