,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSURLdXQ2aVJnEAE,Annie B,https://www.google.com/maps/contrib/107114963821876216029/reviews?hl=en-US,a month ago,2021-06-23 16:14:14.794576,5.0,40,"Nice place, always busy when it's nice out though!"
1,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSUM4NEpMR1VnEAE,David Leclerc,https://www.google.com/maps/contrib/109731532347718058260/reviews?hl=en-US,a year ago,2021-06-23 16:14:14.795669,5.0,103,Small but has like 6 pic nic tables and kids structures.  All good... And near Marché Maisonneuve
2,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSUNneTRpQ253RRAB,Justin Michaud,https://www.google.com/maps/contrib/118328989252428926992/reviews?hl=en-US,3 years ago,2021-06-23 16:14:14.796706,5.0,33,Love this park. Nice and simple. Right next to the market and an outdoor pool.
3,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSURLejZYMGhRRRAB,Fayolle Jean baptiste,https://www.google.com/maps/contrib/102443946445174738230/reviews?hl=en-US,a month ago,2021-06-23 16:14:14.797572,4.0,55,beautiful  🤩
4,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSURTc2RTZmN3EAE,Ender Da Don,https://www.google.com/maps/contrib/114544339520185611385/reviews?hl=en-US,5 months ago,2021-06-23 16:14:14.798493,5.0,12,Nice location
5,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSUNVaEtYNlF3EAE,Mike F.,https://www.google.com/maps/contrib/111845549343093646016/reviews?hl=en-US,a year ago,2021-06-23 16:14:14.799406,4.0,124,Nice Parc. Play area for children. Near Marche Mason. Nearby swimming pool.
6,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSURReVpfRjRBRRAB,Bich N,https://www.google.com/maps/contrib/109446953675600739092/reviews?hl=en-US,2 years ago,2021-06-23 16:14:14.800404,5.0,101,"Place where you can seat on the bench, table available for foodie or board game's players, a decent area for the kids to slide, climb and play in the sand.  Also, a basketball field and a patenque area to play with friends.  You can lay on the grass for a suntan or have a picnic"
7,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSURZbzgyWE9REAE,Tumakon Jaemsaidee,https://www.google.com/maps/contrib/115828875105093280336/reviews?hl=en-US,2 years ago,2021-06-23 16:14:14.801702,5.0,5,"Nice green parc near Marché Maisonneuve, ideal to have a lunch and bring your kids to play 👌🏻"
8,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSUM4M29hV25nRRAB,Tina Tina,https://www.google.com/maps/contrib/103598703548264908364/reviews?hl=en-US,11 months ago,2021-06-23 16:14:14.803034,5.0,7,Nice place to relax
9,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSURvMC03cUNREAE,Ahmad Mahboob,https://www.google.com/maps/contrib/102312582434488066388/reviews?hl=en-US,2 years ago,2021-06-23 16:14:14.804104,5.0,115,Its nice place for all specially for kinds.
10,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSUMwMXNuNjN3RRAB,Bruno Bonvini,https://www.google.com/maps/contrib/115071508483393463627/reviews?hl=en-US,a year ago,2021-06-23 16:14:14.805287,5.0,249,Nice park
11,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSUN3ek1xWE5BEAE,Leonardo Aboud,https://www.google.com/maps/contrib/109872960522373858546/reviews?hl=en-US,3 years ago,2021-06-23 16:14:14.806470,4.0,26,Nice
12,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSUNxcmR1RGRREAE,Alain St-Laurent,https://www.google.com/maps/contrib/101640489886644066875/reviews?hl=en-US,a week ago,2021-06-23 16:14:14.807690,4.0,49,"(Translated by Google) Peaceful place.

(Original)
Endroit paisible."
13,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSUNLMDdqcF9nRRAB,Grandmont Johanne,https://www.google.com/maps/contrib/117296170809735853266/reviews?hl=en-US,2 months ago,2021-06-23 16:14:14.808786,5.0,29,"(Translated by Google) Very nice park, clean and enough games anyway.

(Original)
Très beau parc, propre et assez de jeux quand même."
14,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSUNxd0xqOUhREAE,Francine Metayet,https://www.google.com/maps/contrib/118305970835582654519/reviews?hl=en-US,a month ago,2021-06-23 16:14:14.809780,4.0,74,"(Translated by Google) Very clean

(Original)
Très propre"
15,Parc Ovila-Pelletier,ChZDSUhNMG9nS0VJQ0FnSURTM2NyRkFREAE,Mark podgaichenko,https://www.google.com/maps/contrib/117687235862920871708/reviews?hl=en-US,5 months ago,2021-06-23 16:14:14.810709,5.0,293,"(Translated by Google) A beautiful park where there is a market and modules.

(Original)
Un beaux parc ou ilya un marché et des modules."
16,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSURjOS11WjBBRRAB,Michel Chevrier,https://www.google.com/maps/contrib/112672368039654117034/reviews?hl=en-US,a year ago,2021-06-23 16:14:14.811662,3.0,18,"(Translated by Google) Small quiet park near the main market. Only downside: too much waste on the ground

(Original)
Petit parc tranquille près du marché mainsonneuve. Seul bémol beaucoup trop de déchet parterre"
17,Parc Ovila-Pelletier,ChdDSUhNMG9nS0VJQ0FnSUNBLXN5ZHlBRRAB,Laurence c.venne,https://www.google.com/maps/contrib/113844527594633726773/reviews?hl=en-US,4 years ago,2021-06-23 16:14:14.812727,4.0,54,"(Translated by Google) Park very well located. Perfect for families. Ready Maisonneuve Market. safe Games. Space for a picnic or play outside simply. Very clean. Only problem. No paddling

(Original)
Parc très bien situé. Parfait pour les familles. Prêt du Marché Maisonneuve. Jeux sécuritaires. Espace pour faire un pique-nique ou jouer dehors tout simplement. Très propre. Seul hic. Il n'y a pas de pataugeoire"
