,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUN5NFBxMXh3RRAB,Milene Acosta,https://www.google.com/maps/contrib/109238653212667321460/reviews?hl=en-US,5 months ago,2021-06-23 16:13:25.895929,5.0,15,"Awesome, there's swimming pool in the summer and a skating space in the winter. Love it!"
1,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSUM0dFltSUNREAE,Simon Batenjana,https://www.google.com/maps/contrib/101560922648626624162/reviews?hl=en-US,6 months ago,2021-06-23 16:13:25.896960,3.0,13,"Good park
Nice playground for kids
It contains a basketball, a football and a tennis playgrounds
And there is also a swimming pool
But they aren't well guarded
The nets in the football and tennis stadium broken."
2,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSURreF9YMDVBRRAB,Abdul Hakkeem,https://www.google.com/maps/contrib/105030165893038028130/reviews?hl=en-US,a year ago,2021-06-23 16:13:25.898029,4.0,21,"Nice place for kids and for all. Basketball ground, 3 Tennis courts, swimming pool for adults and separate for kids.Big Kids play area."
3,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUNxa3FLUnpBRRAB,zach goyette,https://www.google.com/maps/contrib/110333747508607393861/reviews?hl=en-US,3 weeks ago,2021-06-23 16:13:25.899053,4.0,4,packed during after school hours and late afternoon on weekends
4,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSUNDdkpPakdnEAE,Dan Mac,https://www.google.com/maps/contrib/109846827923248048732/reviews?hl=en-US,10 months ago,2021-06-23 16:13:25.899985,4.0,82,"A bustling neighbourhood park, with an outdoor pool and a wading pool as well. Well managed with regards to the current situation. It's always busy with families from the neighbourhood."
5,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUM4eHRQTWlBRRAB,Abdulrahman Braighish,https://www.google.com/maps/contrib/109869423962244149966/reviews?hl=en-US,11 months ago,2021-06-23 16:13:25.901028,1.0,41,"I came to this garden to get my children to swimming and while they were swim I took pictures for them and one of the rescuers came to me to talk to me in a bad way that I can't taking pictures so I told her that it is a public place and that I have the right to take pictures but she refused and spoke rudely
Please teach rescuers to focus in their work and teach them the rights of others and etiquette in public places.
The law in Canda
There is no law against public photography in Canada; no one here can ever be arrested for the simple act of making a picture or film."
6,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSURDdnNPZVV3EAE,Abu Bishr,https://www.google.com/maps/contrib/101619277714489106570/reviews?hl=en-US,3 months ago,2021-06-23 16:13:25.902092,3.0,7,Nice park for kids to play.
7,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSURLbHZhT0JBEAE,patrick “Patrick” Lopez,https://www.google.com/maps/contrib/102753145984940595583/reviews?hl=en-US,a month ago,2021-06-23 16:13:25.903111,5.0,19,Love this park .
8,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUM4di03ZThBRRAB,Buddy Howard,https://www.google.com/maps/contrib/115595746035820076965/reviews?hl=en-US,11 months ago,2021-06-23 16:13:25.904225,3.0,16,"The park is a nice and quaint little area of Montreal, nothing more to say really."
9,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSUNDenZQdWJ3EAE,Abdul Rahman Nashawi,https://www.google.com/maps/contrib/112576956507112141305/reviews?hl=en-US,10 months ago,2021-06-23 16:13:25.905243,5.0,126,"Secure splash pad with babies pool, and nice deep pool for adults, with rescuing team."
10,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSURVbk4yQXNnRRAB,Leon,https://www.google.com/maps/contrib/112217234715949609710/reviews?hl=en-US,a year ago,2021-06-23 16:13:25.906326,4.0,16,"It's a nice park offering different ways of having fun such as a playground, a pool, outdoor workout stations and tennis courts. Even though it's filled with unruly kids, the community reveals a special distinctiveness and liveliness unknown to other parks. You should really spend some time there and see past the kids lacking respect and the moms shouting in foreign languages."
11,Parc Painter,ChZDSUhNMG9nS0VJQ0FnSUM4dnZfX1FREAE,Enad Mansour,https://www.google.com/maps/contrib/110788255774368627196/reviews?hl=en-US,11 months ago,2021-06-23 16:13:25.907519,5.0,27,Beautiful park with a lot of places for kids to play.
12,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUNxdzZmeWxBRRAB,Simranpreet Kaur,https://www.google.com/maps/contrib/117446695145958075483/reviews?hl=en-US,6 days ago,2021-06-23 16:13:25.908878,5.0,2,Good
13,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSURTXzh1XzJ3RRAB,Osama Drkz,https://www.google.com/maps/contrib/114843936773271919128/reviews?hl=en-US,5 months ago,2021-06-23 16:13:25.910153,5.0,61,Good park 👏
14,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUNDaXV5bTJBRRAB,CK Chark,https://www.google.com/maps/contrib/110323353783978404529/reviews?hl=en-US,10 months ago,2021-06-23 16:13:25.911407,3.0,48,"Small park for neighberhood, includes a swimming pool and tennis playground"
15,Parc Painter,ChdDSUhNMG9nS0VJQ0FnSUQwMGNYNzVBRRAB,Misbah Saleen,https://www.google.com/maps/contrib/101566765298698718478/reviews?hl=en-US,a year ago,2021-06-23 16:13:25.912501,5.0,18,"It's an average size park with a seperate  area for kids to enjoy swings. It has a walking track, tennis court, basket ball court, and lots of benches to sit and relax. They have recently renovate the park and install some gym accesories gor those who need to stretch a bit. I have seen people celebrating their birthdays and do small get togethers. There are 2 swimming pools one for adult and one for kids. I send my son for summer camp here which is really good and organize by some voluntary troop. They have indoor games on certain days of the week. Love it!!!"
