,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUNnc2RlOG9RRRAB,Vinay Paramanand,https://www.google.com/maps/contrib/109526508773575180296/reviews?hl=en-CA,3 years ago,2021-06-22 15:33:06.900669,4.0,53,"Nice park with lots of shade. Kids loved it. Good place to spend two hours. Lots of benches, ping pong table and water fountain."
1,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUNpczZhMjdBRRAB,Sarah Pi Ché,https://www.google.com/maps/contrib/100509733109814872496/reviews?hl=en-CA,7 months ago,2021-06-22 15:33:06.901760,5.0,8,The name of that park is excellent.
2,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUM0dVp2bHBBRRAB,Gwenaelle Jouan,https://www.google.com/maps/contrib/116840781331988339194/reviews?hl=en-CA,2 years ago,2021-06-22 15:33:06.903303,4.0,24,"Urban playground with space, tables, trees and interesting modules. Ideal to make a break when visiting the plateau."
3,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUNRaWRIdHJRRRAB,Gian-Paul Simpson,https://www.google.com/maps/contrib/110247926985373493109/reviews?hl=en-CA,3 years ago,2021-06-22 15:33:06.905119,5.0,46,I love this park! The best play structures I have seen in Montreal!
4,Parc Palomino-Brind'Amour,ChZDSUhNMG9nS0VJQ0FnSUNVenViekl3EAE,Hans Villarpando,https://www.google.com/maps/contrib/117974933051049198489/reviews?hl=en-CA,a year ago,2021-06-22 15:33:06.906304,4.0,414,Beautiful place for kids
5,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUNBaVkzVjRRRRAB,jeremy petrus,https://www.google.com/maps/contrib/100827602389068680856/reviews?hl=en-CA,2 years ago,2021-06-22 15:33:06.907376,5.0,83,Newly renovated
6,Parc Palomino-Brind'Amour,ChZDSUhNMG9nS0VJQ0FnSUN5dDZDWU5REAE,Alexis Lavoie,https://www.google.com/maps/contrib/100929539957907879632/reviews?hl=en-CA,4 months ago,2021-06-22 15:33:06.908386,5.0,1,"(Translated by Google) Great park, for picnics. Weights bars, tables, modules are present there. Perfect park if you want to be calm.

(Original)
Super parc, pour les pique-nique. Des barre de musculation, des tables, des module y sont présent. Parc parfait si vous voulez être calme."
7,Parc Palomino-Brind'Amour,ChZDSUhNMG9nS0VJQ0FnSUNDa011SlVREAE,Olivier Lougovoy,https://www.google.com/maps/contrib/104728171354699836761/reviews?hl=en-CA,10 months ago,2021-06-22 15:33:06.909964,4.0,873,"(Translated by Google) Small urban park.

Well appointed and rather clean.

Interesting play area for children with original facilities, particularly in terms of motor skills.

Be careful, however, of the toboggan burning in the sun. We need materials that avoid heat.

(Original)
Petit parc urbain.

Bien aménagé et plutôt propre.

Aire de jeux intéressante pour les enfants avec des installations originales notamment en termes de motricité.

Attention néanmoins au toboggan brûlant au soleil. Il faudrait des matériaux qui évitent la chaleur."
8,Parc Palomino-Brind'Amour,ChZDSUhNMG9nS0VJQ0FnSURDeHRUY0NnEAE,E. M.,https://www.google.com/maps/contrib/112248783160657954939/reviews?hl=en-CA,8 months ago,2021-06-22 15:33:06.911317,5.0,318,"(Translated by Google) A park that should be a model to follow for future [re] developments of other parks; it is really the evolution of this type of commonplace that we find there!

There is something for every taste ; ""cross-fit"" facilities (physical training which only requires the weight of the person and solid surfaces and bars), the children's play facilities are of high quality, well thought out, modern and attractive.

The interest of my children having recently passed the age of the younger sections mentioned above, we took advantage of the multiple ""surfaces and obstacles"" (rock trails, plants and grasses, trees and shrubs) to - in our case - trying with pleasure and success our new remote-controlled car (that of the children :) and although there were several people in the park, the latter being relatively very large for a neighborhood park, it didn't bother anyone.

Everyone got their own: their mother was doing her exercises while we had fun and we noticed the installation of a ping-pong table and plan to meet there with rackets and balls! (Great! The idea of ​​ping-pong tables)!

Twenty years ago and before, on the island of Montreal, there were only about Outremont and in certain privileged municipalities of the kind that one found such “super-parks”. Today, it is a pleasure to see that the City of Montreal is finally making good use of the budgets made available to it.

At least in the Plateau Mont-Royal where yes, “tourists” (alias those who don't live there and frustrated motorists) can protest against the redevelopment of the neighborhood; For my part I find it great that finally real cycle paths are available in numbers to the point of being able to be described as part of a cycling NETWORK - versus the dangerous white paint lines of the Tremblay administration which was drawing a few million dollars each time 100 mothers of white lines had been spanned, thus scamming citizens and at the same time putting the lives of citizens in danger, the best example being the ““ cycle path ”” ”of boulevard Saint-Urbain: one of those famous white ""cycle"" lines which must have cost the lives of at least ten people ...

In conclusion: the ex-Mayor Fernandez whom so many people liked to criticize (and worse) is an example of what has been done well and what is wrong, the latter having to resign - out of integrity and respect for his own political values ​​- because he has clearly spent enough time in municipal politics to realize - at least I wish him - that he did more than anyone before him - and that unfortunately it will take a long time before Montreal can benefit of such a citizen welfare guard lieutenant.

(Original)
Un parc qui devrait être un modèle à suivre pour les [ré]aménagements à venir d'autres parcs ; c'est vraiment l'évolution de ce type de lieux communs que l'on y trouve!

Il y en a pour tous les goûts ; des installations de ""cross-fit"" (entraînement physique qui ne requièrent que le poids de la personne et des surfaces et barres solides), les installations de jeux pour enfants sont de qualité, bien pensées, modernes et attrayantes.

L'intérêt de mes enfants ayant dépassé depuis peu l'âge des sections pour plus jeunes ci-haut mentionnées, nous avons profité des multiples «surfaces et obstacles» (sentiers de roche, plantes et herbes, arbres et arbustes) pour - dans notre cas - essayer avec plaisir et succès notre nouvelle voiture téléguidée (celle des enfants :) et malgré qu'il y avait plusieurs personnes dans le parc, ce dernier étant relativement très grand pour un parc de quartier, ça n'a dérangé personne.

Tout le monde en a eu pour son compte : leur mère faisait ses exercices pendant que nous nous amusions et nous avons remarqué l'installation d'une table de ping-pong et planifions d'y retrouver avec raquettes et balles! (Super! l'idée des tables de ping-pong)!

Il y a 20 et avant, sur l'île de Montréal, il n'y avait à peu près qu'à Outremont et dans certaines municipalités privilégiées du genre que l'on trouvait de tels «super-parcs». Aujourd'hui, c'est un plaisir de voir que la Ville de Montréal fait finalement bon usage des budgets mis à sa disposition.

Du moins dans le Plateau Mont-Royal où oui, les «touristes» (alias ceux qui n'y habitent pas et les automobilistes frustré.es) peuvent pester contre les réaménagements du quartier ; pour ma part je trouve génial qu'enfin de vraies pistes cyclables soient en nombres disponibles au point de pouvoir être décrites comme faisant partie d'un RÉSEAU cycliste - versus les dangereuses lignes de peinture blanche de l'administration Tremblay qui pigeait quelques millions de dollars chaque fois que 100 mères de lignes blanches avaient été travées, arnaquant ainsi les citoyens et mettant en même temps la vie des citoyens en danger, le meilleur exemple étant la «««piste-cyclable»»» du boulevard Saint-Urbain : une de ces fameuses lignes blanches «cyclable» qui a bien dû coûter la vie à un dizaine de personnes au moins...

En conclusion : l'ex Maire Fernandez que tant de gens aimaient critiquer (et pire) est un exemple de ce qui s'est fait de bien et de ce qui ne va pas, ce dernier ayant dû démissionner - par intégrité et respect de ses propres valeurs politiques - car il a clairement passé assez de temps en politique municipale pour réaliser - du moins je lui souhaite - qu'il en a fait plus que personne avant lui - et que malheureusement cela prendra un bon moment avant que Montréal ne puisse bénéficier d'un tel lieutenant de garde du bien-être citoyen."
9,Parc Palomino-Brind'Amour,ChdDSUhNMG9nS0VJQ0FnSUM4NXBLZC1RRRAB,Frederic Millet,https://www.google.com/maps/contrib/109058181496817751480/reviews?hl=en-CA,9 months ago,2021-06-22 15:33:06.912851,4.0,260,"(Translated by Google) Nice little neighborhood park with a nice playground

(Original)
Beau petit parc de quartier avec une belle aire de jeux"
