,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSUNLa2VUNEN3EAE,Jay Kap,https://www.google.com/maps/contrib/116633473248484782279/reviews?hl=en-CA,2 months ago,2021-06-24 21:51:55.906531,3.0,47,Nice park to bring the kids. Just missing a portapotty! Nice area to walk along Laland Blvd.
1,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSUNxclpfeFpnEAE,Modukamu Papy Makuma,https://www.google.com/maps/contrib/113956223592864632442/reviews?hl=en-CA,a week ago,2021-06-24 21:51:55.908277,5.0,100,Beautiful! The view of the river is awesome!
2,Parc Paquin,ChdDSUhNMG9nS0VJQ0FnSUR5OExtcDFnRRAB,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,4 months ago,2021-06-24 21:51:55.909957,5.0,118,"Best place to relax,play and yoga class outdoor by the river on Sunday mornings."
3,Parc Paquin,ChdDSUhNMG9nS0VJQ0FnSUNjby15V2h3RRAB,Greg Domagala,https://www.google.com/maps/contrib/101457648011392623745/reviews?hl=en-CA,a year ago,2021-06-24 21:51:55.911562,5.0,241,Nice park with water view and modern day areas for kids.
4,Parc Paquin,ChdDSUhNMG9nS0VJQ0FnSURjbEpTWDNRRRAB,Mohammad Khair AL Bukaai,https://www.google.com/maps/contrib/106847049284709689295/reviews?hl=en-CA,a year ago,2021-06-24 21:51:55.912544,5.0,19,Qiet Clean and very nice park
5,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSUNDbkt2X0hnEAE,Katty Yang,https://www.google.com/maps/contrib/106239106970685484472/reviews?hl=en-CA,10 months ago,2021-06-24 21:51:55.915394,5.0,15,Very cool place
6,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSUNDeC1pQ1BREAE,Dave Hima,https://www.google.com/maps/contrib/109189984159166518657/reviews?hl=en-CA,9 months ago,2021-06-24 21:51:55.920771,5.0,35,A beauty!
7,Parc Paquin,ChdDSUhNMG9nS0VJQ0FnSUR3N29Pci1RRRAB,shady alshammas,https://www.google.com/maps/contrib/104380426701710476022/reviews?hl=en-CA,2 years ago,2021-06-24 21:51:55.922985,5.0,26,Love the view there 😍😍😍
8,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSURZOF9fN1hREAE,Eric Mills,https://www.google.com/maps/contrib/104783067989501442818/reviews?hl=en-CA,2 years ago,2021-06-24 21:51:55.926843,4.0,44,It's alright
9,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSUNpdmNfTVFBEAE,andree meunier,https://www.google.com/maps/contrib/101579160700725814374/reviews?hl=en-CA,7 months ago,2021-06-24 21:51:55.929725,3.0,152,"(Translated by Google) Very busy park not very aesthetic.

(Original)
Parc tres occupé pas tres esthetique."
10,Parc Paquin,ChZDSUhNMG9nS0VJQ0FnSURjaHNteWJREAE,yasmeen ben,https://www.google.com/maps/contrib/111818482801902946844/reviews?hl=en-CA,a year ago,2021-06-24 21:51:55.931458,5.0,108,"(Translated by Google) Quiet and clean with a great view

(Original)
Calme et propre avec une très belle vue"
11,Parc Paquin,ChdDSUhNMG9nS0VJQ0FnSUNDdXQ3cjB3RRAB,Laurent Fortier,https://www.google.com/maps/contrib/113655090531714836644/reviews?hl=en-CA,10 months ago,2021-06-24 21:51:55.933544,5.0,30,"(Translated by Google) Good little park on the water's edge!

(Original)
Bon petit parc sur le bord de l'eau!"
