,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURLbU5iZTBBRRAB,Jorge “LinkinXP” Suarez,https://www.google.com/maps/contrib/107589903245947361874/reviews?hl=en-CA,a month ago,2021-06-22 15:34:08.456516,5.0,100,"Very nice park, lots of places for the kids to play, highly recommend it"
1,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUNxMnRYYURREAE,Oksana Lysa,https://www.google.com/maps/contrib/111797120793020582905/reviews?hl=en-CA,2 weeks ago,2021-06-22 15:34:08.457571,3.0,19,"Busy small park for kids at the hill.
Gets very noisy sometimes as area is not large,  but children have enough activities here  to do: 2 types of swings, slides, a few benches for parents etc."
2,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUNLLVpqWGFnEAE,pamela davy,https://www.google.com/maps/contrib/114138423001526564790/reviews?hl=en-CA,2 months ago,2021-06-22 15:34:08.458485,5.0,10,Impressed by exercise equipment for over 55 years.
3,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNDajZhZzZBRRAB,Mostafa Fadaee,https://www.google.com/maps/contrib/114356799578852390694/reviews?hl=en-CA,9 months ago,2021-06-22 15:34:08.459403,5.0,54,A very nice and cozy place for families. Nice playground for kids and good exercising equipment for adults.
4,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUNpMmZLU0F3EAE,Krystyna Piech,https://www.google.com/maps/contrib/113592160449325995380/reviews?hl=en-CA,7 months ago,2021-06-22 15:34:08.460315,5.0,9,Seems to be a nice park for 4 to 8 year olds.  Lots of children with parents.
5,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNLM2JqRjRRRRAB,Jay JG,https://www.google.com/maps/contrib/100395126861283800166/reviews?hl=en-CA,2 months ago,2021-06-22 15:34:08.461229,4.0,12,Love this place.
6,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSURLMWV5Y2RREAE,Akinwale Kolawole,https://www.google.com/maps/contrib/113889856700680235852/reviews?hl=en-CA,a month ago,2021-06-22 15:34:08.462147,5.0,51,It was fun
7,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURDcy1IVG93RRAB,Seven Stars,https://www.google.com/maps/contrib/108193826491344919314/reviews?hl=en-CA,8 months ago,2021-06-22 15:34:08.463151,5.0,239,It is a small park but it has everything for kids. It has sport tools for adults also to do exercises.
8,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUNxbllYYVZBEAE,francois bouchard,https://www.google.com/maps/contrib/104793758337867524283/reviews?hl=en-CA,6 days ago,2021-06-22 15:34:08.464075,3.0,1,"Pas super tripper, beau parc pour les enfants avec jeux d'eau mais bon le gazon es rough pour la face"
9,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURDdXNfY19nRRAB,la bouk,https://www.google.com/maps/contrib/109702313961404689161/reviews?hl=en-CA,8 months ago,2021-06-22 15:34:08.464991,5.0,69,"(Translated by Google) Very nice little park next to the library and the Saint Laurent sports center a lot of games. My kids really like going there.

(Original)
Très beau petit parc à côté de la bibliothèque et le centre sportis Saint Laurent beaucoup de jeux. Mes enfants aiment beaucoup y aller."
10,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUQ4MGNycGFREAE,Alex Cournoyer,https://www.google.com/maps/contrib/101893484882593890082/reviews?hl=en-CA,11 months ago,2021-06-22 15:34:08.465906,5.0,1,"(Translated by Google) Beautiful large trees that provide shade. Outdoor gym for seniors. Water games (Aquaciel) close by. Picnic tables.

(Original)
De beaux grands arbres qui offrent de l'ombre. Gym extérieur pour aînés. Jeux d'eau (Aquaciel) à deux pas. Tables à pique-nique."
11,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNDbGVxcDFRRRAB,Darcy Belliard,https://www.google.com/maps/contrib/100831704729854512849/reviews?hl=en-CA,9 months ago,2021-06-22 15:34:08.466842,5.0,86,"(Translated by Google) Very nice facilities, quiet and pleasant.

(Original)
Très belles installations, tranquille et agréable."
12,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURZbGVhTmhRRRAB,David Germain,https://www.google.com/maps/contrib/116401737492739538561/reviews?hl=en-CA,2 years ago,2021-06-22 15:34:08.467766,5.0,35,"(Translated by Google) Beautiful park with two beautiful group of modules for children. Convenient to move before or after a visit to the nearby library.They added a section of modules for seniors, but I have not seen people use it yet.

(Original)
Beau parc avec deux beau groupe de modules pour les enfants. Pratique pour bouger avant ou après une visite à la bibliothèque proche.Ils ont ajouté une section de modules pour aînés, mais je n'ai pas vu de gens l'utiliser encore."
13,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNxMWJLOV9nRRAB,Luis David Muñoz Ramírez,https://www.google.com/maps/contrib/115713826058184909560/reviews?hl=en-CA,a week ago,2021-06-22 15:34:08.468677,5.0,2,
14,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNLZ0thYTl3RRAB,Baljinder Singh,https://www.google.com/maps/contrib/106901174191666450711/reviews?hl=en-CA,2 months ago,2021-06-22 15:34:08.469696,5.0,0,
15,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNLX2ViZjJRRRAB,ashley shade,https://www.google.com/maps/contrib/113224993448970534473/reviews?hl=en-CA,2 months ago,2021-06-22 15:34:08.470607,5.0,1,
16,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNVaDZQMzF3RRAB,Timmy Stern,https://www.google.com/maps/contrib/109634145768913995591/reviews?hl=en-CA,a year ago,2021-06-22 15:34:08.471518,5.0,4,
17,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURVNmNpTHhnRRAB,Maha Mubarak,https://www.google.com/maps/contrib/104411482270943295873/reviews?hl=en-CA,a year ago,2021-06-22 15:34:08.472542,5.0,0,
18,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUNDOS1QVnZRRRAB,Cheryl Williams,https://www.google.com/maps/contrib/117608500994213666141/reviews?hl=en-CA,9 months ago,2021-06-22 15:34:08.473465,5.0,28,
19,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSURVeGNfcHVnRRAB,Tim W,https://www.google.com/maps/contrib/106957647246976232107/reviews?hl=en-CA,a year ago,2021-06-22 15:34:08.474381,5.0,85,
20,Parc Parent,ChdDSUhNMG9nS0VJQ0FnSUQ4NTR2S2l3RRAB,maria doncheva,https://www.google.com/maps/contrib/104897539995481375645/reviews?hl=en-CA,10 months ago,2021-06-22 15:34:08.475298,5.0,92,
21,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSURzNmRxQ0tnEAE,Primous Njiki,https://www.google.com/maps/contrib/100185468416802058256/reviews?hl=en-CA,a year ago,2021-06-22 15:34:08.476209,3.0,4,
22,Parc Parent,ChZDSUhNMG9nS0VJQ0FnSUQ4aWI3QUV3EAE,Albert Nguyen,https://www.google.com/maps/contrib/113715921570761775057/reviews?hl=en-CA,11 months ago,2021-06-22 15:34:08.477129,4.0,6,
