,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSURRenVpQTZRRRAB,OLABISI OLALEYE,https://www.google.com/maps/contrib/110661293134874513543/reviews?hl=en-CA,2 years ago,2021-06-22 15:35:42.702405,1.0,101,Breezy and a great place to consolidate decisions.  Quite close to the library
1,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSURnNV9uQVVBEAE,Carol Carriere,https://www.google.com/maps/contrib/115721056953285113795/reviews?hl=en-CA,4 years ago,2021-06-22 15:35:42.703785,2.0,805,It's nice but very small area and not quite extraordinary.
2,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSURBaWN2RHZRRRAB,Joanne Lacoste,https://www.google.com/maps/contrib/115257875939518931920/reviews?hl=en-CA,4 years ago,2021-06-22 15:35:42.704890,4.0,131,Belle place
3,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSUNRdnJiQnZ3RRAB,Gladys Bergeron,https://www.google.com/maps/contrib/113069236315957423338/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.705972,5.0,13,"(Translated by Google) A park!

(Original)
Un parc!"
4,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSURnOG82WGNBEAE,Henri Bishop,https://www.google.com/maps/contrib/117672705271880785110/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.707079,4.0,950,"(Translated by Google) Very good

(Original)
Très bien"
5,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSUNnanFMWFhnEAE,Serge Langevin,https://www.google.com/maps/contrib/112356642315235016722/reviews?hl=en-CA,4 years ago,2021-06-22 15:35:42.708634,4.0,103,"(Translated by Google) Not much to do

(Original)
Pas grand chose à faire"
6,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSUNRbmZ6cUZREAE,Josée Ouellette,https://www.google.com/maps/contrib/104547700558587039694/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.710124,5.0,20,"(Translated by Google) Beautiful park

(Original)
Beau parc"
7,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSUNReU1Ia193RRAB,Robert Bourgoin,https://www.google.com/maps/contrib/104012324403576842004/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.712166,4.0,0,
8,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSURpZ3RDTDRnRRAB,emilie lachance,https://www.google.com/maps/contrib/113441216030970692329/reviews?hl=en-CA,6 months ago,2021-06-22 15:35:42.714003,5.0,52,
9,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSUNVeDd1YjJRRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-22 15:35:42.720511,5.0,140,
10,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSURBNGQyOXBBRRAB,John McCoy,https://www.google.com/maps/contrib/111636178245818389106/reviews?hl=en-CA,2 years ago,2021-06-22 15:35:42.722555,5.0,35,
11,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSUN3bi1HcGhRRRAB,johnny harney,https://www.google.com/maps/contrib/104359850863628771111/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.724252,3.0,26,
12,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSURncWVlYmhBRRAB,Arike Lepia,https://www.google.com/maps/contrib/113240690264249768767/reviews?hl=en-CA,2 years ago,2021-06-22 15:35:42.725820,5.0,2,
13,Parc Patterson,ChdDSUhNMG9nS0VJQ0FnSUNZNHRfMGdRRRAB,Marilou Hamel-Gagné,https://www.google.com/maps/contrib/108712205809374167635/reviews?hl=en-CA,2 years ago,2021-06-22 15:35:42.740307,4.0,6,
14,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSUNBMWVYdGJBEAE,Sheryne Lorde,https://www.google.com/maps/contrib/115044624653457551466/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.748861,3.0,23,
15,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSUN3OVpxYWFREAE,Andre BÉLANGER,https://www.google.com/maps/contrib/108016026348083033710/reviews?hl=en-CA,3 years ago,2021-06-22 15:35:42.752082,1.0,2,
16,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSUNRczlxaVNREAE,Audrey Lavallée,https://www.google.com/maps/contrib/110935887470603921834/reviews?hl=en-CA,5 years ago,2021-06-22 15:35:42.758009,5.0,6,
17,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSURJZ043Ukx3EAE,jean-francois pruneau,https://www.google.com/maps/contrib/112492051806971561564/reviews?hl=en-CA,2 years ago,2021-06-22 15:35:42.760342,5.0,3,
18,Parc Patterson,ChZDSUhNMG9nS0VJQ0FnSURRM2RDYUV3EAE,Yves Pinard,https://www.google.com/maps/contrib/117966268321007875397/reviews?hl=en-CA,4 years ago,2021-06-22 15:35:42.762237,5.0,30,
