,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Philippe-Laheurte,ChdDSUhNMG9nS0VJQ0FnSUNxNGFHcThRRRAB,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:21:33.504996,5.0,118,"This park will satisfy users of all age. No matter what is your purpose of visiting, you will be happy. May it be a picnic, walk, bike , walk, play a sport, going to a playground, to escape the heat in a splash, listen to the bird singing, reading a book or doing outdoor training, all are good.
This park still growing. I saw city workers preparing landscaping by the side of the new tennis court and new basketball court.
Thumb up to the city of Ville St Laurent."
1,Parc Philippe-Laheurte,ChdDSUhNMG9nS0VJQ0FnSUNLNmNmazFnRRAB,Ahmad Hashem,https://www.google.com/maps/contrib/109697928740550498146/reviews?hl=en-CA,2 months ago,2021-06-24 14:21:33.505852,5.0,33,"Very nice and big. It has 3 different small soccer fields  and one big soccer field. Also, it has a kids area and water playground"
2,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSUNxenNXUGN3EAE,Janos Gati,https://www.google.com/maps/contrib/108169957741513572782/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:21:33.506887,5.0,34,"Nice place,  good place for kids. It's also has a small waterpark, kids enjoyed it, just water wery cold. No swimming or sit in water,just water sprays. Take a visit one day."
3,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSUNLM2RENFVREAE,LILY LEE,https://www.google.com/maps/contrib/101913492940101887027/reviews?hl=en-CA,2 months ago,2021-06-24 14:21:33.508284,4.0,92,"really great place for relaxing, picnic and sports.
But too many people in the play area and no social distance."
4,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSUNxanBfaVBBEAE,Jose Rafael Bravo,https://www.google.com/maps/contrib/101371210263654770106/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:21:33.509115,5.0,33,Nice for spend some time with family and kids love their facilities
5,Parc Philippe-Laheurte,ChdDSUhNMG9nS0VJQ0FnSUNxa2JYcDJnRRAB,Dimitris Latinos,https://www.google.com/maps/contrib/109121434511289347992/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:21:33.509916,5.0,138,One of the best places for kids and soccer funs
6,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSUNxNGJ6akZBEAE,Rana,https://www.google.com/maps/contrib/118443355965034517947/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:21:33.511123,5.0,21,Our favorite park specially for Birthday party
7,Parc Philippe-Laheurte,ChdDSUhNMG9nS0VJQ0FnSURpOUpxSHNBRRAB,Thomas Tran,https://www.google.com/maps/contrib/110781264055394732524/reviews?hl=en-CA,6 months ago,2021-06-24 14:21:33.511979,5.0,12,This park doesn’t stop improving! There is plenty of space to do any sport/activity you wish to do and the park looks amazing. However it’s kind of too empty for walks.
8,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSURTNi1HY0ZnEAE,Somphong Sopha,https://www.google.com/maps/contrib/102498459216478399708/reviews?hl=en-CA,5 months ago,2021-06-24 14:21:33.512785,5.0,20,"In the winter, they make a very big and nice skating ring using the park walking path."
9,Parc Philippe-Laheurte,ChZDSUhNMG9nS0VJQ0FnSUNTcU9EY09nEAE,Luigi Giancristofaro,https://www.google.com/maps/contrib/101493693408335901761/reviews?hl=en-CA,6 months ago,2021-06-24 14:21:33.513590,4.0,61,Great park for families and they are adding basketball courts and a tennis court if I'm not mistaken.
