,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUMwcnRUY1h3EAE,Carole Landry,https://www.google.com/maps/contrib/109855689206499500510/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.578011,5.0,11,Love this big park. Me and my girl love to go for random walks.
1,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURnOTRIcXJ3RRAB,Gloria Komwaka,https://www.google.com/maps/contrib/107170790261505960601/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.578971,5.0,47,Favorite park in town. Grew up nearby. The cave is nice.
2,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUM4cW9xVXp3RRAB,Nick Wheeler,https://www.google.com/maps/contrib/116103143026814151359/reviews?hl=en-CA,11 months ago,2021-06-24 14:24:40.579879,5.0,138,"Nice park, easy to find parking. Good facilities."
3,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURLaE03b2NREAE,Massimo Tenaglia,https://www.google.com/maps/contrib/105739271361695485957/reviews?hl=en-CA,a month ago,2021-06-24 14:24:40.580782,5.0,39,Love this park
4,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSURrbDdDdkVBEAE,Gabriel Ruiz Russell,https://www.google.com/maps/contrib/100234467950768016783/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.581683,5.0,26,"Great park to go with the family. The pool is pretty big, it has a splash pad section for little ones and it is pretty clean for a public pool. The park has fun games for the kids and a basketball court."
5,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUM4LXVLNlBnEAE,Geneviève Proteau,https://www.google.com/maps/contrib/104226756909795286538/reviews?hl=en-CA,11 months ago,2021-06-24 14:24:40.582588,5.0,17,"Nice little park, lots of nature in the city!"
6,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSUNzdFBuTDF3RRAB,Dreamboy,https://www.google.com/maps/contrib/103933287503353033183/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.583974,5.0,10,"Nice place to have fun and enjoy with family
Baseball field
Soccer field
Swimming pool"
7,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUMwbVlUQVJ3EAE,Kali Mendez,https://www.google.com/maps/contrib/101794972108179225868/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.584773,5.0,8,"It's huge, full of nice families, a lot of places to do picnics, play soccer  basketball or baseball plus it's have a cave."
8,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURVZ0xHUzlnRRAB,Dany Page,https://www.google.com/maps/contrib/107097452148717035901/reviews?hl=en-CA,a year ago,2021-06-24 14:24:40.585566,4.0,81,Modules for children are boring but great place for swimming and sports.
9,Parc Pie-XII,ChZDSUhNMG9nS0VJQ0FnSUNVZ3EzV2FREAE,Aislan Luiz Wendling,https://www.google.com/maps/contrib/114799578610607001982/reviews?hl=en-CA,10 months ago,2021-06-24 14:24:40.586357,5.0,164,Good park with a medium parking
10,Parc Pie-XII,ChdDSUhNMG9nS0VJQ0FnSURnbDlxenJBRRAB,Diego-José Rodriguez Vasquez,https://www.google.com/maps/contrib/113406812929875548751/reviews?hl=en-CA,6 years ago,2021-06-24 14:24:40.587148,3.0,1,"I'd give it a 3,5 out of 5. The reason why is that it's a beautiful park with lots of coloured trees you can climb on. You can also organize picnics and other outdoor activities. But, it's too small and open to the street. Still a pretty decent park though."
