,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUR5a292cTdRRRAB,Nahtally .B,https://www.google.com/maps/contrib/101662602283652179603/reviews?hl=en-CA,3 months ago,2021-06-24 14:27:43.668165,5.0,98,My go to for a quick walk 🚶‍♀️
1,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSURDX2RPendBRRAB,Carl Cordova,https://www.google.com/maps/contrib/100287248396009130456/reviews?hl=en-CA,8 months ago,2021-06-24 14:27:43.669143,4.0,23,"Enough tables and modes for kids. There is a school inside the park. Therefore recess during schooltime. If you want tranquility, I would not suggest this park, if you don't mind, it's beautiful spot"
2,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSUNLNjVieU5nEAE,daniel poulin,https://www.google.com/maps/contrib/105833331399431673106/reviews?hl=en-CA,2 months ago,2021-06-24 14:27:43.670567,5.0,25,"Quaint, and beautiful"
3,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSURzME5Xc1VnEAE,Ivan Josue Naranjo,https://www.google.com/maps/contrib/102619186085340294417/reviews?hl=en-CA,a year ago,2021-06-24 14:27:43.673245,5.0,226,A lovely memories place to me. I was living by boulevard Pierre Bernard tetrauteville. A pieces of my Heart staying there. The park is clean. Fresh. Big. U can ride u bicycle. People is gentle. U can laydown by the grass. U can see the Saint laurent. Want to go back there someday. My favorite park place on east Montreal.
4,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSURDbTRlT1d3EAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,8 months ago,2021-06-24 14:27:43.675002,4.0,637,Good parc
5,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSURDOXFTLVRBEAE,Koala MeatPie,https://www.google.com/maps/contrib/105927387573163849843/reviews?hl=en-CA,8 months ago,2021-06-24 14:27:43.676870,5.0,159,Needs more trees.
6,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUR3dE0zWV9nRRAB,Iñaki Araquistain,https://www.google.com/maps/contrib/112143785812667546566/reviews?hl=en-CA,2 years ago,2021-06-24 14:27:43.677819,5.0,16,It's a beautiful park. I've been here many times.
7,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSURVZ3R1Ym1RRRAB,Tracey Lafontaine,https://www.google.com/maps/contrib/102107328231832531789/reviews?hl=en-CA,a year ago,2021-06-24 14:27:43.679207,4.0,202,Fun place to enjoy time with family
8,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUNndjdEMF9nRRAB,Elias Sabbagh,https://www.google.com/maps/contrib/107161037724345794582/reviews?hl=en-CA,4 years ago,2021-06-24 14:27:43.680415,5.0,8,Quite place to relaxe.  Walk with your dog and communicate with your neighbours.
9,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSURNdnNxS2RBEAE,Stanley Maeschen,https://www.google.com/maps/contrib/112046694309217299247/reviews?hl=en-CA,a year ago,2021-06-24 14:27:43.681803,4.0,304,Well kept park
10,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSUNpM0tpaFBnEAE,Jyoti Singh,https://www.google.com/maps/contrib/100490814812576179463/reviews?hl=en-CA,7 months ago,2021-06-24 14:27:43.682745,5.0,46,Beautiful
11,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSUNBMExpUWZ3EAE,Papadou 23,https://www.google.com/maps/contrib/106364525664516803393/reviews?hl=en-CA,4 years ago,2021-06-24 14:27:43.683658,5.0,14,Quiet place to relax
12,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSURrODdMRF9RRRAB,Junior Pierre Louis,https://www.google.com/maps/contrib/114851686149709210990/reviews?hl=en-CA,a year ago,2021-06-24 14:27:43.684824,5.0,29,Nice
13,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUNBNlBMRS1BRRAB,gakoue cyrille,https://www.google.com/maps/contrib/117477149153885725991/reviews?hl=en-CA,2 years ago,2021-06-24 14:27:43.685925,4.0,23,Cool
14,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUNRb3FUMm5RRRAB,Geta Hailu (ጌታ),https://www.google.com/maps/contrib/116279259881037006543/reviews?hl=en-CA,4 years ago,2021-06-24 14:27:43.687176,5.0,167,Wow
15,Parc Pierre-Bernard,ChdDSUhNMG9nS0VJQ0FnSUNneVBTcG9RRRAB,Guillaume Lecours,https://www.google.com/maps/contrib/101289374580773117978/reviews?hl=en-CA,4 years ago,2021-06-24 14:27:43.688084,5.0,84,correct
16,Parc Pierre-Bernard,ChZDSUhNMG9nS0VJQ0FnSUNxN09yY1hREAE,Sigfrido Gonzalez Puga,https://www.google.com/maps/contrib/117583192443324280478/reviews?hl=en-CA,3 weeks ago,2021-06-24 14:27:43.689025,5.0,43,"(Translated by Google) I like the neighborhood, it's quiet.
The park has many spaces for young and old.

Lately, like almost everywhere, you find garbage on the ground, for example blue masks.

Please note for our young children that they are not always careful not to touch objects that could cause them harm.

(Original)
J'aime le quartier, c'est calme.
Le parc dispose de nombreux espaces pour les petits et les grands.

Dernièrement, comme presque partout, vous trouvez des ordures sur le sol, par exemple des masques bleus.

Veuillez noter pour nos jeunes enfants qu'ils ne font pas toujours attention à ne pas toucher des objets qui pourraient leur causer des dommages."
