,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pierre-Dagenais-dit-Lépine,ChZDSUhNMG9nS0VJQ0FnSURVN2VYek93EAE,Georges Younes,https://www.google.com/maps/contrib/117103478583346256520/reviews?hl=en-CA,a year ago,2021-06-24 14:29:59.032998,4.0,680,"This is yet another park on Boulevard Gouin that follows the Riviere-des-Prairies river. Being one of the longer ones, it offers a wider variety of panoramas, but the best ones remain those that you get on the river. I would have given it 5 stars had the riverfront been cleaner, but the municipality does precious little maintenance on its parks, especially those that do not attract large crowds."
1,Parc Pierre-Dagenais-dit-Lépine,ChZDSUhNMG9nS0VJQ0FnSURjZ29LLUNREAE,Amanda Szubinski,https://www.google.com/maps/contrib/107008256441171501410/reviews?hl=en-CA,a year ago,2021-06-24 14:29:59.034015,5.0,19,"(Translated by Google) Super nice place to go for a walk along the river from Montreal-North. No need to go far to relax in nature.

(Original)
Super bel endroit pour aller faire une marche le long de la rivière à partir de Montréal-Nord. Pas besoin d'aller loin pour se détendre dans la nature ."
2,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSURRci0tVzhnRRAB,nadine Bazelais,https://www.google.com/maps/contrib/116986683175335925328/reviews?hl=en-CA,3 years ago,2021-06-24 14:29:59.035023,5.0,27,"(Translated by Google) I love !

(Original)
J'adore !"
3,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSUM0NU4zVG5nRRAB,Jose Ramon,https://www.google.com/maps/contrib/105118922393458305122/reviews?hl=en-CA,2 years ago,2021-06-24 14:29:59.036037,5.0,266,"(Translated by Google) Peaceful.

(Original)
Paisible."
4,Parc Pierre-Dagenais-dit-Lépine,ChZDSUhNMG9nS0VJQ0FnSUN3azVmWURBEAE,Yves Blanc,https://www.google.com/maps/contrib/108613252702322457391/reviews?hl=en-CA,4 years ago,2021-06-24 14:29:59.037061,4.0,88,"(Translated by Google) To do for a good little walk

(Original)
À faire pour une bonne petite marche"
5,Parc Pierre-Dagenais-dit-Lépine,ChZDSUhNMG9nS0VJQ0FnSUN3enVERVR3EAE,Hugo Roy,https://www.google.com/maps/contrib/101465259506644756433/reviews?hl=en-CA,4 years ago,2021-06-24 14:29:59.039044,4.0,34,"(Translated by Google) Relaxation.

(Original)
Détente."
6,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSUNVMDRxYjRBRRAB,Diane Patry,https://www.google.com/maps/contrib/105702737739529172016/reviews?hl=en-CA,a year ago,2021-06-24 14:29:59.042216,5.0,2,
7,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSUNpeTg3aTNBRRAB,Sam Cerasuolo,https://www.google.com/maps/contrib/111103135090071858675/reviews?hl=en-CA,7 months ago,2021-06-24 14:29:59.043283,5.0,4,
8,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSURRZ3ZmVTB3RRAB,Damiano Minuto,https://www.google.com/maps/contrib/114320957014897246358/reviews?hl=en-CA,3 years ago,2021-06-24 14:29:59.044529,4.0,142,
9,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSUNLLWVmWHlBRRAB,Jacques,https://www.google.com/maps/contrib/117575024768919323781/reviews?hl=en-CA,2 months ago,2021-06-24 14:29:59.045834,4.0,67,
10,Parc Pierre-Dagenais-dit-Lépine,ChdDSUhNMG9nS0VJQ0FnSURVM2VEa3dRRRAB,Fils Laurent Cazeau,https://www.google.com/maps/contrib/111679682205498229605/reviews?hl=en-CA,a year ago,2021-06-24 14:29:59.047264,4.0,16,
