,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSUNxLV9IS3lBRRAB,Richard Laplante (Rich),https://www.google.com/maps/contrib/111021804372279329927/reviews?hl=en-CA,3 days ago,2021-06-24 14:33:28.989841,4.0,92,"Nice big park. Lots of shade. Nice kid games. Water splash pad is a bit small, but does the job of refreshing the kids. Will try pedal boat next time."
1,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSURLdF9xVDVBRRAB,Colorful Darkness,https://www.google.com/maps/contrib/102179814682719579088/reviews?hl=en-CA,a month ago,2021-06-24 14:33:28.991012,5.0,40,"I love this park and think it's amazing, the ground there is amazing and absolutely perfect for skating, biking, roller blading or just taking a walk. There is also not one but TWO fountains in the lake and a third one for kids to play, there's also a small water park area, a beautiful forest with paths a ice skating arena, multiple little huts and a gigantic playing area with toys/platforms for children of all ages. Not to forget a large hill perfect for sliding down during winder an a full sized baseball field."
2,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSUNxcktIdE9REAE,Francis Lemieux,https://www.google.com/maps/contrib/100710358392141544191/reviews?hl=en-CA,3 weeks ago,2021-06-24 14:33:28.992115,3.0,36,Nice park to relax. Have a picnic. Smaller than I thought.  Stay away from the little forest. It loaded with poison ivy.
3,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSUNDcV9hdDZRRRAB,Moshe Shak,https://www.google.com/maps/contrib/115266853895419124108/reviews?hl=en-CA,9 months ago,2021-06-24 14:33:28.993096,5.0,130,"A beautiful park with many features. A lake with friendly ducks in the water and out, play grounds for kids,  beautiful flowers,  amazing short trails with real look like various animals among the trees, picnic tables and other facilities..
and I haven't seen it all...."
4,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSUNxa0p1Nzh3RRAB,jasmine arana,https://www.google.com/maps/contrib/111117539994785903895/reviews?hl=en-CA,a month ago,2021-06-24 14:33:28.994029,5.0,1,"My go to park with my kids. Sucha nice place, very quite and so clean."
5,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSUNxcHNTUF93RRAB,Snehal Gaikwad,https://www.google.com/maps/contrib/109739036619985096077/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:33:28.995327,4.0,27,Beautiful park must visit at least once.
6,Parc Pierre-Elliott-Trudeau,ChdDSUhNMG9nS0VJQ0FnSURDa3JHdnZBRRAB,Howard Scholl,https://www.google.com/maps/contrib/110737371612165841352/reviews?hl=en-CA,9 months ago,2021-06-24 14:33:28.996847,4.0,10,Beautiful park with playground for the kids and lake to feed the loons. Access to several baseball diamonds as well as a walkway for human rights. Shalom Bloom sculptures are amazing!
7,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSUNLMTh2NFBREAE,Viraj jani,https://www.google.com/maps/contrib/113343584380303972251/reviews?hl=en-CA,2 months ago,2021-06-24 14:33:28.998184,5.0,5,Amazing park ..
8,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSURRbC1lQVp3EAE,Simon Arzouan,https://www.google.com/maps/contrib/102805379983086172648/reviews?hl=en-CA,10 months ago,2021-06-24 14:33:28.999570,3.0,60,"Shade was finally added to the Park. The play structures are great for older kids but for the little ones I feel like they could install another ""classic"" play structure with slides and tubes. Space is certainly not an issue. Splash pad is nice but entirely shaded. Would have been great to have only the seating area shaded. The pond in the park is great when paddle boats can be used (closed for now due to covid). The park has a rink (just renovated) and 2 baseball fields but I have not used them yet to give feedback. Most importantly 5 stars for the ppl who visit the park (most at least ;))"
9,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSURDbklpRWJREAE,Morty Levitt,https://www.google.com/maps/contrib/109675859644969067057/reviews?hl=en-CA,9 months ago,2021-06-24 14:33:29.000904,1.0,16,Everything great at park except not happy park is named PET and ball park named after Gary Carter.  Both had nothing to do with CSL and the son of PET is ruining Canada
10,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSUNpbjdQM1pBEAE,Pooya Habibi tabar,https://www.google.com/maps/contrib/105538225673617817045/reviews?hl=en-CA,7 months ago,2021-06-24 14:33:29.002138,5.0,12,A quiet beautiful parc.  I always love this place .
11,Parc Pierre-Elliott-Trudeau,ChZDSUhNMG9nS0VJQ0FnSURTdC16aUpREAE,Armin Bazzazan,https://www.google.com/maps/contrib/100715521603580414165/reviews?hl=en-CA,4 months ago,2021-06-24 14:33:29.003054,4.0,31,You can find really nice sculptures in the heart of park
