,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUM4cW9ibFBBEAE,S Genereux,https://www.google.com/maps/contrib/115142539161894903435/reviews?hl=en-CA,11 months ago,2021-06-22 17:15:15.302292,4.0,222,"(Translated by Google) Small, uncrowded neighborhood park.

(Original)
Petit parc de quartier peu achalandé."
1,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSUNpNXYzSl9RRRAB,Germaine Germaine,https://www.google.com/maps/contrib/106633201660022301795/reviews?hl=en-CA,7 months ago,2021-06-22 17:15:15.303569,5.0,14,"(Translated by Google) Quiet and relaxing.

(Original)
Tranquille et relaxant."
2,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSURrdDZyU05REAE,virginie meignan,https://www.google.com/maps/contrib/107777965392080250144/reviews?hl=en-CA,a year ago,2021-06-22 17:15:15.304582,4.0,28,"(Translated by Google) Small pleasant green space

(Original)
Petit espace vert agréable"
3,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSURVdHRPZXVBRRAB,Jean-Francois Bernier,https://www.google.com/maps/contrib/106915140117520757757/reviews?hl=en-CA,a year ago,2021-06-22 17:15:15.305731,5.0,30,"(Translated by Google) Mini haven of peace!

(Original)
Mini havre de paix !"
4,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUN3aHNDVUV3EAE,Josee Gagnon,https://www.google.com/maps/contrib/104906056026402128686/reviews?hl=en-CA,3 years ago,2021-06-22 17:15:15.306734,4.0,14,"(Translated by Google) Very nice and quiet

(Original)
Très agréable et tranquille"
5,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSUNvM3R6Si1RRRAB,La princesse Le chaton,https://www.google.com/maps/contrib/109983949801666216518/reviews?hl=en-CA,2 years ago,2021-06-22 17:15:15.308164,5.0,6,
6,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSURVeHV1bTlBRRAB,Ronald Lord,https://www.google.com/maps/contrib/105096084260439790358/reviews?hl=en-CA,a year ago,2021-06-22 17:15:15.309356,2.0,24,
7,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSURRM3ZfVXlBRRAB,Maria de los angeles Bermejo (CHININ),https://www.google.com/maps/contrib/115822946080347537090/reviews?hl=en-CA,4 years ago,2021-06-22 17:15:15.310576,5.0,5,
8,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSURZNV82eXh3RRAB,Aylincar Orozco,https://www.google.com/maps/contrib/105619670209607262495/reviews?hl=en-CA,2 years ago,2021-06-22 17:15:15.312629,5.0,0,
9,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSUNLeThTcHd3RRAB,Matt Latt,https://www.google.com/maps/contrib/112156566890258730358/reviews?hl=en-CA,2 months ago,2021-06-22 17:15:15.314412,4.0,311,
10,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSUR5MWRxOHVRRRAB,Jessica Morin (Lottnes),https://www.google.com/maps/contrib/116985436792807146355/reviews?hl=en-CA,3 months ago,2021-06-22 17:15:15.316324,5.0,16,
11,Parc Pierre-Tisseyre,ChdDSUhNMG9nS0VJQ0FnSUNRMXBHSGp3RRAB,Karine St-denis,https://www.google.com/maps/contrib/111680886843449389853/reviews?hl=en-CA,3 years ago,2021-06-22 17:15:15.318411,5.0,32,
12,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUMwN2FYWGRnEAE,Léo mercier-Ross,https://www.google.com/maps/contrib/108926678756826164025/reviews?hl=en-CA,a year ago,2021-06-22 17:15:15.320379,4.0,0,
13,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUM0c2NYcWRBEAE,Michel Harding,https://www.google.com/maps/contrib/117559013941816118313/reviews?hl=en-CA,2 years ago,2021-06-22 17:15:15.322202,3.0,15,
14,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUNVeDh1a2FBEAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-22 17:15:15.323562,5.0,140,
15,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUNVMGZhU1JnEAE,Damien Thorn,https://www.google.com/maps/contrib/111905574568084353042/reviews?hl=en-CA,a year ago,2021-06-22 17:15:15.324676,4.0,3,
16,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSUQ4MjV6T093EAE,Abou Nadjjb,https://www.google.com/maps/contrib/104501042099165112790/reviews?hl=en-CA,10 months ago,2021-06-22 17:15:15.326009,5.0,0,
17,Parc Pierre-Tisseyre,ChZDSUhNMG9nS0VJQ0FnSURTcFpiQU5BEAE,Sinful Dreamer,https://www.google.com/maps/contrib/108420422434129216392/reviews?hl=en-CA,5 months ago,2021-06-22 17:15:15.326989,3.0,41,
