,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUNNbGVmWkF3EAE,Salvatore Zambito,https://www.google.com/maps/contrib/116607392012130359457/reviews?hl=en-CA,a year ago,2021-06-22 17:16:28.033804,5.0,33,"Very good doggy park. Too bad there is no association.humangous park,that's all I can say.for small n big dogs."
1,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUNVX2FMd1JnEAE,Claude Provost,https://www.google.com/maps/contrib/107967239055423605948/reviews?hl=en-CA,a year ago,2021-06-22 17:16:28.034802,4.0,56,Cruz our Golden girl may run free. Beautiful to watch.
2,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUNROUlqRUZ3EAE,Lisandre Bujold-Dubuc,https://www.google.com/maps/contrib/117139886300873732512/reviews?hl=en-CA,3 years ago,2021-06-22 17:16:28.036061,5.0,50,"They have a fantastic dog park, with an area for small dogs where the pups can run free. It's pretty big, with a kiddy pool (in both areas) and picnic tables for the humans. Love it !"
3,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUNvMTl2bGRREAE,pandelis moshopoulos,https://www.google.com/maps/contrib/115147063453294732961/reviews?hl=en-CA,2 years ago,2021-06-22 17:16:28.037192,5.0,23,"It's a beautiful park for family and more.. there is also in the same park a park for dogs. Isn't that amazing?? With the help of the people and the help of ville de Montréal,we keep the park's clean and safe"
4,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUN3anZLTVNnEAE,Alexander Abruzzese-Goyette,https://www.google.com/maps/contrib/116534434654576987576/reviews?hl=en-CA,3 years ago,2021-06-22 17:16:28.038766,3.0,374,Park is okay but clearly not taken care of. No double gates for entering and leaving the dog park. No running water to clean dogs or let them drink.
5,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSURva0lhSEZBEAE,Missy Roy,https://www.google.com/maps/contrib/101640732172383504526/reviews?hl=en-CA,2 years ago,2021-06-22 17:16:28.039735,5.0,64,"Very large area for dogs to run around an play
Its clean
There is water
Lots of benches
If u forget ur bags there is a box with bags for u to use
My dog had a great time
When i went there were no other dogs"
6,Parc Pilon,ChdDSUhNMG9nS0VJQ0FnSUMwdlluSXB3RRAB,Sergei Zykov,https://www.google.com/maps/contrib/117903403772387765054/reviews?hl=en-CA,a year ago,2021-06-22 17:16:28.040803,4.0,20,Small but nice park
7,Parc Pilon,ChdDSUhNMG9nS0VJQ0FnSURBanBDdzB3RRAB,Anderson Horrocks,https://www.google.com/maps/contrib/101956147475435849706/reviews?hl=en-CA,3 years ago,2021-06-22 17:16:28.041764,4.0,8,Nice place to take your Dog.
8,Parc Pilon,ChZDSUhNMG9nS0VJQ0FnSUMwcnFEeEVnEAE,Isra Hdez,https://www.google.com/maps/contrib/113596302800424346899/reviews?hl=en-CA,a year ago,2021-06-22 17:16:28.042741,5.0,29,Very nice
9,Parc Pilon,ChdDSUhNMG9nS0VJQ0FnSUNZMGYtQzR3RRAB,Randy Rickwood,https://www.google.com/maps/contrib/116521688127164593541/reviews?hl=en-CA,2 years ago,2021-06-22 17:16:28.044141,3.0,12,Not maintained at all
