,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSUR5OF9IT2p3RRAB,Wafae Zorgan,https://www.google.com/maps/contrib/108953214312794629771/reviews?hl=en-CA,a week ago,2021-06-22 17:18:06.240509,5.0,24,Good parc
1,Parc Poirier – Verdun,ChZDSUhNMG9nS0VJQ0FnSURRaGVhMUdBEAE,Elle Campbell,https://www.google.com/maps/contrib/101388532709003632112/reviews?hl=en-CA,3 years ago,2021-06-22 17:18:06.242533,5.0,155,It's a cute park with fountains in the summer.  Excellent for families with kids.
2,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURBNjdMTnZBRRAB,Sébastien Lapointe,https://www.google.com/maps/contrib/100828543384533117398/reviews?hl=en-CA,4 years ago,2021-06-22 17:18:06.247644,4.0,26,Great water games for the kids.
3,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURBNjhTMHlRRRAB,Bertha Carolina,https://www.google.com/maps/contrib/100718427759872920097/reviews?hl=en-CA,3 years ago,2021-06-22 17:18:06.248661,5.0,16,Great deal to kids
4,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURLMXBUdnpnRRAB,Martine Lamontagne,https://www.google.com/maps/contrib/106956104264961814137/reviews?hl=en-CA,a month ago,2021-06-22 17:18:06.252849,5.0,109,"(Translated by Google) Since the renovations, the park is really well laid out and full of bright colors! There is even a ping pong table and a small green area with picnic tables. There are also 2 sections: a large module with a rubberflex floor, swings and the other section for the youngest which is well fenced.

(Original)
Depuis les rénovations, le parc est vraiment bien aménagé et plein de couleurs vives! Il y a même une table de ping pong et un petit espace vert avec des tables de pique-nique. On retrouve aussi 2 sections : un grand module avec un sol en rubberflex, des balançoires et l'autre section pour les plus jeunes qui est bien clôturée."
5,Parc Poirier – Verdun,ChZDSUhNMG9nS0VJQ0FnSURLakktNlZBEAE,maxime lussier,https://www.google.com/maps/contrib/106787985552563745140/reviews?hl=en-CA,a month ago,2021-06-22 17:18:06.256416,5.0,15,"(Translated by Google) Huge tecently renovated park. Suitable for all ages.

(Original)
Enorme parc tecemment renové. Adapté a tout âge."
6,Parc Poirier – Verdun,ChZDSUhNMG9nS0VJQ0FnSUN5bS1hRURnEAE,Kamsoo Queen,https://www.google.com/maps/contrib/110838700101811139902/reviews?hl=en-CA,4 months ago,2021-06-22 17:18:06.258122,5.0,147,"(Translated by Google) Awesome! The park is really great because it has recently been renovated.

(Original)
Genial! Le parc est vraiment top car rénové depuis peu."
7,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURLMlppRHR3RRAB,Carolina Oyanguren,https://www.google.com/maps/contrib/113006088143681938858/reviews?hl=en-CA,a month ago,2021-06-22 17:18:06.259152,5.0,17,"(Translated by Google) Very clean

(Original)
Très propre"
8,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURLOE8yMzNBRRAB,François Carbonneau-Rabouin (Cthulhu16),https://www.google.com/maps/contrib/109603461635323354918/reviews?hl=en-CA,a month ago,2021-06-22 17:18:06.260675,4.0,83,"(Translated by Google) Ideal park for children, various swing games etc.

(Original)
Parc idéal pour les enfants, différents jeux balançoire etc."
9,Parc Poirier – Verdun,ChdDSUhNMG9nS0VJQ0FnSURVaDZQZmd3RRAB,Louise Giguere,https://www.google.com/maps/contrib/107824321853924817277/reviews?hl=en-CA,a year ago,2021-06-22 17:18:06.261651,4.0,75,"(Translated by Google) Beautiful little park landscaped with water game

(Original)
Beau petit parc aménagé avec jeu d’eau"
