,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUNLN1oza3RRRRAB,Rikko “Scot” Weatherup,https://www.google.com/maps/contrib/102551242592883505148/reviews?hl=en-CA,2 months ago,2021-06-22 17:17:20.338812,5.0,635,Really nice place where you can relax in peace. Outstanding.
1,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUM4M09ISXBnRRAB,chica nica,https://www.google.com/maps/contrib/117731902505962837779/reviews?hl=en-CA,11 months ago,2021-06-22 17:17:20.341042,5.0,40,Nice park
2,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUNRNHMtWDFnRRAB,Danilo Omar Monterroso.,https://www.google.com/maps/contrib/114296448709759296569/reviews?hl=en-CA,2 years ago,2021-06-22 17:17:20.342060,5.0,30,Beautiful place for kids
3,Parc Poirier,ChZDSUhNMG9nS0VJQ0FnSURReXRpUWZnEAE,Chris Hall,https://www.google.com/maps/contrib/108595711334184996412/reviews?hl=en-CA,4 years ago,2021-06-22 17:17:20.343033,5.0,109,Surpzingly well equipped
4,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUN3eW8td2tnRRAB,Miguel Veliz,https://www.google.com/maps/contrib/110119207540149429829/reviews?hl=en-CA,3 years ago,2021-06-22 17:17:20.343989,2.0,61,Facilities are not updated
5,Parc Poirier,ChZDSUhNMG9nS0VJQ0FnSUM0bGRyQVdREAE,Sarah Pasquis,https://www.google.com/maps/contrib/103884948718186623841/reviews?hl=en-CA,2 years ago,2021-06-22 17:17:20.344964,4.0,61,"(Translated by Google) Beautiful park. Water games. Basketball court. Children's corner. Shelter in case of rain. We regret, however, a space for the barbecue; we also regret that there is no pool. The trees bring a lot of freshness.

(Original)
Beau parc .Jeux d'eaux. Terrain de basket. Coin des petits. Abri en cas de pluie. On regrette toutefois un espace pour le barbecue ; on regrette egalement qu'il n'y aie pas de piscine. Les arbres apportent beaucoup de fraicheur."
6,Parc Poirier,ChZDSUhNMG9nS0VJQ0FnSUN5aVBfNkV3EAE,Mark podgaichenko,https://www.google.com/maps/contrib/117687235862920871708/reviews?hl=en-CA,5 months ago,2021-06-22 17:17:20.346689,5.0,293,"(Translated by Google) A beautiful park is for the locals on Hodge Street!

That's wonderful !

(Original)
Un beaux parc est pour les habitants sur la rue Hodge!

C'est magnifique !"
7,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSURVdWVPT2pBRRAB,Le Vrai poisson Carnivore,https://www.google.com/maps/contrib/114319641577375377534/reviews?hl=en-CA,a year ago,2021-06-22 17:17:20.347925,5.0,46,"(Translated by Google) A very good place for children to have fun

(Original)
Un très bon lieu pour que les enfants s'amusent"
8,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUNVNVp5MHp3RRAB,Amar Dia,https://www.google.com/maps/contrib/108609388760777722779/reviews?hl=en-CA,a year ago,2021-06-22 17:17:20.348919,4.0,188,"(Translated by Google) Very equipped and friendly for families

(Original)
Très équipé et conviviale pour les familles"
9,Parc Poirier,ChdDSUhNMG9nS0VJQ0FnSUNVaWFpLTRRRRAB,Jonathan Bouchard,https://www.google.com/maps/contrib/110047688436729881689/reviews?hl=en-CA,a year ago,2021-06-22 17:17:20.350150,5.0,7,"(Translated by Google) Small park very nice.

(Original)
Petit parc très sympathique."
