,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Prudence-Heward,ChdDSUhNMG9nS0VJQ0FnSURLaXFqZmp3RRAB,elie darrous,https://www.google.com/maps/contrib/108319143370524360359/reviews?hl=en-CA,a month ago,2021-06-24 17:59:44.938374,5.0,34,A small park good for walking dogs
1,Parc Prudence-Heward,ChdDSUhNMG9nS0VJQ0FnSUMwdjlmeXVRRRAB,Sandra Judge,https://www.google.com/maps/contrib/106199155346728609040/reviews?hl=en-CA,a year ago,2021-06-24 17:59:44.953866,5.0,7,Cool park
2,Parc Prudence-Heward,ChZDSUhNMG9nS0VJQ0FnSUNLMDhfdFhREAE,Marky_marc,https://www.google.com/maps/contrib/116568208336568334786/reviews?hl=en-CA,2 months ago,2021-06-24 17:59:44.964766,5.0,650,"Small, clean park. Had takeout on a bench here."
3,Parc Prudence-Heward,ChZDSUhNMG9nS0VJQ0FnSURTLS1uVFZnEAE,B Cadorette,https://www.google.com/maps/contrib/107539901078876878562/reviews?hl=en-CA,5 months ago,2021-06-24 17:59:44.981814,3.0,60,"Cute, but for the year it was closed for renovations, not worth it."
4,Parc Prudence-Heward,ChZDSUhNMG9nS0VJQ0FnSURDdUlXQ0hnEAE,Vanessa Gibeau,https://www.google.com/maps/contrib/116138554882335704447/reviews?hl=en-CA,9 months ago,2021-06-24 17:59:44.986124,5.0,10,The play structures are simple but wonderful. Even a place to fill a water bottle!
5,Parc Prudence-Heward,ChdDSUhNMG9nS0VJQ0FnSURjekl1enFBRRAB,Maria Cristina Grossi,https://www.google.com/maps/contrib/103023106711263523868/reviews?hl=en-CA,a year ago,2021-06-24 17:59:45.003740,5.0,284,"Quiet,  nice set-up. I would be great once it's open again for children to play, ONLY when it's safe"
6,Parc Prudence-Heward,ChZDSUhNMG9nS0VJQ0FnSUR5aXFtaVVnEAE,Shayan Rafie,https://www.google.com/maps/contrib/114450309309344881263/reviews?hl=en-CA,3 months ago,2021-06-24 17:59:45.038376,3.0,14,its plain so ehh
7,Parc Prudence-Heward,ChdDSUhNMG9nS0VJQ0FnSUNLaWMtbWhnRRAB,Deepa Vajani,https://www.google.com/maps/contrib/104303533728037322672/reviews?hl=en-CA,2 months ago,2021-06-24 17:59:45.052900,5.0,65,Nice
8,Parc Prudence-Heward,ChZDSUhNMG9nS0VJQ0FnSURVcmVLN1lBEAE,Cris Cris,https://www.google.com/maps/contrib/112839578383111955404/reviews?hl=en-CA,a year ago,2021-06-24 17:59:45.061725,1.0,5,"really bad. So much money was claimed they've poot on to it, but it doesn't look that way.  There is basically nothing for kids to play with. one huge slide,  and lets of dangerous spots for the kids. So disappointed with that park..."
9,Parc Prudence-Heward,ChdDSUhNMG9nS0VJQ0FnSURjbTdQcnlRRRAB,Alex Cournoyer,https://www.google.com/maps/contrib/101893484882593890082/reviews?hl=en-CA,a year ago,2021-06-24 17:59:45.079110,5.0,1,Nice ! Original !
