,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNxM3ZQM2N3EAE,Will Lin,https://www.google.com/maps/contrib/108235469192556818356/reviews?hl=en-CA,2 weeks ago,2021-06-22 17:28:25.022116,4.0,98,"This park is a very great place to hang out with your friends and family. There are two volleyball court available to the public along with a water ""park"" with washroom accessible to anyone in the park. The water park is a great place to get cold water after a hot session of volleyball. Also, there are a couple of picnic table in place throughout the park. The park is right beside a river with great scenery into it.

The volleyball court is a beach style sport. The sand tends to get burning hot when the sun is up. Therefore, it would be wise to plan a volleyball session during the afternoon when the sun is less prominent.

Also, there are very few parking in the park's parking. Although street parking is very accessible. However, depending on the day you are going, it would be essential to check for parking signs."
1,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNxbVB1dUVBEAE,Jinu Joseph,https://www.google.com/maps/contrib/102637820721967643195/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:28:25.023834,5.0,8,Best place to be with family. Ample space for kids to play..had a great time
2,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURLakxtQjRnRRAB,David Mark,https://www.google.com/maps/contrib/109453917621135122906/reviews?hl=en-CA,a month ago,2021-06-22 17:28:25.025662,5.0,468,Nice park along the water.
3,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNxbU9TeUdnEAE,Mohammad Ali Rashid,https://www.google.com/maps/contrib/115152896700271711002/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:28:25.027243,3.0,1,Heart breaking experience. Can't do bbq anymore. Last year was  so wonderful.
4,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUM4cHBLdTRBRRAB,Sandeep Patil,https://www.google.com/maps/contrib/103657665220062363061/reviews?hl=en-CA,11 months ago,2021-06-22 17:28:25.028637,5.0,20,"Best park seen till date in Montreal.
Its put of at bank of river is making it best.

If you going with children, they will enjoy more than any ordinary park because of shower games they are amazing.
Go with ready swim suits in case you love shower games.
Lot of place for families to have barbecue outings.
Games like beach hollyball, cycling tracks, fishing makes it even more interesting.
I saw people doing fishing 🎣 as well.
Feeding goose is allowed I think, as I see lot so happening around.

It was super crowded."
5,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNLNXZ5Y3ZBRRAB,Aina Ramanantseheno,https://www.google.com/maps/contrib/113980335358540567424/reviews?hl=en-CA,2 months ago,2021-06-22 17:28:25.030400,4.0,44,Beautiful park by the water. A hidden gem. The only thing is there are not enough parking spots...
6,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNxeDhQblV3EAE,Humaira Almas,https://www.google.com/maps/contrib/104957131895247577967/reviews?hl=en-CA,a day ago,2021-06-22 17:28:25.032002,5.0,3,Very well maintained park👌👌
7,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNDenEtTmFnEAE,adnan abueid,https://www.google.com/maps/contrib/107498119419298018236/reviews?hl=en-CA,9 months ago,2021-06-22 17:28:25.033539,5.0,140,"Nice place, but events was there when we went. All kids activity was there"
8,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNDLV8tTWtRRRAB,Christiane Levesque,https://www.google.com/maps/contrib/102212853904949596355/reviews?hl=en-CA,9 months ago,2021-06-22 17:28:25.035193,4.0,64,Great place to walk. Lots of little spots to meditate in. Parking is often packed  so  get there early.
9,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURDa0s3Njh3RRAB,Mohammed-Nur Alsaieq,https://www.google.com/maps/contrib/114942935551928492289/reviews?hl=en-CA,9 months ago,2021-06-22 17:28:25.036817,5.0,8,"Eritrean Canadian Cultural Community  maintained a very well organized BBQ annual gathering at Raimbault Park for the second consecutive year.  Very clean well maintained park, with a very neat waterfront and water park for kids. Love it."
10,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNDbEtlazNRRRAB,Shajan Kumar,https://www.google.com/maps/contrib/102325855426814289349/reviews?hl=en-CA,10 months ago,2021-06-22 17:28:25.039058,4.0,2,"Kids friendly
Beach volley
Barbecue
Fishing
Walking & cycling
lots of Animals like Ducks ,Geese ,Squirrels,tortoises,beavers and raccoons
But Visiters are very careless about Garbage disposal"
11,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNBX29lQ2dRRRAB,Amir M. Yadghar,https://www.google.com/maps/contrib/115901155341377569307/reviews?hl=en-CA,2 years ago,2021-06-22 17:28:25.041747,5.0,191,"Very good park. Small place but has water games for children, play area, beach volleyball and it is water front."
12,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURDeDVteXlRRRAB,Tom Dupuy,https://www.google.com/maps/contrib/106364059382080437299/reviews?hl=en-CA,8 months ago,2021-06-22 17:28:25.048226,5.0,59,Went there the morning of a beautiful automne day. Spent some good minutes taking photos of the gooses and duck with the reflection of the orange trees on the water. 😋
13,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURVaHEzM3J3RRAB,Shahd Ali,https://www.google.com/maps/contrib/116496741541714100349/reviews?hl=en-CA,a year ago,2021-06-22 17:28:25.049423,5.0,11,"Very very perfect park It has a water park for kids with lots of sprinklers and fireplaces with seating areas.Park goes through renovations  we enjoyed every minute of our visit and can made Barbecue..
I loved it so much"
14,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUM4Z3FXVDV3RRAB,Baker Al Chekfeh,https://www.google.com/maps/contrib/108140420664725883068/reviews?hl=en-CA,11 months ago,2021-06-22 17:28:25.051151,5.0,65,"BBQ area, beach volleyball, water fountains, playground, toilets, bicycle path, great view right on the river.

Cons: very small parking; only 2 tables under the tent"
15,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUMwOU1QcE13EAE,Daniel Mounter,https://www.google.com/maps/contrib/102859187718400634096/reviews?hl=en-CA,a year ago,2021-06-22 17:28:25.054698,4.0,85,"A small park with quite good facilities for kids (summer only). There is a circular trail, with views opening onto the Prairies River. The only downside is the large volume of trash left by less considerate picnickers and ""anglers"". A variety of wildlife can be seen for those with the patience to wait at the waterside, including turtles, loons, squirrels, marmots, kingfisher, geese, ducks and overgrown koi carp. Busy on the weekends, in summer a grill spot should be grabbed as early as possible. Covered area for bad weather, easy paths, and relative isolation will please most. Please ensure to bring a bag for trash if picnicking. I am getting tired of filling an entire garbage bag every time I visit."
16,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNDcTdYbXJRRRAB,Fariduddin Erfani,https://www.google.com/maps/contrib/108404830795060680169/reviews?hl=en-CA,9 months ago,2021-06-22 17:28:25.057563,4.0,46,"It is located in Montreal. It is a nice park. Playground for kids & children. Water park for summer. Volleyball playground.

Benches in the park. As far I remember it is allowed to make BBQ there.

And sometimes people go to river side to fishing.

There is walking route & cycling route also."
17,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURDM19yTW9RRRAB,Darsh Media,https://www.google.com/maps/contrib/109860032718378061815/reviews?hl=en-CA,8 months ago,2021-06-22 17:28:25.059633,4.0,13,"It’s nice park for barbecue party , fishing,beach volleyball,cycling ,walking ,kids friendly and animal watching (squirrels,Geese,Ducks,Raccoons and beavers )"
18,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNLd2FMaVZnEAE,Elena,https://www.google.com/maps/contrib/107672106034486609209/reviews?hl=en-CA,2 months ago,2021-06-22 17:28:25.063510,5.0,6,Nice park and playground to visit with kids
19,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNRMjZld3B3RRAB,HUSSAM ALRIFAI,https://www.google.com/maps/contrib/104688172560423268567/reviews?hl=en-CA,3 years ago,2021-06-22 17:28:25.065796,2.0,22,"Nice volleyball court. Toilets were horribles, so dirty, no baby changing station."
20,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSUNLaTlpMWpRRRAB,M E,https://www.google.com/maps/contrib/102784804404987876073/reviews?hl=en-CA,2 months ago,2021-06-22 17:28:25.072828,4.0,16,Nice place for a walk by water
21,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUQ4MjV5TEx3EAE,jeffrey castello,https://www.google.com/maps/contrib/110841210255619086914/reviews?hl=en-CA,10 months ago,2021-06-22 17:28:25.074734,4.0,48,Very nice park to go with your young ones they even have a beach volleyball 🏐 court . Which I think is super cool 😎
22,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNpd3FyR09nEAE,Riz Bousaleh,https://www.google.com/maps/contrib/109726666241798680970/reviews?hl=en-CA,7 months ago,2021-06-22 17:28:25.076245,4.0,53,Nice place for a walk but I wished it has a longer path...
23,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSURTa19mTVRnEAE,Angus Scott,https://www.google.com/maps/contrib/111519581896330455357/reviews?hl=en-CA,5 months ago,2021-06-22 17:28:25.078494,5.0,65,Great place to go get de-stressed...
24,Parc Raimbault,ChdDSUhNMG9nS0VJQ0FnSURBZ2RtSWlBRRAB,Linda Galardo,https://www.google.com/maps/contrib/104020321553480714893/reviews?hl=en-CA,2 years ago,2021-06-22 17:28:25.081212,5.0,40,Its Absolutely Gorgeous...
25,Parc Raimbault,ChZDSUhNMG9nS0VJQ0FnSUNLenVfOGZnEAE,mhana sam,https://www.google.com/maps/contrib/112887890227005219845/reviews?hl=en-CA,2 months ago,2021-06-22 17:28:25.082921,5.0,52,Clean good to drive  bicycle
