,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNxX3IzOFNREAE,Desmond Yu,https://www.google.com/maps/contrib/117459513371066762683/reviews?hl=en-CA,2 weeks ago,2021-06-22 17:31:53.349581,4.0,117,"This park does not have a sand box around the playground, artificial turf is used instead.
This represents a change of time and concept, putting safety, comfort and sanitary before the traditional concept of letting children to play in sandbox to build social, interactive and communication scale.
While enjoying the new age park and playground, parents should never forget the first ever playground in North America was just a pile of sand. Encourage your children to reach out while enjoying this modern setup."
1,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSURDcGVuZVd3EAE,Social Media 55,https://www.google.com/maps/contrib/109319217130609825953/reviews?hl=en-CA,8 months ago,2021-06-22 17:31:53.351626,5.0,345,This is a great park in the Saint-Laurent area
2,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNLd2FfbGJ3EAE,Janos Gati,https://www.google.com/maps/contrib/108169957741513572782/reviews?hl=en-CA,2 months ago,2021-06-22 17:31:53.354314,4.0,34,"Nice place, it's crowded on weekends. Only problem is that the floor artificial and you get static discharge all the time. It hurts LOL"
3,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNxMXBQbUtBEAE,Robert Salera,https://www.google.com/maps/contrib/115399289850721800029/reviews?hl=en-CA,2 weeks ago,2021-06-22 17:31:53.356608,5.0,46,Sandless park with section for smaller children and another for older.
4,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSURLdF9laXZRRRAB,Candy Wong,https://www.google.com/maps/contrib/108683236772422296848/reviews?hl=en-CA,a month ago,2021-06-22 17:31:53.359090,4.0,1,Very positive experience so far
5,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNpanVQb1BREAE,Kenneth McLaren,https://www.google.com/maps/contrib/114337669498032102299/reviews?hl=en-CA,7 months ago,2021-06-22 17:31:53.361753,5.0,30,Asphalt cork ground very safe and clean.
6,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSURpdm9MN0RnEAE,Jia Wei Zhang,https://www.google.com/maps/contrib/110250319748419357242/reviews?hl=en-CA,6 months ago,2021-06-22 17:31:53.364413,5.0,68,Very nice little park for parents who dislike sand.
7,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSUMwN2VtcjFBRRAB,Fa St,https://www.google.com/maps/contrib/106649436548515608718/reviews?hl=en-CA,a year ago,2021-06-22 17:31:53.368507,5.0,138,Great new public park.
8,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSURTbm9fWE53EAE,Mohamed Abdelmeguid,https://www.google.com/maps/contrib/107187936459305569870/reviews?hl=en-CA,5 months ago,2021-06-22 17:31:53.374459,5.0,154,Excellent
9,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNxNU5lTVFBEAE,Nathalie Fortier,https://www.google.com/maps/contrib/104057039490550266513/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:31:53.376027,5.0,124,Wow!  Parc parfait pour les enfants. Très privilégié de vivre près de cette endroit
10,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSURDclpUeS1nRRAB,kevin Richards,https://www.google.com/maps/contrib/101231823989208307292/reviews?hl=en-CA,8 months ago,2021-06-22 17:31:53.378372,4.0,18,
11,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSUM4M3RyNTJBRRAB,Ricardo Uribe,https://www.google.com/maps/contrib/114617494844731006670/reviews?hl=en-CA,11 months ago,2021-06-22 17:31:53.379884,5.0,45,
12,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSURLMnVTUDF3RRAB,Shahab Shahbeik,https://www.google.com/maps/contrib/115670342404692607445/reviews?hl=en-CA,a month ago,2021-06-22 17:31:53.380924,5.0,2,
13,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSUNLanIzanhnRRAB,Tom Bonini,https://www.google.com/maps/contrib/101571426605629669370/reviews?hl=en-CA,2 months ago,2021-06-22 17:31:53.382378,5.0,41,
14,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSURLN0p1MHRRRRAB,ROSE DELHOUM,https://www.google.com/maps/contrib/116528654299112687795/reviews?hl=en-CA,a month ago,2021-06-22 17:31:53.383616,5.0,4,
15,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSUQ4bDl6SnRBRRAB,lucia iuras,https://www.google.com/maps/contrib/103970700852754810387/reviews?hl=en-CA,10 months ago,2021-06-22 17:31:53.385016,5.0,4,
16,Parc Raymond-Lagacé,ChdDSUhNMG9nS0VJQ0FnSUM4cTlyLWh3RRAB,Gabi Helou,https://www.google.com/maps/contrib/107523153927475737308/reviews?hl=en-CA,9 months ago,2021-06-22 17:31:53.387636,4.0,7,
17,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNLcVBlU2VREAE,Marie Sofie Ulander,https://www.google.com/maps/contrib/111527634301686478325/reviews?hl=en-CA,2 months ago,2021-06-22 17:31:53.389753,3.0,3,
18,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUQwbklqQWNBEAE,Dominic Sansregret,https://www.google.com/maps/contrib/101083514319894835534/reviews?hl=en-CA,a year ago,2021-06-22 17:31:53.392625,5.0,2,
19,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUNpNXFtU1F3EAE,Gilbert Migirditsian,https://www.google.com/maps/contrib/117687399149333182009/reviews?hl=en-CA,7 months ago,2021-06-22 17:31:53.394811,5.0,51,
20,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSURpd3FQYk9BEAE,Erik Paradis,https://www.google.com/maps/contrib/102882944544166144052/reviews?hl=en-CA,6 months ago,2021-06-22 17:31:53.397076,4.0,26,
21,Parc Raymond-Lagacé,ChZDSUhNMG9nS0VJQ0FnSUM4dlpMU0ZBEAE,Henry Shih,https://www.google.com/maps/contrib/100644458953148560986/reviews?hl=en-CA,11 months ago,2021-06-22 17:31:53.398584,5.0,16,
