,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURZMzVyRzFBRRAB,Khaled dandachli,https://www.google.com/maps/contrib/117476180497860311977/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.122512,5.0,82,"Nice to outside, frech air"
1,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURBOW9pT1RBEAE,Juliano Ross,https://www.google.com/maps/contrib/105146697087581038776/reviews?hl=en-CA,4 years ago,2021-06-24 14:44:07.123679,5.0,27,Very large and equiped..
2,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUM4ME0zWDhBRRAB,Marie-Claude Dagenais,https://www.google.com/maps/contrib/110041121790438980541/reviews?hl=en-CA,a year ago,2021-06-24 14:44:07.124744,4.0,39,"(Translated by Google) Quiet and very good park for children 2 to 5 years old

(Original)
Parc calme et tres bien pour les enfants de 2 a 5 ans"
3,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSUNvbGNDeFFREAE,Frédéric Mathieu,https://www.google.com/maps/contrib/101545081998349000791/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.127173,5.0,9,"(Translated by Google) A quiet beeen park!

(Original)
Un parc beeen calme!"
4,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUN3dF9ucW5nRRAB,JF Laflamme,https://www.google.com/maps/contrib/104548279683283878045/reviews?hl=en-CA,4 years ago,2021-06-24 14:44:07.129886,3.0,106,"(Translated by Google) It's just a park among many others

(Original)
C'est juste un parc parmi tant d'autres"
5,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNROE8yZXBBRRAB,mawiiee leduc,https://www.google.com/maps/contrib/114315538634113874544/reviews?hl=en-CA,4 years ago,2021-06-24 14:44:07.131503,4.0,45,"(Translated by Google) Good park

(Original)
Bon parc"
6,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURDMF9tdS13RRAB,Andres Gonzalez,https://www.google.com/maps/contrib/105822333361297672066/reviews?hl=en-CA,8 months ago,2021-06-24 14:44:07.133660,5.0,78,
7,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNxdkxXSTlnRRAB,Alexandre Martin Isoz-Vaillancourt,https://www.google.com/maps/contrib/109313983911223236807/reviews?hl=en-CA,3 weeks ago,2021-06-24 14:44:07.135454,3.0,40,
8,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURBdU9paDh3RRAB,Kady Kanté,https://www.google.com/maps/contrib/116397159159876211654/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.137544,4.0,2,
9,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNVeF92YjZRRRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-24 14:44:07.139161,5.0,140,
10,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURBM2VMQjVRRRAB,Simple Me,https://www.google.com/maps/contrib/115893828900133989964/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.140680,5.0,5,
11,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURRa2JDMjRBRRAB,ustache namar salif b.,https://www.google.com/maps/contrib/102939746355684547943/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.142197,5.0,1,
12,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUN3NjYzdTNRRRAB,Lise Normand Laroche,https://www.google.com/maps/contrib/102008343411418113691/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.143268,4.0,8,
13,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNBeDhMXzJ3RRAB,Belhassen Amara,https://www.google.com/maps/contrib/116349497004225683063/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.144170,5.0,1,
14,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNRcnE2cHZRRRAB,Irais Fernández,https://www.google.com/maps/contrib/107397760466943557686/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.146145,5.0,1,
15,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNJdTlUTXN3RRAB,arezki Banatsou,https://www.google.com/maps/contrib/112195011282667511132/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.147082,3.0,19,
16,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURRc1lLWG5nRRAB,Michel Harding,https://www.google.com/maps/contrib/117559013941816118313/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.147985,4.0,15,
17,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSURnamJQbWxBRRAB,Pascal Gallant,https://www.google.com/maps/contrib/114526286879784982552/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.149021,3.0,1,
18,Parc Raymond-Lévesque,ChdDSUhNMG9nS0VJQ0FnSUNndjdMSWlBRRAB,Nawal Aid,https://www.google.com/maps/contrib/111305427069800269224/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.149945,5.0,10,
19,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURnd1l2QWRnEAE,Robin Caron,https://www.google.com/maps/contrib/105389048744530296285/reviews?hl=en-CA,4 years ago,2021-06-24 14:44:07.150922,3.0,0,
20,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURnbGN5dWFBEAE,Diane Julien,https://www.google.com/maps/contrib/113382524692312736527/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.152111,4.0,0,
21,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSUN3aVl6d1hBEAE,Denis Grant,https://www.google.com/maps/contrib/114323404294068492359/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.153413,3.0,0,
22,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURVNDVLTlZBEAE,la moustache de biere,https://www.google.com/maps/contrib/106487981344750519048/reviews?hl=en-CA,a year ago,2021-06-24 14:44:07.154507,5.0,8,
23,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURBdTdHSU1BEAE,lyly Sad,https://www.google.com/maps/contrib/102461674225091019286/reviews?hl=en-CA,2 years ago,2021-06-24 14:44:07.155431,4.0,16,
24,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSUN3NXNpaEpBEAE,Joelle Roy-Cossette,https://www.google.com/maps/contrib/113819997266856203472/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.156366,5.0,1,
25,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURBcTVQaUl3EAE,marc lempereur,https://www.google.com/maps/contrib/100953601081175014772/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.157266,3.0,3,
26,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSUNVcGN5cEdnEAE,zhy yu,https://www.google.com/maps/contrib/108477161567789282059/reviews?hl=en-CA,a year ago,2021-06-24 14:44:07.158165,5.0,52,
27,Parc Raymond-Lévesque,ChZDSUhNMG9nS0VJQ0FnSURBc3Flb0ZBEAE,Rasheed Maher,https://www.google.com/maps/contrib/112680837387014303871/reviews?hl=en-CA,3 years ago,2021-06-24 14:44:07.159063,5.0,0,
