,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Raymond-Préfontaine,ChZDSUhNMG9nS0VJQ0FnSUR5LXJhZGNREAE,David Gomes,https://www.google.com/maps/contrib/116675844778036093207/reviews?hl=en-CA,3 months ago,2021-06-24 14:47:05.481684,5.0,64,"It's a nice park to get to walk through every day. The Prefontaine metro is right at one corner. There is a skate park, playground for kids, ice arena, baseball field and lots of grass and quiet spots.

There is also a lot of squirrels here, I suspect they are plotting world domination but I can't prove it yet."
1,Parc Raymond-Préfontaine,ChZDSUhNMG9nS0VJQ0FnSUR5bjZ1UlVBEAE,Dwain Richardson,https://www.google.com/maps/contrib/109877144882575936658/reviews?hl=en-CA,3 months ago,2021-06-24 14:47:05.482527,5.0,111,Spacious park; plenty of room for various activities.
2,Parc Raymond-Préfontaine,ChZDSUhNMG9nS0VJQ0FnSURLaGVyNWFnEAE,Vidal Sassoon,https://www.google.com/maps/contrib/106093220501533610294/reviews?hl=en-CA,a month ago,2021-06-24 14:47:05.483318,5.0,69,Drinking in peace.
3,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNzX19EVHpnRRAB,Nikolas Romero,https://www.google.com/maps/contrib/107043881870186239314/reviews?hl=en-CA,a year ago,2021-06-24 14:47:05.484104,4.0,87,It's a very good park there is a lot of construction in it. June-2020
4,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNBc196Qm5nRRAB,Georgina Williams Riley,https://www.google.com/maps/contrib/109272132961556792368/reviews?hl=en-CA,2 years ago,2021-06-24 14:47:05.485032,5.0,75,"I love this park because it's not far from my home and it's a nice little walk in the mornings for the dog and myself. Nice place for picnic, or to bring the kids to play in the playground during the week on a Wednesday night you can catch a baseball game."
5,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUQ4amVIdV9RRRAB,CJR,https://www.google.com/maps/contrib/116347011366542508946/reviews?hl=en-CA,10 months ago,2021-06-24 14:47:05.485868,1.0,179,Hate this parc. For real
6,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNzeTlqbHNRRRAB,Yves Lafleur,https://www.google.com/maps/contrib/107457945904751834882/reviews?hl=en-CA,a year ago,2021-06-24 14:47:05.486683,4.0,116,"Renovated arena, parking, walking distance to métro Prefontaine"
7,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNBM3NiZ2hnRRAB,Joseph,https://www.google.com/maps/contrib/111304115414055968331/reviews?hl=en-CA,2 years ago,2021-06-24 14:47:05.487869,3.0,22,"This park would be better if there weren't so many pedestrians and sketchy looking people constantly crossing through. The children's section is NOT enclosed, which means you've got to keep a very close watch on your kids. The park is adjacent to the Prefontaine metro so expect a constant stream of hasty (read: dreary) workers marching to and fro the metro station. It makes for quite the scene but not a good place for kids to play on their own. We'd much rather take our kids up the hill, past Sherbrooke, to the angus park behind the Canadian tire. Amazing place for the whole family!"
8,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUM0MU9PWXhBRRAB,Chris Steele (Ethan Hines),https://www.google.com/maps/contrib/100233855453673533129/reviews?hl=en-CA,2 years ago,2021-06-24 14:47:05.488661,2.0,35,This park needs a lot of work. It leads to Station Prefontaine. Walkways are in bad shape. Many stickers/posters on poles.
9,Parc Raymond-Préfontaine,ChdDSUhNMG9nS0VJQ0FnSUNBdy1ESWd3RRAB,Mi Ben,https://www.google.com/maps/contrib/100829777334469387747/reviews?hl=en-CA,3 years ago,2021-06-24 14:47:05.489692,5.0,26,Looking for a great place to live? This can be one of them. Next to ontario street a new hip place. Not to far from Masson street another  place that is getting big and close to the metro where downtown montreal is only 10mn by metro away.
