,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSUNxdUpuMktnEAE,Kevin P,https://www.google.com/maps/contrib/107059453697386075674/reviews?hl=en-CA,4 weeks ago,2021-06-24 14:41:58.395847,4.0,19,"Nice field. There should be more trash bins around however. The bleachers had a bunch of garbage around them (food containers and the like)

5 stars if means of keeping the park clean were more accessible."
1,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSURVLTZ5bG5BRRAB,Alex Patenaude,https://www.google.com/maps/contrib/109082814862521806120/reviews?hl=en-CA,3 weeks ago,2021-06-24 14:41:58.396668,5.0,3,There is two soccer field a playground and a skate park great place
2,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSUR5aHZ5eWpnRRAB,Cmerlyne Howard,https://www.google.com/maps/contrib/103248395403086055095/reviews?hl=en-CA,3 months ago,2021-06-24 14:41:58.397481,4.0,10,"I didn't actually get through the park, I went behind the school figuring I would get out on Central but there were locked gates 😠 so I had to walk back, fortunately I found an open fence and  was able to get out to Bishop Power.😂🤣Got in my steps though despite pain all the way."
3,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSURzaUl6SHR3RRAB,HUnewearl Sue,https://www.google.com/maps/contrib/107633268788044341076/reviews?hl=en-CA,a year ago,2021-06-24 14:41:58.398985,3.0,140,"It's not quite the park it used to be. However it's still serviceable so to speak. The playground is decent, when not vandalized by the nearby high school. Which honestly, happens far less then you might expect, the soccer field is small, but features a modern social turf surface, and is generally accessible to the public. The pool in general is not overwhelmingly busy in the summer, which is a definite bonus."
4,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSUNxdS1TbkNREAE,Eric T,https://www.google.com/maps/contrib/102797491629275374036/reviews?hl=en-CA,4 days ago,2021-06-24 14:41:58.399893,4.0,205,Big sports field
5,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSURTdG82UnlRRRAB,Maxim Beiline,https://www.google.com/maps/contrib/104263569999100872729/reviews?hl=en-CA,5 months ago,2021-06-24 14:41:58.400705,5.0,335,"Great place, highly recommend for workouts or running"
6,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSUNDak9HUi1RRRAB,Robert Malo,https://www.google.com/maps/contrib/112424072063486538568/reviews?hl=en-CA,10 months ago,2021-06-24 14:41:58.402018,4.0,43,"Nice park, 2 soccer field, public pool and skate park .
The skate park dont have enought light at night time."
7,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSURDd2RicVZBEAE,Patrick M,https://www.google.com/maps/contrib/100042773734697142109/reviews?hl=en-CA,8 months ago,2021-06-24 14:41:58.403296,5.0,227,Great field for activities and a cool LED light
8,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSURvajZQdXFRRRAB,Rick Burgos,https://www.google.com/maps/contrib/117516445006970785921/reviews?hl=en-CA,2 years ago,2021-06-24 14:41:58.404449,5.0,85,"In this park, there are different installations for sports. Like, baseball American football etc. You can find buses that can take you there if you don't want to drive. If you live near, this is a good place to bring your kids. The park is also near the river in case you want to go and admire the neighborhood."
9,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSUNVdkpUT3VBRRAB,Sean Guitard,https://www.google.com/maps/contrib/104813135606986451609/reviews?hl=en-CA,a year ago,2021-06-24 14:41:58.406235,3.0,19,"The skatepark is filled with people who are not useing any skateboards, bikes or blades. They are in the way of those who come to use it. One parent yelled at me for hitting a child when i fell off my board accidentally and blames me but i think she should not allow a child of 5 years old to be running around a skatepark."
10,Parc Raymond,ChdDSUhNMG9nS0VJQ0FnSURpa05qMm5nRRAB,Ahmed Ibrahim,https://www.google.com/maps/contrib/112092360776257456484/reviews?hl=en-CA,7 months ago,2021-06-24 14:41:58.410722,4.0,23,Nice park
11,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSUQ4bTRDV01BEAE,TRIPLE8 TV,https://www.google.com/maps/contrib/110698707412062664092/reviews?hl=en-CA,10 months ago,2021-06-24 14:41:58.411684,5.0,6,Nice soccer field
12,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSURBcnE3NmRREAE,Ali Als,https://www.google.com/maps/contrib/117218110807743541916/reviews?hl=en-CA,2 years ago,2021-06-24 14:41:58.412936,4.0,16,great park swimming pool and soccer field only issue is that the lights close early
13,Parc Raymond,ChZDSUhNMG9nS0VJQ0FnSUNBMXZyc0RREAE,Lion TV 22,https://www.google.com/maps/contrib/113933267479541284938/reviews?hl=en-CA,3 years ago,2021-06-24 14:41:58.414389,5.0,173,Great place for activity football (soccer) light stay on until 9-930pm. Plus a pool near by.
