,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSURVX29yTGFREAE,The Doc,https://www.google.com/maps/contrib/105218082310332422639/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.868613,1.0,3,My friend got hurt
1,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSURDMEtuOHZRRRAB,Francois Ethier,https://www.google.com/maps/contrib/110281979496206448173/reviews?hl=en-CA,5 months ago,2021-06-24 14:52:32.870053,4.0,210,"(Translated by Google) Richelieu Park has been given a facelift in recent years

The play modules for both children and adults are very interesting

The park is also ""equipped"" with a basketball court

A swimming pool is also installed in the park. A large and a romper for the happiness of the little ones

A community garden is also integrated into the park

(Original)
Le parc Richelieu s'est refait une beauté dans les dernières années

Les modules de jeux autant pour les plus petits que les plus grands sont très intéressant

Le parc est aussi ""équipé"" d'un court de basket-ball

Une piscine est également installé dans le parc. Une grande et une barboteuse pour le bonheur des touts petit

Un jardin communautaire est aussi intégré dans le parc"
2,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSUNxNzdtdDdBRRAB,Caroline Lévesque,https://www.google.com/maps/contrib/108829505604598314605/reviews?hl=en-CA,22 hours ago,2021-06-24 14:52:32.870882,4.0,29,
3,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSUM4dXRtTXhnRRAB,Guy Emond,https://www.google.com/maps/contrib/104529393310402101459/reviews?hl=en-CA,11 months ago,2021-06-24 14:52:32.871683,5.0,1,
4,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSUNVa3AtUnF3RRAB,mack chocolat,https://www.google.com/maps/contrib/108107396524842776483/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.873109,1.0,19,
5,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSUNNbTlfTmpnRRAB,Sylvain Brosseau,https://www.google.com/maps/contrib/110827770766945223759/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.874018,3.0,1,
6,Parc Richelieu,ChdDSUhNMG9nS0VJQ0FnSUNxeWR5Z2hnRRAB,Martin Rivard,https://www.google.com/maps/contrib/100665661582744246064/reviews?hl=en-CA,a week ago,2021-06-24 14:52:32.875197,5.0,66,
7,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSUNDcnVuSGZnEAE,jose velazquez,https://www.google.com/maps/contrib/108820229713551645826/reviews?hl=en-CA,10 months ago,2021-06-24 14:52:32.877350,5.0,0,
8,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSUNLZ042WFJ3EAE,Miriam Ramirez,https://www.google.com/maps/contrib/104378043204263998136/reviews?hl=en-CA,3 months ago,2021-06-24 14:52:32.879614,5.0,5,
9,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSURVX05XdUlBEAE,J-f Gir,https://www.google.com/maps/contrib/114282011777218592361/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.881830,5.0,0,
10,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSURreGRMSkdBEAE,Daniel Garant,https://www.google.com/maps/contrib/111414728210825953907/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.883886,4.0,58,
11,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSUNzOS02UURBEAE,Anh-Vu Pham-Tang,https://www.google.com/maps/contrib/107509876854986451947/reviews?hl=en-CA,a year ago,2021-06-24 14:52:32.886509,4.0,12,
12,Parc Richelieu,ChZDSUhNMG9nS0VJQ0FnSUM0M2Z1eUJ3EAE,Emond Guy Larry,https://www.google.com/maps/contrib/100136844636949928164/reviews?hl=en-CA,2 years ago,2021-06-24 14:52:32.888113,4.0,4,
