,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Riverside,ChZDSUhNMG9nS0VJQ0FnSURLOTg3dElBEAE,Kevin P,https://www.google.com/maps/contrib/107059453697386075674/reviews?hl=en-CA,a month ago,2021-06-22 17:42:01.781662,5.0,19,Beautiful main field. You should see if in the evenings once curfew is lifted. Great for casual walks with a soft bounce in your step due to the rubbery texture of the track and field 400m track.
1,Parc Riverside,ChdDSUhNMG9nS0VJQ0FnSURBeWY3Szl3RRAB,ilove montreal,https://www.google.com/maps/contrib/113335703391747446871/reviews?hl=en-CA,3 years ago,2021-06-22 17:42:01.782868,5.0,228,"It’s a nice place for kids to have fun mom enjoy her day , tons of things to do play parc for kids,also you have a public pool basket ball place to play soccer field American football small field to practice and a professional big one to play or to exercise a beautiful area for family the school at the corner of the side so cool place"
2,Parc Riverside,ChZDSUhNMG9nS0VJQ0FnSUQ4azYzYk5REAE,tony zaidi,https://www.google.com/maps/contrib/112450023780220613175/reviews?hl=en-CA,10 months ago,2021-06-22 17:42:01.784841,4.0,317,Nice soccer/football complex. . Upgrading one of the fields summer '20.
3,Parc Riverside,ChZDSUhNMG9nS0VJQ0FnSUNpeFlDT2JREAE,aimé moukouti,https://www.google.com/maps/contrib/106374350031315063811/reviews?hl=en-CA,7 months ago,2021-06-22 17:42:01.785970,5.0,12,"If you like running or doing sport outside, try this place. That's my gym since they're closed.  I can workout there as an athlete."
4,Parc Riverside,ChZDSUhNMG9nS0VJQ0FnSURDanBIc0Z3EAE,Aajb 007,https://www.google.com/maps/contrib/106225530688914334077/reviews?hl=en-CA,8 months ago,2021-06-22 17:42:01.787128,5.0,57,"Tonne of room for activities, good track to run on, a nice football field with a track field around it, 2 soccer fields, 2 baseball fields (1 private), a tennis court with 2 spots to play on, small basketball court, kids park, baby park and a newly renovated semi private pool."
5,Parc Riverside,ChdDSUhNMG9nS0VJQ0FnSUNLaTdLNGpnRRAB,Michael Ryan,https://www.google.com/maps/contrib/113042482998690378010/reviews?hl=en-CA,2 months ago,2021-06-22 17:42:01.788176,5.0,194,Nice track and football field!
6,Parc Riverside,ChdDSUhNMG9nS0VJQ0FnSUNxamN2dTdRRRAB,Clyde Bertrand,https://www.google.com/maps/contrib/101987491482201550951/reviews?hl=en-CA,a week ago,2021-06-22 17:42:01.789973,5.0,15,Relaxing.
7,Parc Riverside,ChdDSUhNMG9nS0VJQ0FnSURRcGF1R2pRRRAB,PATRICIA PACHECO,https://www.google.com/maps/contrib/102770584246613080780/reviews?hl=en-CA,3 years ago,2021-06-22 17:42:01.793514,5.0,2,It is a very nice place because everybody is able to be in touch with nature and feels relaxed.
8,Parc Riverside,ChZDSUhNMG9nS0VJQ0FnSUM4N2EyMllnEAE,Miroslav Gispodinov,https://www.google.com/maps/contrib/111161683995809833570/reviews?hl=en-CA,11 months ago,2021-06-22 17:42:01.795402,5.0,2,There is everything that you need to do like for sport and a playground for children
9,Parc Riverside,ChdDSUhNMG9nS0VJQ0FnSUQ0cE12Q293RRAB,Alex Nick,https://www.google.com/maps/contrib/109744285940417368191/reviews?hl=en-CA,2 years ago,2021-06-22 17:42:01.798644,1.0,3,"I went to the riverside park to exercise at 6 o'clock this afternoon. I don’t know what organization was taking up the entire playground. They kept escorting us away, completely occupying the entire playground to engage in their movements. They asked us to leave in a very rude language, and the attitude was very tough. However, when we came in, we did not see any announcement telling us that the playground was closed today. I really want to complain about them. But I don't know what organization they are and who is responsible. I only know that they were already there at 6 o'clock in the afternoon of 2019-06-12. I feel very angry. Other friends also feel unhappy."
