,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Robert-Mitchell,ChZDSUhNMG9nS0VJQ0FnSUNpcU1pSGZREAE,Sim Jans,https://www.google.com/maps/contrib/111082759940264569690/reviews?hl=en-CA,8 months ago,2021-06-22 17:43:19.092736,4.0,2,"It a nice new park located in a pretty hidden spot.
It's got nice structures for children to play on as well as a spot sheltered from the rain or sun with tables and benches to sit at for the parents.
One of the two tables is also accessible to those in wheelchairs as one of the four benches is missing!
The park has a communal garden if you wish to participate (make sure to sign up first).
The whole park sits on a hill which gives a view that goes quite far; too bad the only things to see are condo buildings, factories, or construction sites."
1,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSURZMkxxZjFnRRAB,Kaou Kaou,https://www.google.com/maps/contrib/105594426301189515796/reviews?hl=en-CA,2 years ago,2021-06-22 17:43:19.095391,5.0,74,Great place
2,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSUM0cWFtUzJRRRAB,Eggzon_toast,https://www.google.com/maps/contrib/107480001501491155080/reviews?hl=en-CA,2 years ago,2021-06-22 17:43:19.097168,4.0,59,Calm and collected
3,Parc Robert-Mitchell,ChZDSUhNMG9nS0VJQ0FnSUNDdHB1dkpBEAE,France Verger,https://www.google.com/maps/contrib/116115333255088744622/reviews?hl=en-CA,10 months ago,2021-06-22 17:43:19.100933,5.0,67,"(Translated by Google) Nice park with play modules for children.

(Original)
Joli parc avec des modules de jeux pour les enfants."
4,Parc Robert-Mitchell,ChZDSUhNMG9nS0VJQ0FnSURTdFpEeWFBEAE,waled hsso,https://www.google.com/maps/contrib/117451178311194664862/reviews?hl=en-CA,5 months ago,2021-06-22 17:43:19.115072,5.0,98,"(Translated by Google) Very beautiful

(Original)
جميل جدا"
5,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSURNaTZqNl9RRRAB,Jessy Arcoite,https://www.google.com/maps/contrib/115715281065929674187/reviews?hl=en-CA,a year ago,2021-06-22 17:43:19.119201,5.0,34,"(Translated by Google) A park relax

(Original)
Un parc relax"
6,Parc Robert-Mitchell,ChZDSUhNMG9nS0VJQ0FnSUNjbTZQLWV3EAE,sang yuan,https://www.google.com/maps/contrib/113115321935747577963/reviews?hl=en-CA,a year ago,2021-06-22 17:43:19.121829,5.0,24,"(Translated by Google) Occasional exercise is still possible

(Original)
偶尔来锻炼身体还是可以的"
7,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSUNVeDV1dHR3RRAB,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-22 17:43:19.124853,5.0,140,
8,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSUR5LUlyd3RRRRAB,cecilia tamara grande,https://www.google.com/maps/contrib/103673045559450480988/reviews?hl=en-CA,3 months ago,2021-06-22 17:43:19.126544,2.0,1,
9,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSURBMUlXQnFBRRAB,its_kseniaaa,https://www.google.com/maps/contrib/111611095240518203091/reviews?hl=en-CA,a year ago,2021-06-22 17:43:19.128326,3.0,0,
10,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSUNBbUltM2xBRRAB,Ali Moghimzadeh,https://www.google.com/maps/contrib/106064162646696611712/reviews?hl=en-CA,3 years ago,2021-06-22 17:43:19.129491,3.0,12,
11,Parc Robert-Mitchell,ChdDSUhNMG9nS0VJQ0FnSUNRbnJyN2l3RRAB,Оксана Сарамага,https://www.google.com/maps/contrib/106528955949922197510/reviews?hl=en-CA,3 years ago,2021-06-22 17:43:19.130800,5.0,18,
12,Parc Robert-Mitchell,ChZDSUhNMG9nS0VJQ0FnSUMwamNEMUJREAE,Rémi Dubucq,https://www.google.com/maps/contrib/108443950437422002572/reviews?hl=en-CA,a year ago,2021-06-22 17:43:19.136211,5.0,0,
