,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUNxMWRUQzhRRRAB,Réjean Muckle,https://www.google.com/maps/contrib/107119135185598208782/reviews?hl=en-CA,a week ago,2021-06-24 14:57:48.100611,3.0,33,"(Translated by Google) Very good park for the family

(Original)
Très bon parc pour la famille"
1,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUR5NWZ5S19RRRAB,Benoit lavoie,https://www.google.com/maps/contrib/107599893406867995065/reviews?hl=en-CA,3 months ago,2021-06-24 14:57:48.102355,5.0,37,"(Translated by Google) You don't have a swimming pool

(Original)
Yavai pas dpiscine messemble"
2,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUNLdnVySjZnRRAB,Saima Syed,https://www.google.com/maps/contrib/106275625115183384849/reviews?hl=en-CA,2 months ago,2021-06-24 14:57:48.103303,5.0,3,
3,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUNxOE9pV3BBRRAB,Mat Huc,https://www.google.com/maps/contrib/102524110723320230834/reviews?hl=en-CA,4 weeks ago,2021-06-24 14:57:48.104344,5.0,0,
4,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUNLeU56dWxnRRAB,Said LAKHDARCHAOUCHE,https://www.google.com/maps/contrib/102355355876371760099/reviews?hl=en-CA,2 months ago,2021-06-24 14:57:48.105488,5.0,0,
5,Parc Roger-Rousseau,ChdDSUhNMG9nS0VJQ0FnSUNxaEtUQmlBRRAB,Alex,https://www.google.com/maps/contrib/104954057560740196126/reviews?hl=en-CA,4 weeks ago,2021-06-24 14:57:48.106958,4.0,34,
6,Parc Roger-Rousseau,ChZDSUhNMG9nS0VJQ0FnSUNxNGN6dmZREAE,Michael Randoll,https://www.google.com/maps/contrib/114190239159181642051/reviews?hl=en-CA,2 weeks ago,2021-06-24 14:57:48.109327,5.0,7,
7,Parc Roger-Rousseau,ChZDSUhNMG9nS0VJQ0FnSUNxMzhpUFhBEAE,MEO PICHETTE,https://www.google.com/maps/contrib/105826512886600574992/reviews?hl=en-CA,14 hours ago,2021-06-24 14:57:48.111825,5.0,82,"beau parc, belle piscine"
8,Parc Roger-Rousseau,ChZDSUhNMG9nS0VJQ0FnSUNpZ3RPOVFBEAE,sourour benammar,https://www.google.com/maps/contrib/109676189684963167124/reviews?hl=en-CA,7 months ago,2021-06-24 14:57:48.115376,5.0,8,
9,Parc Roger-Rousseau,ChZDSUhNMG9nS0VJQ0FnSUNLZ0lDWUpREAE,Véronique Gagné,https://www.google.com/maps/contrib/104033560303475973189/reviews?hl=en-CA,3 months ago,2021-06-24 14:57:48.118580,5.0,4,
10,Parc Roger-Rousseau,ChZDSUhNMG9nS0VJQ0FnSURLNEtyeEdBEAE,Serge Beaufort,https://www.google.com/maps/contrib/106500630555316230453/reviews?hl=en-CA,a month ago,2021-06-24 14:57:48.120048,1.0,1,
