,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURDeUxuUmVREAE,Koushik Pm,https://www.google.com/maps/contrib/100083473698186260240/reviews?hl=en-CA,9 months ago,2021-06-22 17:45:59.596975,5.0,22,Perfect ground for kids to play soccer
1,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURVcUptejdBRRAB,Diego Acosta,https://www.google.com/maps/contrib/111513149626500924523/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.599813,4.0,51,Nice place
2,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUMweUpPQ3dRRRAB,1000 subs no vids ?,https://www.google.com/maps/contrib/108828815062426743796/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.603850,1.0,1,A lot of fights bad language and bad people hanging around kids
3,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUN3d09PYzB3RRAB,Adam Venne,https://www.google.com/maps/contrib/103665667812234741974/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.607087,4.0,17,"Very cool, a lot of place to run and relax, nice neighborhood"
4,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUNVbTgtYXVnRRAB,Ganesan Kandasamy,https://www.google.com/maps/contrib/111867503126973979886/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.608424,4.0,22,Excellent
5,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNBektXY2V3EAE,Feras Alhammoud,https://www.google.com/maps/contrib/105904246286070050793/reviews?hl=en-CA,3 years ago,2021-06-22 17:45:59.610366,5.0,4,Nice park
6,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUNNenE2SjlnRRAB,Modukamu Papy Makuma,https://www.google.com/maps/contrib/113956223592864632442/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.612361,5.0,100,Nice place
7,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUNVNHNlR3Z3RRAB,Raphaël Tremblay,https://www.google.com/maps/contrib/104476952111182089016/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.613878,2.0,89,"(Translated by Google) Just a soccer field not nothing for kids without more

(Original)
Juste un terrain de soccer pas rien pour enfants sans plus"
8,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNBeHBDdGF3EAE,Mikhael Najjar,https://www.google.com/maps/contrib/111533410729487227365/reviews?hl=en-CA,4 years ago,2021-06-22 17:45:59.614989,4.0,38,"(Translated by Google) Two large soccer fields with excellent nets, but the terrain is not very beautiful and smooth

(Original)
Deux grands terrain de soccer acec d'excellents filets, mais le terrain n'est pas très beau et lisse"
9,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUQ0dElLR1l3EAE,Tayeb Khouni,https://www.google.com/maps/contrib/106845911199734530959/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.616442,3.0,6,"(Translated by Google) Lack of turf maintenance and goal nets

(Original)
Manque d'entretiens du gazon et des filets de but"
10,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUN3MjdxYWRBEAE,Ibrahima Sory Junior Toure,https://www.google.com/maps/contrib/100247766775585852942/reviews?hl=en-CA,3 years ago,2021-06-22 17:45:59.618764,3.0,6,"(Translated by Google) Good place

(Original)
Bonne endroit"
11,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURNdWI3OEZBEAE,KiNana Alkhori,https://www.google.com/maps/contrib/110733628051664702328/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.620398,5.0,23,💚
12,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUN3dm9HdnR3RRAB,willy silvestre,https://www.google.com/maps/contrib/110739995353953422030/reviews?hl=en-CA,4 years ago,2021-06-22 17:45:59.621544,5.0,4,"(Translated by Google) Beautiful park

(Original)
Beau parc"
13,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUMwaXRTaTB3RRAB,Salifu H,https://www.google.com/maps/contrib/107099592864829952619/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.622666,5.0,0,
14,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUNDMTVMLXdBRRAB,Simon Batenjana,https://www.google.com/maps/contrib/101560922648626624162/reviews?hl=en-CA,9 months ago,2021-06-22 17:45:59.624748,4.0,13,
15,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUNVM0xMMHRBRRAB,Luc Mccarragher,https://www.google.com/maps/contrib/116526058339548975316/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.626771,4.0,2,
16,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURJek43aHJRRRAB,Ayyan Khan,https://www.google.com/maps/contrib/113728102634158668992/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.632013,5.0,1,
17,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSUM4LXBxR3FnRRAB,harsh patel,https://www.google.com/maps/contrib/102622229699061354349/reviews?hl=en-CA,11 months ago,2021-06-22 17:45:59.633546,3.0,13,
18,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURrMjVLZXB3RRAB,Fouad Zabaneh,https://www.google.com/maps/contrib/110576834448015031697/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.634692,4.0,28,
19,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURJdnV5c2xBRRAB,Myrto Icart,https://www.google.com/maps/contrib/107444415623306204727/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.636306,4.0,30,
20,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURLdW9hTWpnRRAB,M. Bareche,https://www.google.com/maps/contrib/103747876065228279452/reviews?hl=en-CA,a month ago,2021-06-22 17:45:59.638691,1.0,2,
21,Parc Roman-Zytynsky,ChdDSUhNMG9nS0VJQ0FnSURVd29LZmdnRRAB,Roger Nguie,https://www.google.com/maps/contrib/102125303272566685315/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.639803,1.0,1,
22,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURrMWFHaGZnEAE,Ghaithana Itani,https://www.google.com/maps/contrib/101660379801925476414/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.641245,4.0,1,
23,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNxdktYOWZREAE,Jose Gabriel Hurtado Perdomo,https://www.google.com/maps/contrib/117891067546280071955/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:45:59.642281,5.0,23,
24,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURZbjRucWNBEAE,Ya2ser officiel,https://www.google.com/maps/contrib/109809930978107573719/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.643438,5.0,4,
25,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURBOUt6Y1ZBEAE,Antonio Sabella,https://www.google.com/maps/contrib/108615410307186131535/reviews?hl=en-CA,4 years ago,2021-06-22 17:45:59.645188,3.0,136,
26,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUN3bUxubFJnEAE,Xavier Mascle,https://www.google.com/maps/contrib/103685327641082398327/reviews?hl=en-CA,4 years ago,2021-06-22 17:45:59.646938,2.0,36,
27,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNVeDZ1bk9nEAE,Annie Perreault,https://www.google.com/maps/contrib/113048397314983711085/reviews?hl=en-CA,4 years ago,2021-06-22 17:45:59.649469,4.0,140,
28,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUQwbkxyQU5REAE,Zenab Camara,https://www.google.com/maps/contrib/108931520532795784006/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.651719,5.0,0,
29,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURBdEltOEtnEAE,Brahim M,https://www.google.com/maps/contrib/115228482623408590640/reviews?hl=en-CA,3 years ago,2021-06-22 17:45:59.653570,5.0,0,
30,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUMwLWR5ckpBEAE,Mamai Moulai,https://www.google.com/maps/contrib/113953424351752629299/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.654768,4.0,23,
31,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNzOWFYRUhREAE,Nettie S.,https://www.google.com/maps/contrib/100401981322622738910/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.656803,3.0,5,
32,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUM0dGJXOEdBEAE,faroq evaz,https://www.google.com/maps/contrib/102407674041989559497/reviews?hl=en-CA,2 years ago,2021-06-22 17:45:59.658255,5.0,7,
33,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNNM3FhZkVREAE,Angelica menezes,https://www.google.com/maps/contrib/104857866805991452807/reviews?hl=en-CA,a year ago,2021-06-22 17:45:59.659839,4.0,0,
34,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNROXMtZkNBEAE,Crimson Espada,https://www.google.com/maps/contrib/102879881552447432961/reviews?hl=en-CA,3 years ago,2021-06-22 17:45:59.662820,5.0,9,
35,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSUNxaFBIVUJ3EAE,4 frères,https://www.google.com/maps/contrib/109985712503652234211/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:45:59.666017,4.0,1,
36,Parc Roman-Zytynsky,ChZDSUhNMG9nS0VJQ0FnSURneDZmVUFREAE,Josee Leclerc,https://www.google.com/maps/contrib/116960674100759401686/reviews?hl=en-CA,3 years ago,2021-06-22 17:45:59.667612,3.0,15,
