,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSUNLd2NIUE5REAE,Randolph Martin,https://www.google.com/maps/contrib/107811966487844979081/reviews?hl=en-CA,2 months ago,2021-06-24 15:00:47.985464,5.0,1,Went to the parc with my girlfriend and son to try out our new 4drc 4k drone
1,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSUNLdHN5bHJRRRAB,Rich San Miguel,https://www.google.com/maps/contrib/107541564110219438977/reviews?hl=en-CA,2 months ago,2021-06-24 15:00:47.986835,4.0,2,It's a clean nice open park
2,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSUNxaklURlN3EAE,diana margarita victoria moron,https://www.google.com/maps/contrib/117325495084069685512/reviews?hl=en-CA,3 weeks ago,2021-06-24 15:00:47.987804,5.0,56,Great for all the family
3,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSURjeU9MZVlnEAE,Bianca Martins,https://www.google.com/maps/contrib/109922309288842518244/reviews?hl=en-CA,a year ago,2021-06-24 15:00:47.988985,5.0,1,Is it allowed to make a small barbecue in the park?
4,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSUM4NXRXZXFRRRAB,Loucif,https://www.google.com/maps/contrib/106096850354913942997/reviews?hl=en-CA,11 months ago,2021-06-24 15:00:47.990420,2.0,3,No water fountain working!
5,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSUQ4emJHNTJnRRAB,fatma ebeid,https://www.google.com/maps/contrib/117504500788663983816/reviews?hl=en-CA,10 months ago,2021-06-24 15:00:47.991362,5.0,11,
6,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSURLOXRYRjFnRRAB,chaya mushka Fellig,https://www.google.com/maps/contrib/115295189950431097974/reviews?hl=en-CA,a month ago,2021-06-24 15:00:47.992292,5.0,1,
7,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSURLdXZyeXJ3RRAB,Arantxa Santos,https://www.google.com/maps/contrib/114312992336765171734/reviews?hl=en-CA,a month ago,2021-06-24 15:00:47.993326,5.0,58,
8,Parc Rosemary-Brown,ChdDSUhNMG9nS0VJQ0FnSUNpeGVMcGpRRRAB,G M Sabil Sajjad,https://www.google.com/maps/contrib/114403647515295920389/reviews?hl=en-CA,7 months ago,2021-06-24 15:00:47.994285,4.0,26,
9,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSUNxdk1IUUxBEAE,Jean-Pierre Richard,https://www.google.com/maps/contrib/115385894962019385875/reviews?hl=en-CA,3 weeks ago,2021-06-24 15:00:47.995646,2.0,0,
10,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSUNpd09QYkpREAE,Pierre Miadlikowski,https://www.google.com/maps/contrib/109712858542450864584/reviews?hl=en-CA,8 months ago,2021-06-24 15:00:47.996600,5.0,57,
11,Parc Rosemary-Brown,ChZDSUhNMG9nS0VJQ0FnSUNxME9qOERREAE,Jaylord Bartolay,https://www.google.com/maps/contrib/110673746990969598070/reviews?hl=en-CA,a month ago,2021-06-24 15:00:47.997534,4.0,17,
