,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURDeHMzbXh3RRAB,Y.E. Seo,https://www.google.com/maps/contrib/108872431477861369816/reviews?hl=en-CA,8 months ago,2021-06-22 17:48:44.527705,5.0,32,"Large tree shade. Big Table. Swing playground for big kids. Child-only playgrounds. a clean, well-maintained, perfect crop park"
1,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNZOC0tendRRRAB,Domina Divinity,https://www.google.com/maps/contrib/112673860503240509799/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.529645,5.0,69,"Beautiful park, great for kids, dog walking and sports. It has a good walking path around the park. Never gets too busy which I like. A few picnic tables and benches. A good wide open space. I wish people picked up the dog poop more though 🙄"
2,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURVX08tczBnRRAB,Louis Messier,https://www.google.com/maps/contrib/106494194779248536352/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.531842,4.0,66,"Good park but next to a busy boulevard. It's gated and safe, just noisy."
3,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURRamI3V1NBEAE,carla rincon,https://www.google.com/maps/contrib/103848796999804805577/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.534381,5.0,78,Nice park with a lot of grass areas. Good for kids too. And playing football
4,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURjcFBiR3VBRRAB,Sacha-Alexendre Collard-Legault,https://www.google.com/maps/contrib/116417171707139208030/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.535655,5.0,8,Met gala : camping so camp
5,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURjaXFfbUNnEAE,Mohammed Alobeid,https://www.google.com/maps/contrib/118007424222456331844/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.538066,5.0,1,so nice place
6,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNnc2VqR0h3EAE,Orestes Gonzalo Manzanilla Salazar,https://www.google.com/maps/contrib/115589180114439632037/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.539727,5.0,10,"Great place to enjoy the sun, play soccer, or do some outdoors activities like Taichi or yoga"
7,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNNemZQUGNREAE,Dylan Desautels,https://www.google.com/maps/contrib/108106414183096257481/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.541890,4.0,34,Good place for the kids.
8,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNBcW9yOFR3EAE,Antonie Cuerrier,https://www.google.com/maps/contrib/108660531029741464176/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.545045,5.0,134,"Great neighbourhood park. Perfect for young children as they'll find plenty to play with in the playground or sandbox. There's also a pretty big soccer field with nets. I believe its lit from 1 or 2 lightposts. And for daycamps the city opens the chalet for restrooms. The place is fenced. Coffeshop across the street, next to a church and school."
9,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNDZ3FUeERREAE,Michael Pinel,https://www.google.com/maps/contrib/116393026486226075398/reviews?hl=en-CA,10 months ago,2021-06-22 17:48:44.549651,5.0,14,Stunparc
10,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUQ0aHVPeDZ3RRAB,Robert Petrin,https://www.google.com/maps/contrib/104807353243578127574/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.551499,5.0,674,Great place!
11,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUN3cF9XcFRBEAE,cain Kuri,https://www.google.com/maps/contrib/110380556470752948732/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.553657,5.0,246,You can bring your dog here. This is winer.
12,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNRMTZEdzBBRRAB,Patrick Giroux,https://www.google.com/maps/contrib/111517476158000557936/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.554809,5.0,8,Clean and quiet.
13,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNZd195MmV3EAE,gaetan Levesque,https://www.google.com/maps/contrib/105742392703646589861/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.555929,5.0,2,Cool!
14,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNRZ3Eza2hRRRAB,Cederic Lourenço,https://www.google.com/maps/contrib/112068439733713761696/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.556980,5.0,218,Nice Park
15,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNVNmFuLVBBEAE,Gerolyn Espada,https://www.google.com/maps/contrib/109899169339009518233/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.557969,5.0,4,Nice
16,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNnenFEdTV3RRAB,jonny boby,https://www.google.com/maps/contrib/108010651127543699719/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.560250,5.0,19,relax!
17,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNBbGVpZmlnRRAB,Elvar Eldjárn Kristjánsson,https://www.google.com/maps/contrib/106639829217385186707/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.562529,5.0,31,👌👌👌
18,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNxMnFQWkd3EAE,Marianela Read,https://www.google.com/maps/contrib/103754579086247480800/reviews?hl=en-CA,2 weeks ago,2021-06-22 17:48:44.564845,3.0,21,"(Translated by Google) The play modules are old and the soccer field lacks a bit of love. All in all, a decent park but nothing more.

(Original)
Les modules de jeu sont vieux et le terrain de soccer manque un peu d'amour. Somme toute, un parc convenable mais sans plus.."
19,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNxc1Bycl9RRRAB,Nicolas Cases,https://www.google.com/maps/contrib/105954207285127510031/reviews?hl=en-CA,4 weeks ago,2021-06-22 17:48:44.566381,3.0,42,"(Translated by Google) Ok the games are good but not always well attended

(Original)
Correct les jeux sont bien mais pas toujours bien fréquenté"
20,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURLdHAyV2lRRRAB,KiNana Alkhori,https://www.google.com/maps/contrib/110733628051664702328/reviews?hl=en-CA,a month ago,2021-06-22 17:48:44.568272,5.0,23,"(Translated by Google) A Super Park 🏞

(Original)
Un Super Parc 🏞"
21,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURLdnQyRHVRRRAB,D M H,https://www.google.com/maps/contrib/115252617611479593254/reviews?hl=en-CA,a month ago,2021-06-22 17:48:44.570355,4.0,41,"(Translated by Google) Fairly quiet park

(Original)
Parc assez calme"
22,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNndE9mWDhnRRAB,souare issa Coulibaly,https://www.google.com/maps/contrib/117228755276244216305/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.573202,5.0,21,"(Translated by Google) Very good soccer field

(Original)
Très bon terrain de soccer"
23,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURDczhPTzZBRRAB,Jean-Sébastien Martel,https://www.google.com/maps/contrib/118262030528982921114/reviews?hl=en-CA,8 months ago,2021-06-22 17:48:44.575760,4.0,24,"(Translated by Google) Good neighborhood park. There are games for ages 18 months to 5, and for ages 5 and up.

(Original)
Bon parc de quartier. Il y a des jeux pour les 18 mois à 5 ans, et pour les 5 ans et plus."
24,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNDbC15QW9RRRAB,eddy Zaitoune,https://www.google.com/maps/contrib/112720596745872975689/reviews?hl=en-CA,9 months ago,2021-06-22 17:48:44.583288,5.0,66,"(Translated by Google) Good greenery, always pleasant to walk among the beautiful plants and trees.

(Original)
De la bonne verdure, toujours agréable de se balader entre les belles plantes et arbres."
25,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNDLU83aEl3EAE,Honey Veltman,https://www.google.com/maps/contrib/103415550413417392461/reviews?hl=en-CA,10 months ago,2021-06-22 17:48:44.585258,3.0,28,"(Translated by Google) The real name is Dandurand Park..🙄 in my heart at least. Otherwise it would be 5 stars

(Original)
Le vrai nom c'est parc Dandurand..🙄 dans mon cœur au moins. Sinon ça serait 5 étoiles"
26,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUMwejQ3cEZBEAE,Balam,https://www.google.com/maps/contrib/106119311161744371253/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.586635,4.0,37,"(Translated by Google) Rosemont Park is a good and beautiful park. Dogs are allowed as long as they are tied.
There is room to play football, rides for children and even the place to have a picnic.
Close to promenade Masson but still it is quiet as a place.
It's worth it to go with family, couple o all alone to enjoy.

(Original)
Parc Rosemont est un bon et beau parc. Les chiens sont permis tant qu'ils soient attachés.
Il y a la place pour jouer football, des manèges pour les enfants et même la place pour se faire un pique nique.
Proche de promenade Masson mais quand même c'est tranquille comme endroit.
Ça vaut la peine pour aller en famille, en couple o tout seul pour en profiter."
27,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUM4dHA2SHhRRRAB,Maxime Beland,https://www.google.com/maps/contrib/109399545939259906666/reviews?hl=en-CA,11 months ago,2021-06-22 17:48:44.588850,4.0,19,"(Translated by Google) Beautiful large park with play section for young children and another for older children. Soccer field with nets and also public toilets.

(Original)
Beau grand parc avec section de jeu pour jeunes enfants et une autre pour les plus vieux.  Terrain de soccer avec filets et aussi des toilettes publiques."
28,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURDOVpfM1hREAE,Daniel Lasserre,https://www.google.com/maps/contrib/106391227174236470864/reviews?hl=en-CA,8 months ago,2021-06-22 17:48:44.591410,4.0,64,"(Translated by Google) Pleasantly well trained

(Original)
Agreable Bien entrenu"
29,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNpdUtUdmdRRRAB,Lise Normand Laroche,https://www.google.com/maps/contrib/118114595410787005800/reviews?hl=en-CA,8 months ago,2021-06-22 17:48:44.594798,5.0,8,"(Translated by Google) Very good

(Original)
Très bien"
30,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURjMGVqZ0hBEAE,Louis-Philippe Trempe,https://www.google.com/maps/contrib/105815614361945276813/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.596769,5.0,31,"(Translated by Google) Beautiful little park with shade and tree picnic tables, games for children and a soccer field

(Original)
Beau petit parc avec de l'ombre et des arbre des tables de pic nique, des jeu pour enfanta et un terrain de soccer"
31,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUM4djZhclNnEAE,Nathan Gervais,https://www.google.com/maps/contrib/110305760800550174012/reviews?hl=en-CA,11 months ago,2021-06-22 17:48:44.599486,4.0,12,"(Translated by Google) Good football field

(Original)
Bon terrain de foot"
32,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNjcTdTTUx3EAE,Slim Loo,https://www.google.com/maps/contrib/108901591912958132038/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.601528,1.0,5,"(Translated by Google) Old plain park, in need of rejuvenation.

(Original)
Vieux parc bien ordinaire, a besoin de rajeunissement."
33,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURZaXBqb0hBEAE,Charlie Nantel (Byler of ever),https://www.google.com/maps/contrib/106643755794620376802/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.608543,5.0,33,"(Translated by Google) Nice park for small and big unfortunately, waste floor.

(Original)
Jolie parc pour petit et grand malheureusement, à des déchets au sol."
34,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURZdWE2N19BRRAB,Bastien Nascimento,https://www.google.com/maps/contrib/107521820615655251285/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.614745,4.0,2,"(Translated by Google) Pretty park. Ideal for resting, doing various sports or just walking around

(Original)
Jolie parc. Idéal pour se reposer, faire divers sport ou se balader seulement"
35,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURZaktqS1d3EAE,Michel Renteria,https://www.google.com/maps/contrib/108814068288652705130/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.615764,5.0,20,"(Translated by Google) Nice place for a stroll.

(Original)
Belle place pour un petit promenade."
36,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURZMk5YLTlRRRAB,Francois Tessier,https://www.google.com/maps/contrib/118348069299484722480/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.617862,4.0,42,"(Translated by Google) Small neighborhood park with soccer field. Sections 18m to 5 and 5 and more.

(Original)
Petit parc de quartier avec terrain de soccer.  Sections 18m à 5 et 5 et plus."
37,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURnOUtXMElBEAE,Véronique Brisson,https://www.google.com/maps/contrib/107660247960495452753/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.624084,2.0,64,"(Translated by Google) The children's park is superb, the rest blah ... plus there are always really bizzard people. drug. Drunk teens who do stupid things ... in short, not great

(Original)
Le parc des petits est superbe le reste bof..de plus il y a tjrs des gens vraiment bizzard . droguer. Saoul ados qui font des niaiseries..bref pas super"
38,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUQwLXB2MklnEAE,Rene Chouinard,https://www.google.com/maps/contrib/117808217535384406693/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.626642,4.0,193,"(Translated by Google) I only went nearby. I am not arrested.

(Original)
Je suis seulement passé tout près. Je ne suis pas arrêté."
39,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSUNVem9XeGJBEAE,Alioune Aidara,https://www.google.com/maps/contrib/117833466954523590924/reviews?hl=en-CA,a year ago,2021-06-22 17:48:44.629268,5.0,187,"(Translated by Google) The neighborhood itself is top

(Original)
Le quartier meme est top"
40,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURBbzdiQy1nRRAB,Tunisian Mechanic,https://www.google.com/maps/contrib/115652932765455021425/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.632451,5.0,109,"(Translated by Google) Toys for small children are missing but the atmosphere is good

(Original)
Ça manque des jouets pour enfants de petite age mais l,ambiance est bonne"
41,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSUNBNU5LeWdRRRAB,Pierre Teasdale,https://www.google.com/maps/contrib/113821590609265496635/reviews?hl=en-CA,2 years ago,2021-06-22 17:48:44.636425,5.0,33,"(Translated by Google) Excellent place to relax!

(Original)
Endroit excellent pour relaxer!"
42,Parc Rosemont,ChdDSUhNMG9nS0VJQ0FnSURBMHB2MnJ3RRAB,Bernard Dostie,https://www.google.com/maps/contrib/108990792035886357279/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.639029,5.0,20,"(Translated by Google) Nice park for the family.

(Original)
Beau parc pour la famille."
43,Parc Rosemont,ChZDSUhNMG9nS0VJQ0FnSURRNXFTZmV3EAE,Marthe Muja,https://www.google.com/maps/contrib/103756652620687449801/reviews?hl=en-CA,3 years ago,2021-06-22 17:48:44.641693,5.0,14,"(Translated by Google) Well maintained and accessible to everyone

(Original)
Bien entretenu et accessible par tout le monde"
