,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Rutherford,ChdDSUhNMG9nS0VJQ0FnSUNxd3ZPTnl3RRAB,Sathiyamoorthy Selladurai,https://www.google.com/maps/contrib/116012549819735931542/reviews?hl=en-CA,3 weeks ago,2021-06-22 17:51:05.898882,4.0,46,Good place play cricket
1,Parc Rutherford,ChdDSUhNMG9nS0VJQ0FnSURZNTkyZmlnRRAB,Eco Eco,https://www.google.com/maps/contrib/100285642219119680900/reviews?hl=en-CA,2 years ago,2021-06-22 17:51:05.901564,5.0,0,Beautiful place to go and enjoy Montreal's heart
2,Parc Rutherford,ChdDSUhNMG9nS0VJQ0FnSUNjcWUyYzFBRRAB,Jaskaran Dhillon,https://www.google.com/maps/contrib/103091924049920621016/reviews?hl=en-CA,a year ago,2021-06-22 17:51:05.902825,5.0,7,Playground with facilities for football and other games. Lighting system is also good for night games. Place for fun and play for children.
3,Parc Rutherford,ChdDSUhNMG9nS0VJQ0FnSUNxdzVuUjZnRRAB,Diego Zoccole,https://www.google.com/maps/contrib/115884918619117648970/reviews?hl=en-CA,5 days ago,2021-06-22 17:51:05.904193,5.0,13,Great soccer fields!!!
4,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSUNDZzgtVlp3EAE,Rowan Chestnutt,https://www.google.com/maps/contrib/101824001271166540546/reviews?hl=en-CA,9 months ago,2021-06-22 17:51:05.905650,5.0,13,Thai is a great park to go play frisbee in and to just talk to friends and family. Expecially now because there is a lot of space so it is easy to social distance.
5,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSUNDc0puV1RBEAE,Sean Glover,https://www.google.com/maps/contrib/109869800942674587013/reviews?hl=en-CA,10 months ago,2021-06-22 17:51:05.906694,4.0,39,Rutherford Park is a soccer field- a very nice one too with a sort of path around it for say jogging. Parking is not so bad on University above Sherbrooke and only 2-3 minute walk
6,Parc Rutherford,ChdDSUhNMG9nS0VJQ0FnSUNpNUx6cnl3RRAB,Tim Chaikhraziev,https://www.google.com/maps/contrib/102032933813697767708/reviews?hl=en-CA,8 months ago,2021-06-22 17:51:05.907922,4.0,48,Niche parc to come to at night if you want a great view.
7,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSURDal83WVRREAE,Estefanía Silva Ríos,https://www.google.com/maps/contrib/100202374296033818092/reviews?hl=en-CA,8 months ago,2021-06-22 17:51:05.909319,5.0,21,Best field and best view of downtown Montreal.
8,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSUNpMUpHbUxREAE,sukesh adiga,https://www.google.com/maps/contrib/108652214263144776546/reviews?hl=en-CA,7 months ago,2021-06-22 17:51:05.910407,5.0,64,"Good for workout, jogging and walking"
9,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSUQ4OF9PLUF3EAE,Mathias Ranft,https://www.google.com/maps/contrib/117468070949354527695/reviews?hl=en-CA,10 months ago,2021-06-22 17:51:05.911782,5.0,216,"Good place to do recreational activities. Good to go for a jog, with your dog, grilling and many other things."
10,Parc Rutherford,ChZDSUhNMG9nS0VJQ0FnSUM4Z2FPak1BEAE,Himanshu Chourasia,https://www.google.com/maps/contrib/114416157195261775975/reviews?hl=en-CA,11 months ago,2021-06-22 17:51:05.913817,5.0,23,Nice crowd. Friendly people. Great ground
