,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Ambroise,ChdDSUhNMG9nS0VJQ0FnSUNxMF96NXpBRRAB,Mauro Peña,https://www.google.com/maps/contrib/105614546613626861622/reviews?hl=en-CA,6 days ago,2021-06-24 15:03:14.091975,4.0,27,"Mad decent parc, right by the Canal, just missing a bit more trees in certain parts that feel exposed on sunny days."
1,Parc Saint-Ambroise,ChdDSUhNMG9nS0VJQ0FnSUNxLTRxdXNRRRAB,George Sutherland,https://www.google.com/maps/contrib/110952161087642063542/reviews?hl=en-CA,4 days ago,2021-06-24 15:03:14.093165,4.0,153,Beautiful linear parc near the canal. Camouflaged heron doing some fishing.
2,Parc Saint-Ambroise,ChdDSUhNMG9nS0VJQ0FnSUNxZ05ybDRRRRAB,Kevin Collie,https://www.google.com/maps/contrib/114756947688435413410/reviews?hl=en-CA,a month ago,2021-06-24 15:03:14.094273,4.0,250,Sweet little spot by the canal for a picnic. There have been quite a few people here during the pandemic (to keep in mind)
3,Parc Saint-Ambroise,ChdDSUhNMG9nS0VJQ0FnSUN3a19DbnNRRRAB,Amélia Koeppel,https://www.google.com/maps/contrib/110592290476506092587/reviews?hl=en-CA,3 years ago,2021-06-24 15:03:14.095291,5.0,33,Nice place to relax
4,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSUNxaGZDWkZREAE,Marco Stacey,https://www.google.com/maps/contrib/106646244552155021719/reviews?hl=en-CA,a week ago,2021-06-24 15:03:14.096296,4.0,42,Good place to sit and relax and wonder where it all went wrong
5,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSURLOUpiMEdBEAE,Milad Mokhtari,https://www.google.com/maps/contrib/114912814666021331897/reviews?hl=en-CA,a month ago,2021-06-24 15:03:14.097700,5.0,39,Well located park. There's a Bixi station right next to it.
6,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSURDbExQWmVnEAE,Anka Kochanowska,https://www.google.com/maps/contrib/113332825003217357816/reviews?hl=en-CA,9 months ago,2021-06-24 15:03:14.098751,4.0,11,"No picnic tables, otherwise nice."
7,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSUNzNy1DTmNREAE,adam crawford,https://www.google.com/maps/contrib/101953586133650180254/reviews?hl=en-CA,a year ago,2021-06-24 15:03:14.099845,4.0,130,1 of my fav parts of the city. Beautiful residential area near the water and close to Atwater market
8,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSURjbXRPLUVBEAE,Ghost Ghost,https://www.google.com/maps/contrib/101550154874183898662/reviews?hl=en-CA,a year ago,2021-06-24 15:03:14.100950,5.0,58,Nice day clean park
9,Parc Saint-Ambroise,ChZDSUhNMG9nS0VJQ0FnSURndmJPWFVBEAE,Gemechu Fanta Garuma,https://www.google.com/maps/contrib/117249781922832996368/reviews?hl=en-CA,3 years ago,2021-06-24 15:03:14.101955,4.0,68,Cool place to breath good oxygen from the park trees and escape from the noises.
