,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNxd0lyOFJ3EAE,Razan Feta,https://www.google.com/maps/contrib/111890661056195753416/reviews?hl=en-CA,a month ago,2021-06-24 15:04:09.501140,5.0,39,Nice
1,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSURjOGFTVTh3RRAB,Eric Vanh,https://www.google.com/maps/contrib/117554321309423092855/reviews?hl=en-CA,a year ago,2021-06-24 15:04:09.502663,4.0,172,I really like it.
2,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNLOGVxaEFREAE,Xavier Gauvin,https://www.google.com/maps/contrib/107693701419583002300/reviews?hl=en-CA,2 months ago,2021-06-24 15:04:09.505019,5.0,49,"(Translated by Google) Very nice park for children

(Original)
Très beau parc pour les enfants"
3,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSUNpcU9xMWtRRRAB,Jocelyn Rassi,https://www.google.com/maps/contrib/117619337372475159841/reviews?hl=en-CA,8 months ago,2021-06-24 15:04:09.506017,5.0,85,"(Translated by Google) Children find it crazy fun. They are masters at home. The water jets in the summer are appreciated. The schoolyard gives them more reason to take the place of assault, abandoning their bicycles or their boards safely. The soccer field is popular

(Original)
Les enfants y trouvent un plaisir fous. Ils y sont maitre chez eux. Les jet d eau l ete sont apprecies. La cour d ecole leur donnent plus de raison de prendre la place d assaut, abandonnant leurs bicycles ou leur planche avec securite. Le terrain de soccer est populaire"
4,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSURNNHE2N21RRRAB,Sherley Chleo,https://www.google.com/maps/contrib/117951374239460398380/reviews?hl=en-CA,a year ago,2021-06-24 15:04:09.507003,3.0,298,"(Translated by Google) Beautiful water jet park in summer a big soccer field of big place for the modules but not really safe because no fence

(Original)
Beau parc jet d'eau en été un grand terrain de soccer de grand place pour les modules mais pas vraiment sécuritaire car pas de clôture"
5,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNDX3JlZ1NnEAE,Jean-marc DUVIVIER,https://www.google.com/maps/contrib/116341766672217965290/reviews?hl=en-CA,9 months ago,2021-06-24 15:04:09.508715,5.0,268,"(Translated by Google) Impeccable for all ages

(Original)
Impeccable pour tout les âges"
6,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSURDM2FQVjFBRRAB,Lise Vaillancourt,https://www.google.com/maps/contrib/114782693927070208555/reviews?hl=en-CA,8 months ago,2021-06-24 15:04:09.510261,5.0,15,"(Translated by Google) I love spending time in this park

(Original)
J'adore passer du temps dans ce parc"
7,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNDZ3ZQNkFnEAE,Nix J,https://www.google.com/maps/contrib/108538764173580992247/reviews?hl=en-CA,10 months ago,2021-06-24 15:04:09.511570,5.0,279,"(Translated by Google) Clean and quiet

(Original)
Propre et tranquille"
8,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSUNxNC0tOV93RRAB,Francois D,https://www.google.com/maps/contrib/100126457685764052384/reviews?hl=en-CA,6 days ago,2021-06-24 15:04:09.512814,4.0,8,
9,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSUNLbWRpejd3RRAB,Luc P,https://www.google.com/maps/contrib/101125606743880026619/reviews?hl=en-CA,2 months ago,2021-06-24 15:04:09.513850,4.0,50,
10,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSUQ4NS1IRHZnRRAB,Marie-Philippe McInnes,https://www.google.com/maps/contrib/109802887504425946907/reviews?hl=en-CA,10 months ago,2021-06-24 15:04:09.515346,4.0,1,
11,Parc Saint-André-Apôtre,ChdDSUhNMG9nS0VJQ0FnSUNDdk1IWnZRRRAB,Eddy Mourra,https://www.google.com/maps/contrib/109509714165270180373/reviews?hl=en-CA,a month ago,2021-06-24 15:04:09.517052,5.0,344,
12,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSURTNF9QWWRnEAE,R Morabito,https://www.google.com/maps/contrib/103742443980031603788/reviews?hl=en-CA,5 months ago,2021-06-24 15:04:09.518728,4.0,8,
13,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNDcnBqMmJREAE,JOSE RICARDO CRUZ GARCIA,https://www.google.com/maps/contrib/113636458639775132826/reviews?hl=en-CA,10 months ago,2021-06-24 15:04:09.520771,5.0,2,
14,Parc Saint-André-Apôtre,ChZDSUhNMG9nS0VJQ0FnSUNxcXBqTlh3EAE,Ali Joumaa,https://www.google.com/maps/contrib/101286858164280080416/reviews?hl=en-CA,3 weeks ago,2021-06-24 15:04:09.522590,5.0,1,
