,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUNLcjdmd0pREAE,Arakaza,https://www.google.com/maps/contrib/108537209587265333421/reviews?hl=en-US,a month ago,2021-06-23 16:11:22.739357,5.0,1,Dope park.  I went there to play basketball.  Was a little disappointed when I saw there is only one hoop but will definitely go back.
1,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUQ0dnRpemdRRRAB,Alioune Ba,https://www.google.com/maps/contrib/118102743420341062546/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.740461,4.0,194,Lot of soccer fields. Good location with easy access but parking can be very challenging. Good place for kids. Very spacious with lot of playing devices and water jets for summer time. There is a little denivelation but I don't think It is intended for sliding during the winter  season. Recommended.
2,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNxbElTZXpBRRAB,Ibra Jam,https://www.google.com/maps/contrib/105860387574570466551/reviews?hl=en-US,3 weeks ago,2021-06-23 16:11:22.741555,5.0,178,"Great, very organized and nice staff"
3,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSURDNDZMdU13EAE,karla fernandez,https://www.google.com/maps/contrib/104275777936144013014/reviews?hl=en-US,8 months ago,2021-06-23 16:11:22.742851,5.0,29,Love this place they have a beautiful park for my baby and also for my dog!
4,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUNDLUlqNE13EAE,Mc Assia,https://www.google.com/maps/contrib/112169581216869546732/reviews?hl=en-US,10 months ago,2021-06-23 16:11:22.743844,5.0,25,Good place for kids to play and have fun with their parents around
5,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURZa3J5UTlnRRAB,Adebimpe Adekola,https://www.google.com/maps/contrib/112447642711401589500/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.745296,5.0,61,"Was an exciting and exhilarating experience being at the park  with various kiddies fun games available.
My daughter was super excited and I was happy to see that there were various gymnastics available for all ages and places for parents to sit and have a close watch of their wards"
6,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUNDd1lYcExBEAE,Eric Vanh,https://www.google.com/maps/contrib/117554321309423092855/reviews?hl=en-US,9 months ago,2021-06-23 16:11:22.746306,4.0,172,"Parc St Benoit is not a dog park, it's a nice size children playground, athletic and football filed as well as a dog parc"
7,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNDc2FfTDNRRRAB,Kay Kay,https://www.google.com/maps/contrib/108496502951623818122/reviews?hl=en-US,9 months ago,2021-06-23 16:11:22.747248,5.0,3,It was nice and clean too
8,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURLck5qLTB3RRAB,Razan Feta,https://www.google.com/maps/contrib/111890661056195753416/reviews?hl=en-US,a month ago,2021-06-23 16:11:22.748427,5.0,39,Nice
9,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSURZX2JuekpBEAE,Max Baburin,https://www.google.com/maps/contrib/117911221938259878285/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.749366,5.0,37,"The parc has a splash zone, a soccer field and a playground"
10,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURjdlBUV193RRAB,biola Bolanle,https://www.google.com/maps/contrib/103678212701211887540/reviews?hl=en-US,a year ago,2021-06-23 16:11:22.750293,5.0,29,"For now, the police warned that we should keep the children away from the playing area."
11,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUNBZ29lVFZBEAE,Istiak Khan,https://www.google.com/maps/contrib/109386369315915019219/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.751315,4.0,22,Walk my dog there quite often. So far so good. Clean too
12,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSURVdFlHbGNnEAE,ChrysP,https://www.google.com/maps/contrib/109086471167360524664/reviews?hl=en-US,a year ago,2021-06-23 16:11:22.752244,3.0,11,Clean dog park  the area however seems rather on the poor & dirty side. Lots of garbage & glass on the street leading to the dog park which is bad for dogs.
13,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNpLXNMdTRRRRAB,Irene Prata,https://www.google.com/maps/contrib/118412760883214805571/reviews?hl=en-US,7 months ago,2021-06-23 16:11:22.753136,3.0,8,It too many people
14,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURrczZXcWxRRRAB,Princess Tee,https://www.google.com/maps/contrib/106494385538939400528/reviews?hl=en-US,a year ago,2021-06-23 16:11:22.754188,4.0,21,Clean and fun
15,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURvd0xfOTNRRRAB,أبو عمران,https://www.google.com/maps/contrib/111910869044821051940/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.755221,4.0,180,nice
16,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUMwOGFDc0FREAE,Gelt's VLOGS,https://www.google.com/maps/contrib/110049803144893261476/reviews?hl=en-US,a year ago,2021-06-23 16:11:22.756548,5.0,13,:p
17,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUNxM3JiLVJ3EAE,Khadija Agamoud,https://www.google.com/maps/contrib/111573761467399030310/reviews?hl=en-US,2 weeks ago,2021-06-23 16:11:22.757659,5.0,2,"(Translated by Google) Beautiful park I like.

(Original)
Beau parc j aime."
18,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNLek5HdGtnRRAB,fouw fov,https://www.google.com/maps/contrib/111918016134227440815/reviews?hl=en-US,2 months ago,2021-06-23 16:11:22.759006,5.0,17,"(Translated by Google) Best place to cycle, always clean the tables are not always free to eat there in the summer

(Original)
Meilleur endroit pour faire du vélo, toujour propre les tables ne sont pas toujours libre pour y manger l'été"
19,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUM0MmFHM3FRRRAB,Karine Fradet,https://www.google.com/maps/contrib/117865702879727183575/reviews?hl=en-US,2 years ago,2021-06-23 16:11:22.760076,4.0,12,"(Translated by Google) Large space to move the dog or to have a quiet place when there are several, shade, sun, it lacks a functional water source!

(Original)
Grand espace pour faire bouger le chien ou pour avoir son coin tranquille lorsqu'il y en a plusieurs, de l'ombre, du soleil, il ne manque qu'une source d'eau fonctionnelle!"
20,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNxb3VXUHBBRRAB,DJEISS SERGE,https://www.google.com/maps/contrib/102841280932413526081/reviews?hl=en-US,3 weeks ago,2021-06-23 16:11:22.761013,4.0,4,"(Translated by Google) Nice place to spend time

(Original)
Agréable endroit pour passer du temps"
21,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUNDMk9ldXp3RRAB,David C,https://www.google.com/maps/contrib/107574749463414224583/reviews?hl=en-US,10 months ago,2021-06-23 16:11:22.761936,3.0,5,"(Translated by Google) Nice place to do some sport as well as to enjoy with the children. On the other hand, it is a little dirty, people do not respect and leave a lot of garbage on the ground. the synthetic pitch is also badly damaged.

(Original)
Bel endroit pour faire un peu de sport ainsi que profiter avec les enfants. Par contre, c'est un peu sale, les gens ne respectent pas et laissent beaucoup de déchets à terre. le terrain synthétique est aussi très endommagé."
22,Parc Saint-Benoît,ChZDSUhNMG9nS0VJQ0FnSUN5aHRMR0JREAE,Thug_gacha_ life,https://www.google.com/maps/contrib/102934917853103520502/reviews?hl=en-US,4 months ago,2021-06-23 16:11:22.762879,5.0,1,"(Translated by Google) Just calm and for me to study in St-Benoît

(Original)
Juste calme et pour moi étudier a St-Benoît"
23,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSURDNGVHZ2pnRRAB,sokona habibatou Kone,https://www.google.com/maps/contrib/114654222485027749985/reviews?hl=en-US,8 months ago,2021-06-23 16:11:22.763778,1.0,39,"(Translated by Google) I can't rate a place where I was driving by, it's not serious google

(Original)
Je ne peux pas evaluer un endroit ou je passais en voiture cest pas serieux google"
24,Parc Saint-Benoît,ChdDSUhNMG9nS0VJQ0FnSUM4eE5DQ19nRRAB,Issa Aboudou,https://www.google.com/maps/contrib/110094014358273812543/reviews?hl=en-US,11 months ago,2021-06-23 16:11:22.764650,4.0,93,"(Translated by Google) User-friendly for team sports

(Original)
Convivial pour la pratique de sports collectifs"
