,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Clément,ChdDSUhNMG9nS0VJQ0FnSUNxd3AzbjRBRRAB,Philippe Morin,https://www.google.com/maps/contrib/108616554349193438682/reviews?hl=en-CA,3 weeks ago,2021-06-22 18:08:37.916181,5.0,10,Perfect for a quiet afternoon or to play softball with friends!!!!
1,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSURjLU1UbFB3EAE,François-Pierre Perron,https://www.google.com/maps/contrib/110806974583656037504/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.918948,5.0,14,"Quiet, nice kids play area and new pool area that will be awesome once it opens up."
2,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSURzNnNDYklnEAE,Simon Morneau,https://www.google.com/maps/contrib/105876112194253413218/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.921063,3.0,16,Meulleure patogeoire around
3,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSUNzdGVlRmNBEAE,a. Pineda,https://www.google.com/maps/contrib/102311016014337224532/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.922710,1.0,89,Wierd people in angrignon park wen the sun  goes down
4,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSUNVc1BURlRBEAE,Mustafizur Rahman,https://www.google.com/maps/contrib/102724185109118996987/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.926902,5.0,84,Amazing swimming spot for your toddlers
5,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSURVdHZ1aEl3EAE,Angus Coleman,https://www.google.com/maps/contrib/105817378525478161640/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.929074,4.0,9,Clean & relaxing park Keep it green-:)
6,Parc Saint-Clément,ChdDSUhNMG9nS0VJQ0FnSURnNy03WW5nRRAB,Michael Chartrand,https://www.google.com/maps/contrib/113698639822454783935/reviews?hl=en-CA,3 years ago,2021-06-22 18:08:37.937781,5.0,75,Beautiful heritage park close to St Lawrence River
7,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSURreC1iVFl3EAE,T,https://www.google.com/maps/contrib/111614066414582841129/reviews?hl=en-CA,a year ago,2021-06-22 18:08:37.944603,3.0,221,Pool too crowded and too small
8,Parc Saint-Clément,ChdDSUhNMG9nS0VJQ0FnSUNBbzVHTDFBRRAB,Gab Paquette,https://www.google.com/maps/contrib/106553031153176970479/reviews?hl=en-CA,2 years ago,2021-06-22 18:08:37.947888,3.0,23,"They got what you need
They are affiliated to marché metro"
9,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSUNJaXRQWmJREAE,stephen cor,https://www.google.com/maps/contrib/105208740241368901278/reviews?hl=en-CA,2 years ago,2021-06-22 18:08:37.949265,2.0,11,Mainly baseball field
10,Parc Saint-Clément,ChdDSUhNMG9nS0VJQ0FnSUNxX3IyWmdnRRAB,Alain Smolynecky,https://www.google.com/maps/contrib/104906544231154603236/reviews?hl=en-CA,5 days ago,2021-06-22 18:08:37.950480,5.0,42,Très beau parc.  J'y ai récupéré des grosses fèves au sol près des arbres. Il y en avait d'autre encore dans les arbres. Quelqu'un sait quelle sorte d'arbre c'est ?
11,Parc Saint-Clément,ChZDSUhNMG9nS0VJQ0FnSUNLaGZycmNBEAE,Serge Boisvert,https://www.google.com/maps/contrib/110524656501584418193/reviews?hl=en-CA,2 months ago,2021-06-22 18:08:37.955615,5.0,9,"(Translated by Google) A great location and clean and quiet

(Original)
Un super emplacement et propres et tranquille"
12,Parc Saint-Clément,ChdDSUhNMG9nS0VJQ0FnSUNxamJmUm5BRRAB,robert roy,https://www.google.com/maps/contrib/108860932649822132007/reviews?hl=en-CA,a week ago,2021-06-22 18:08:37.957565,3.0,24,"(Translated by Google) Calm and restful

(Original)
Calme et reposant"
