,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Donat,ChdDSUhNMG9nS0VJQ0FnSURZcC1qYmxnRRAB,DJ's Phone,https://www.google.com/maps/contrib/108876631076123670277/reviews?hl=en-CA,2 years ago,2021-06-22 18:10:43.639939,4.0,46,"Small part, nice quiet place to relax"
1,Parc Saint-Donat,ChRDSUhNMG9nS0VJQ0FnSUMwdHQ4TxAB,Amanda Brunet-Piercey,https://www.google.com/maps/contrib/104881782933284812337/reviews?hl=en-CA,a year ago,2021-06-22 18:10:43.641540,5.0,6,"Absolutely fantastic new park module and water games (although the city needs to shut it down sooner, it's motion detection auto starts and it's just wasting water right now). Super well located and close by. Love this park so much!"
2,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSUM4bHJqUUJnEAE,Kristin MH,https://www.google.com/maps/contrib/103514407592067584488/reviews?hl=en-CA,11 months ago,2021-06-22 18:10:43.643293,5.0,69,"Great neighborhood park with playground, sports field, splash pad etc."
3,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSUNna1lqdExBEAE,antoinephotographer,https://www.google.com/maps/contrib/107644999500741514398/reviews?hl=en-CA,2 years ago,2021-06-22 18:10:43.644626,4.0,37,"Nice park for parents with kids. At night, if you're in the neighborhood, good spot for tansition in a date or just for a walk."
4,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSUNnMWNTemZnEAE,Annie B,https://www.google.com/maps/contrib/107114963821876216029/reviews?hl=en-CA,2 years ago,2021-06-22 18:10:43.646212,5.0,40,Ran in circles for a while (on purpose) and enjoyed their track field!
5,Parc Saint-Donat,ChdDSUhNMG9nS0VJQ0FnSURnd3VLWXNRRRAB,William Johnny Houle,https://www.google.com/maps/contrib/107139537428347469305/reviews?hl=en-CA,3 years ago,2021-06-22 18:10:43.647492,5.0,46,"Beautifully kept Parc with an arena, a soccer field, a football field, a running track, a Parc for kids and a kids pool."
6,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSUNRdnVMbEt3EAE,Elena Prijilevski,https://www.google.com/maps/contrib/106115913847766191558/reviews?hl=en-CA,a year ago,2021-06-22 18:10:43.648791,3.0,10,Not so developed as other parcs
7,Parc Saint-Donat,ChdDSUhNMG9nS0VJQ0FnSURnOTRHYXhBRRAB,Gloria Komwaka,https://www.google.com/maps/contrib/107170790261505960601/reviews?hl=en-CA,3 years ago,2021-06-22 18:10:43.650032,4.0,47,One of my favorite parks in Mtl.
8,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSUNRbUlEUkZ3EAE,Mahmud Iqbal,https://www.google.com/maps/contrib/105344847900635773546/reviews?hl=en-CA,3 years ago,2021-06-22 18:10:43.651358,4.0,114,Good place for jogging and kids playground
9,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSURZcnJxVldnEAE,Zoir Radjabov,https://www.google.com/maps/contrib/100249706059581510387/reviews?hl=en-CA,2 years ago,2021-06-22 18:10:43.654497,5.0,637,Good park
10,Parc Saint-Donat,ChZDSUhNMG9nS0VJQ0FnSURVd05lNlFREAE,Denis French for win,https://www.google.com/maps/contrib/109269949457183574782/reviews?hl=en-CA,a year ago,2021-06-22 18:10:43.658896,5.0,70,Great park!
