,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUQ4NTQyTHF3RRAB,RealDLC 19,https://www.google.com/maps/contrib/107848617168977852296/reviews?hl=en-CA,10 months ago,2021-06-24 15:09:25.820137,5.0,9,The kids enjoy themselves everytime.
1,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUQ4MDh2a2dnRRAB,Omar Abdennour,https://www.google.com/maps/contrib/100382616308186527372/reviews?hl=en-CA,10 months ago,2021-06-24 15:09:25.821090,5.0,17,Love it
2,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUN5aEl1VHVRRRAB,Sergio Desrosiers,https://www.google.com/maps/contrib/102068506817468217218/reviews?hl=en-CA,5 months ago,2021-06-24 15:09:25.822033,5.0,137,"(Translated by Google) I love what they have done with this little place. Children can fully enjoy it on beautiful summer days. And adults can stop for a while to read a good novel.

(Original)
J'adore ce qu'ils ont fait avec ce petit endroit. Les enfants peuvent en profiter pleinement les belles journées d'été. Et les adults peuvent arrêter un moment pour y faire la lecture d'un bon roman."
3,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUNxcXJhc2lBRRAB,Vrosenie Simeon,https://www.google.com/maps/contrib/116228548363248087108/reviews?hl=en-CA,3 weeks ago,2021-06-24 15:09:25.822974,5.0,12,"(Translated by Google) I like !

(Original)
J'aime !"
4,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUM4MHZDeDRBRRAB,Cédric Marion,https://www.google.com/maps/contrib/101167549576130852639/reviews?hl=en-CA,11 months ago,2021-06-24 15:09:25.823912,3.0,27,"(Translated by Google) Water games are perfect for cooling off on a hot day

(Original)
Les jeux d'eau sont parfait pour se rafraîchir durant une journée chaude"
5,Parc Saint-Gérard,ChZDSUhNMG9nS0VJQ0FnSURDbmM2N05BEAE,Luiza Monteiro,https://www.google.com/maps/contrib/106458382438560406800/reviews?hl=en-CA,8 months ago,2021-06-24 15:09:25.825099,5.0,48,"(Translated by Google) Small, cozy and pleasant

(Original)
Pequeno, aconchegante e agradável"
6,Parc Saint-Gérard,ChZDSUhNMG9nS0VJQ0FnSUM4bXB6UWVBEAE,Julie Descôteaux,https://www.google.com/maps/contrib/103142132068769057454/reviews?hl=en-CA,11 months ago,2021-06-24 15:09:25.827002,4.0,7,"(Translated by Google) There are no toilets or changing rooms for changing children.

(Original)
Il n'y a pas de toilettes ou de vestiaires pour changer les enfants."
7,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUNpNGZlRW5RRRAB,Benoit lavoie,https://www.google.com/maps/contrib/107599893406867995065/reviews?hl=en-CA,7 months ago,2021-06-24 15:09:25.828684,5.0,37,"(Translated by Google) Rainbow

(Original)
Arc en ciel"
8,Parc Saint-Gérard,ChZDSUhNMG9nS0VJQ0FnSUNneXFIY0p3EAE,Eric Levert,https://www.google.com/maps/contrib/102001001418637042466/reviews?hl=en-CA,2 years ago,2021-06-24 15:09:25.830127,5.0,143,"(Translated by Google) Great with water games

(Original)
Super bien avec jeux d eau"
9,Parc Saint-Gérard,ChdDSUhNMG9nS0VJQ0FnSUMwcWVYNF9RRRAB,michel Paradis,https://www.google.com/maps/contrib/113465849020786864079/reviews?hl=en-CA,a year ago,2021-06-24 15:09:25.831076,3.0,105,
