,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURrb1p1Um5nRRAB,Sylvain Angers,https://www.google.com/maps/contrib/118163256188592385907/reviews?hl=en-CA,a year ago,2021-06-24 15:14:02.923445,4.0,18,Nice fresh water
1,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURVcm9QNXV3RRAB,vlajna jakovovic,https://www.google.com/maps/contrib/109800733042551089255/reviews?hl=en-CA,a year ago,2021-06-24 15:14:02.924673,5.0,14,Nice park for kids
2,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNnc0ttM3BRRRAB,Max Medina,https://www.google.com/maps/contrib/106018640753166135960/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:02.926566,4.0,104,Tennis courts are available here!
3,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURRbHRURnJ3RRAB,Brian M Cox,https://www.google.com/maps/contrib/114954121696128066715/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:02.955385,2.0,116,Meh.
4,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSUNRazl1UVBREAE,Marcello Cellucci,https://www.google.com/maps/contrib/117921564164478312573/reviews?hl=en-CA,4 years ago,2021-06-24 15:14:02.957126,5.0,147,Great parc
5,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNxd2NuWWhRRRAB,Isabelle Vaubert,https://www.google.com/maps/contrib/118166673384835810571/reviews?hl=en-CA,2 weeks ago,2021-06-24 15:14:02.959508,3.0,394,"Entre la Rue d'Aragon et Dumas...et aussi entre terrain de tennis et petit terrain de soccer.Ideal pour le temps d'une pause, des bancs sont aussi accessibles"
6,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNxMW9fY3d3RRAB,Yanick Aubry,https://www.google.com/maps/contrib/116151958069392869656/reviews?hl=en-CA,2 weeks ago,2021-06-24 15:14:02.961527,4.0,200,"(Translated by Google) The water games are open!

(Original)
Les jeux d'eau sont ouverts!"
7,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURZMkktWC1nRRAB,Mourad Douss,https://www.google.com/maps/contrib/115711291394206522669/reviews?hl=en-CA,a year ago,2021-06-24 15:14:02.963443,4.0,19,"(Translated by Google) Perfect for tennis without reservation

(Original)
Parfait pour tennis sans réservation"
8,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSURVLThuNFBnEAE,Sarah Gao,https://www.google.com/maps/contrib/110270369014300021581/reviews?hl=en-CA,a year ago,2021-06-24 15:14:02.965234,5.0,51,"(Translated by Google) There is an elementary school next to the church, very very good, and many excellent children.

(Original)
教堂旁边有一个小学，非常非常好，培养许多优秀孩子。"
9,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURvNk9IUXh3RRAB,Gabrielle St laurent Duval,https://www.google.com/maps/contrib/104248228204529990609/reviews?hl=en-CA,2 years ago,2021-06-24 15:14:02.974163,4.0,8,"(Translated by Google) PTIT dinner ds lenparc

(Original)
PTIT dîner ds lenparc"
10,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSURReE5YVVpREAE,Andrey Polyanskiy,https://www.google.com/maps/contrib/106975309115153776257/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:02.976378,4.0,52,"(Translated by Google) A small square. There is a children's playground, as well as a concrete playground, apparently for skateboarding.

(Original)
Небольшой сквер. Есть детская площадка, а также бетонная площадка, видимо, для катания на скейтборде."
11,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNVa2VXZ3VRRRAB,Jean Le Blanc,https://www.google.com/maps/contrib/113250916371169508185/reviews?hl=en-CA,a year ago,2021-06-24 15:14:03.026649,5.0,73,"(Translated by Google) There are water games in the children's park

(Original)
Y as des jeux d'eau dans le parc pour enfant"
12,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNVME4tZmhBRRAB,Abdel Alao,https://www.google.com/maps/contrib/106839698417005125958/reviews?hl=en-CA,a year ago,2021-06-24 15:14:03.028656,4.0,86,"(Translated by Google) Cool space

(Original)
Cool espace"
13,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSURBMVliT1BREAE,Watch NLearn,https://www.google.com/maps/contrib/113538070769496607034/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:03.034104,5.0,1,"(Translated by Google) we are looking for regulars for tennis!

(Original)
on recherche des réguliers pour du tennis!"
14,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSUN3eXVQX1ZREAE,Luc Brissette,https://www.google.com/maps/contrib/103177781102418352572/reviews?hl=en-CA,5 years ago,2021-06-24 15:14:03.035941,5.0,1,"(Translated by Google) Access to tennis courts

(Original)
Accessibilité aux terrains de tennis"
15,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNncmRXTDhBRRAB,alvaro farinacci,https://www.google.com/maps/contrib/108421529448817620111/reviews?hl=en-CA,2 years ago,2021-06-24 15:14:03.037858,4.0,29,
16,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUMwOGJUYTdnRRAB,Fabio Mikio,https://www.google.com/maps/contrib/105116456090016900062/reviews?hl=en-CA,a year ago,2021-06-24 15:14:03.041935,5.0,0,
17,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURncDlxZzRBRRAB,Laurent Santamaria,https://www.google.com/maps/contrib/104922086611968448977/reviews?hl=en-CA,4 years ago,2021-06-24 15:14:03.043859,5.0,30,
18,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUR5X0ktUnhRRRAB,Alima Alibhay,https://www.google.com/maps/contrib/102055056580413730621/reviews?hl=en-CA,3 months ago,2021-06-24 15:14:03.045787,5.0,36,
19,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURnLWRYa3V3RRAB,Strato “Fenixvarg”,https://www.google.com/maps/contrib/101294485538520779309/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:03.057328,5.0,6,
20,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNRLUo2QnVBRRAB,Yuri Mikhailov,https://www.google.com/maps/contrib/117066731570794187732/reviews?hl=en-CA,4 years ago,2021-06-24 15:14:03.059432,5.0,19,
21,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSUNJbHA2a3NRRRAB,LEI XU,https://www.google.com/maps/contrib/111048983801074583686/reviews?hl=en-CA,2 years ago,2021-06-24 15:14:03.065443,5.0,0,
22,Parc Saint-Jean-de-Matha,ChdDSUhNMG9nS0VJQ0FnSURRX2ItMm53RRAB,Alvaro Farinacci,https://www.google.com/maps/contrib/113833156541712944675/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:03.067309,3.0,65,
23,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSUN3a19IRmN3EAE,Andre Paquette,https://www.google.com/maps/contrib/111030959415948119387/reviews?hl=en-CA,3 years ago,2021-06-24 15:14:03.068356,3.0,32,
24,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSURRa3Nma2JREAE,Axel Arsenault Levesque,https://www.google.com/maps/contrib/111816028863724006952/reviews?hl=en-CA,7 years ago,2021-06-24 15:14:03.069381,3.0,63,
25,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSUNBanI2LVVnEAE,Casey Bergevin,https://www.google.com/maps/contrib/115569796660735403955/reviews?hl=en-CA,4 years ago,2021-06-24 15:14:03.070840,4.0,0,
26,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSURTM2RyUFNBEAE,Colin Renaud,https://www.google.com/maps/contrib/116748294507783517826/reviews?hl=en-CA,5 months ago,2021-06-24 15:14:03.074048,4.0,14,
27,Parc Saint-Jean-de-Matha,ChZDSUhNMG9nS0VJQ0FnSUNFLXJtOFJREAE,Chris Holmes,https://www.google.com/maps/contrib/113258436331016473643/reviews?hl=en-CA,2 years ago,2021-06-24 15:14:03.075958,4.0,6,
