,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Saint-Édouard,ChZDSUhNMG9nS0VJQ0FnSUM4MzlMUlVnEAE,Stan Hickey,https://www.google.com/maps/contrib/102505001868692026920/reviews?hl=en-CA,11 months ago,2021-06-22 18:11:22.203557,3.0,120,"Not a bad playground. The ""splash pad"" is a pipe sticking out of the ground. There are washrooms, but they were closed all morning. Not a lot of green space."
1,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUN5cnV2ODB3RRAB,Phil Kielbasinski,https://www.google.com/maps/contrib/114763539633737048093/reviews?hl=en-CA,4 months ago,2021-06-22 18:11:22.204561,4.0,47,Nice place
2,Parc Saint-Édouard,ChZDSUhNMG9nS0VJQ0FnSUNRM2R2ZlZBEAE,Kev Gélinas,https://www.google.com/maps/contrib/111244796054531361200/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.205499,5.0,49,My best friend daughter is crazy of that park
3,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSURBanBQQzBRRRAB,Luc Labelle,https://www.google.com/maps/contrib/107657088429143822076/reviews?hl=en-CA,4 years ago,2021-06-22 18:11:22.206414,4.0,47,Nice little park with activity centers for all ages.
4,Parc Saint-Édouard,ChZDSUhNMG9nS0VJQ0FnSUN3NE5pQk9REAE,Mouris Khouri,https://www.google.com/maps/contrib/108204121120887903600/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.207523,4.0,1,Very good Parc and clean
5,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSURRM2JQcW53RRAB,Omar Bickell,https://www.google.com/maps/contrib/106295482444848266239/reviews?hl=en-CA,4 years ago,2021-06-22 18:11:22.208515,4.0,51,"Has two playgrounds, one for toddlers and another for kids, a water feature, a couple picnic tables and some mature trees."
6,Parc Saint-Édouard,ChZDSUhNMG9nS0VJQ0FnSUQ4dlpfQk5nEAE,Louis Gobeille,https://www.google.com/maps/contrib/111896450929407931644/reviews?hl=en-CA,10 months ago,2021-06-22 18:11:22.209436,4.0,23,"(Translated by Google) Pleasant neighborhood family park where everyone meets before dinner.

(Original)
Agréable parc familiale de quartier où le monde se retrouve avant le souper."
7,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUN3LTREbm9RRRAB,ronny deniger,https://www.google.com/maps/contrib/118224513270492386148/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.210378,3.0,170,"(Translated by Google) Small park for very small children located at the back of the Sh Hubert plaza ...

(Original)
Petit parc aménagé pour les tout petit situer a l arrière de la plaza Sh Hubert..."
8,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUNBXzlIR3NBRRAB,Louis-Philippe St-Laurent,https://www.google.com/maps/contrib/105892397928096491598/reviews?hl=en-CA,4 years ago,2021-06-22 18:11:22.211348,5.0,60,"(Translated by Google) Beautiful game modules, small watering can in the summer, enough shade to read quietly.

(Original)
Beaux modules de jeux, petit arrosoir l'été, assez d'ombre pour lire tranquillement."
9,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSURReWZqWjhRRRAB,Damir Metz-Fleury,https://www.google.com/maps/contrib/109253669302599270424/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.212265,5.0,147,"(Translated by Google) Nice little park. 2 playgrounds for children. Picnic areas.

(Original)
Beau petit parc. 2 terrains de jeux pour les enfants. Aires de pique-nique."
10,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUM4eWRfaW13RRAB,laurent dartois,https://www.google.com/maps/contrib/103277469281143474341/reviews?hl=en-CA,11 months ago,2021-06-22 18:11:22.213182,5.0,54,"(Translated by Google) Very nice park

(Original)
Parc très agréable"
11,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSURnckplMzF3RRAB,Linda Bachellerie,https://www.google.com/maps/contrib/115311525858550842738/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.214097,3.0,69,"(Translated by Google) Small park

(Original)
Petit parc"
12,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSURTNVp1ejh3RRAB,Nursimlu Nathanael,https://www.google.com/maps/contrib/113645051711636041780/reviews?hl=en-CA,5 months ago,2021-06-22 18:11:22.215009,4.0,21,
13,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUNDcm9XMThRRRAB,Julien Marin Lévesque,https://www.google.com/maps/contrib/105443697320451052824/reviews?hl=en-CA,9 months ago,2021-06-22 18:11:22.216028,5.0,0,
14,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUM0dC1TQjhRRRAB,Moises Garcia,https://www.google.com/maps/contrib/110870458211821281430/reviews?hl=en-CA,2 years ago,2021-06-22 18:11:22.216938,5.0,32,
15,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUN3LTVQODhBRRAB,Charlyne Carrier,https://www.google.com/maps/contrib/101597180992233389118/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.217850,4.0,48,
16,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUMweU9LUzd3RRAB,Branda Nhem,https://www.google.com/maps/contrib/101908862737990258047/reviews?hl=en-CA,a year ago,2021-06-22 18:11:22.218763,5.0,11,
17,Parc Saint-Édouard,ChdDSUhNMG9nS0VJQ0FnSUNBOV9UYzRnRRAB,Stephane Daigneault,https://www.google.com/maps/contrib/107806726756705364941/reviews?hl=en-CA,3 years ago,2021-06-22 18:11:22.219711,3.0,10,
