,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSURLaHFMdklREAE,ruth tewah,https://www.google.com/maps/contrib/103972443637744112960/reviews?hl=en-CA,a month ago,2021-06-24 15:34:30.879312,5.0,18,"Love the park. It's clean, secured and has lots of things kids can play with"
1,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUNpcU5tSWNnEAE,Darsh Media,https://www.google.com/maps/contrib/109860032718378061815/reviews?hl=en-CA,8 months ago,2021-06-24 15:34:30.880328,4.0,13,"Kids friendly ,Nice for jogging , football ground is there and lots of trees !"
2,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUN5Z0p6YTRnRRAB,Vernon Jacinto,https://www.google.com/maps/contrib/106746866187181384552/reviews?hl=en-CA,5 months ago,2021-06-24 15:34:30.881261,4.0,89,Great place for kids to play.
3,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUN5emQ2MF9BRRAB,Amalia Nitsiou,https://www.google.com/maps/contrib/101877248573046819682/reviews?hl=en-CA,4 months ago,2021-06-24 15:34:30.882195,5.0,4,Hidden gem!
4,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUNTd3FPbWR3EAE,mhana sam,https://www.google.com/maps/contrib/112887890227005219845/reviews?hl=en-CA,6 months ago,2021-06-24 15:34:30.883120,5.0,53,Cleans practice to walk
5,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUQ4OGNTUnJRRRAB,Um al Abd,https://www.google.com/maps/contrib/110008555594335777704/reviews?hl=en-CA,11 months ago,2021-06-24 15:34:30.884227,4.0,11,Calm park
6,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSURVMnF1UnpBRRAB,chet teak,https://www.google.com/maps/contrib/109425655519994559174/reviews?hl=en-CA,a year ago,2021-06-24 15:34:30.886741,3.0,20,So so
7,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUNxM2VxZVJBEAE,Richard Legault,https://www.google.com/maps/contrib/111267474272354945591/reviews?hl=en-CA,a week ago,2021-06-24 15:34:30.887761,5.0,1,C'est un endroit tres relax et pas trop grand et surtout pas pleins de gens. J'aime beaucoup passer un apres-midi dans ce parc.
8,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSURLanJQanpBRRAB,Jonathan Montano (Hackcent0s),https://www.google.com/maps/contrib/102943667180285985097/reviews?hl=en-CA,a month ago,2021-06-24 15:34:30.888784,5.0,13,"(Translated by Google) It is a beautiful park, the squirrels are very affectionate.

(Original)
C'est un parc magnifique, les écureuils sont très affectueux."
9,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSURDaGFqOF9BRRAB,Francisca Alfaro,https://www.google.com/maps/contrib/112344495243560812414/reviews?hl=en-CA,8 months ago,2021-06-24 15:34:30.889783,5.0,24,"(Translated by Google) You can take a quiet walk, watch the football they play on the fields, very nice and clean.

(Original)
Puedes hacer una caminata tranquilo, ver el fútbol que practican en las canchas, muy agradable y limpio."
10,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUM4cHZDQmNBEAE,Hatim Belgharbi,https://www.google.com/maps/contrib/109902539931286609805/reviews?hl=en-CA,11 months ago,2021-06-24 15:34:30.890874,5.0,48,"(Translated by Google) Quite quiet, and the surface very irregular with uneven. Quite cool. Small soccer field too.

(Original)
Assez tranquille, et la surface très irrégulière avec des dénivelés. Assez cool. Petit terrain e soccer aussi."
11,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUM4akxMWFVnEAE,lydie la luchadora !Pintro,https://www.google.com/maps/contrib/102320190721921667791/reviews?hl=en-CA,11 months ago,2021-06-24 15:34:30.892098,5.0,128,"(Translated by Google) Good park for family fun very clean very quiet and safe. I suggest you go with your loved ones

(Original)
Bon parc pour se divertir en famille tres propre tres calme et securitaire.je vous sugeere d y alleravec vos proches"
12,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUN5dTZyaHdBRRAB,Yodson Adama,https://www.google.com/maps/contrib/109184270361245291314/reviews?hl=en-CA,4 months ago,2021-06-24 15:34:30.893026,4.0,1,"(Translated by Google) Well appointed and clean

(Original)
Bien aménagé et propre"
13,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSURDMW9HbUVBEAE,Marina Ave,https://www.google.com/maps/contrib/113358532295659436264/reviews?hl=en-CA,8 months ago,2021-06-24 15:34:30.893948,5.0,22,"(Translated by Google) very large, clean, lots of benches

(Original)
très vaste, propre, beaucoup de bancs"
14,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUNVNThYdW53RRAB,nour eddine Debdoubi,https://www.google.com/maps/contrib/115092986003550743759/reviews?hl=en-CA,a year ago,2021-06-24 15:34:30.894869,5.0,60,"(Translated by Google) I like this .calme park and we can play soccer

(Original)
J'aime ce parc .calme et on peu y jouer du soccer"
15,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSURvb01TWWJBEAE,Christiane Pilon,https://www.google.com/maps/contrib/116608562762766533297/reviews?hl=en-CA,2 years ago,2021-06-24 15:34:30.895786,5.0,70,"(Translated by Google) Reamenagement .. perfect for children

(Original)
Reamenagement ..parfait ppir les enfants"
16,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSURjNjdYNmdnRRAB,Zachary Poirier,https://www.google.com/maps/contrib/107787594797524802480/reviews?hl=en-CA,a year ago,2021-06-24 15:34:30.897000,5.0,27,"(Translated by Google) Dirty park for hide and seek parties

(Original)
Sale parc pour les parties de cache cache"
17,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSUNRN2ZtSDJ3RRAB,Rachid Moulay,https://www.google.com/maps/contrib/103188429791147553941/reviews?hl=en-CA,3 years ago,2021-06-24 15:34:30.897963,5.0,95,"(Translated by Google) A peaceful place to relax and go out with the family, with games for children

(Original)
Une place paisible pour se detendre et sortir en famille , avec des jeux pour enfants"
18,Parc Sainte-Odile,ChZDSUhNMG9nS0VJQ0FnSUMweS1tNWJ3EAE,Ryan Remati,https://www.google.com/maps/contrib/113131815450908966741/reviews?hl=en-CA,a year ago,2021-06-24 15:34:30.898895,5.0,51,"(Translated by Google) Big park

(Original)
Grand parc"
19,Parc Sainte-Odile,ChdDSUhNMG9nS0VJQ0FnSURReXRHVTVRRRAB,M P,https://www.google.com/maps/contrib/110305439896677150752/reviews?hl=en-CA,3 years ago,2021-06-24 15:34:30.900073,4.0,46,"(Translated by Google) Well maintained.

(Original)
Bien entretenu."
