,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Sauvé,ChZDSUhNMG9nS0VJQ0FnSURjeE1xbmFREAE,Ali Musawi,https://www.google.com/maps/contrib/113268139477031179791/reviews?hl=en-CA,10 months ago,2021-06-22 19:08:02.414581,4.0,7,I live opposite this park and it is a great outlet for the kids.
1,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSURRcUw3SG1RRRAB,Miryam El,https://www.google.com/maps/contrib/108794676577705460471/reviews?hl=en-CA,2 years ago,2021-06-22 19:08:02.425766,4.0,56,Lovely parc. Has a swimming pool for toddlers not for the bigger children. Slide is for 3+ not much for toddlers to play on.
2,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSURBanBDd293RRAB,Anderson Horrocks,https://www.google.com/maps/contrib/101956147475435849706/reviews?hl=en-CA,3 years ago,2021-06-22 19:08:02.427484,4.0,8,Fun place for Dogs and great for Kids.
3,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNvX09pU2tnRRAB,charles cousineau,https://www.google.com/maps/contrib/110447988935526395190/reviews?hl=en-CA,2 years ago,2021-06-22 19:08:02.429173,5.0,104,Hockey is good! 2 ice!!
4,Parc Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNzdFk3cUxnEAE,Abdel Kiki,https://www.google.com/maps/contrib/103368912543136643722/reviews?hl=en-CA,a year ago,2021-06-22 19:08:02.430873,5.0,118,I like all parks in Montreal
5,Parc Sauvé,ChZDSUhNMG9nS0VJQ0FnSURBZ3FleVpBEAE,AveCésar P11,https://www.google.com/maps/contrib/101426104771388513458/reviews?hl=en-CA,2 years ago,2021-06-22 19:08:02.432453,4.0,85,"Baseball, tennis or only jogging"
6,Parc Sauvé,ChZDSUhNMG9nS0VJQ0FnSUNJajVyNkpBEAE,Mike Jo,https://www.google.com/maps/contrib/111451274695072214275/reviews?hl=en-CA,2 years ago,2021-06-22 19:08:02.433390,4.0,57,Nice place
7,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSURBNV9URGh3RRAB,HAVA Ozturk,https://www.google.com/maps/contrib/112761852285956925565/reviews?hl=en-CA,3 years ago,2021-06-22 19:08:02.434311,4.0,64,Nice and peaceful
8,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSURBNTQ2di13RRAB,Francois PAUL Rose-Laure (LAURY),https://www.google.com/maps/contrib/113237134586276935596/reviews?hl=en-CA,3 years ago,2021-06-22 19:08:02.435301,5.0,29,Nice
9,Parc Sauvé,ChdDSUhNMG9nS0VJQ0FnSUNRdnBDOTV3RRAB,Nick Karavasilis,https://www.google.com/maps/contrib/109915691474297843380/reviews?hl=en-CA,3 years ago,2021-06-22 19:08:02.436269,3.0,70,Friendly
