,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSUNRMF8yMGd3RRAB,Jake Wong,https://www.google.com/maps/contrib/107062559260029866297/reviews?hl=en-CA,3 years ago,2021-06-22 19:10:36.854705,4.0,225,"Great park, with few free parking spots. A good quiet corner."
1,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSUQwanFQeGtBRRAB,Simmy Luna,https://www.google.com/maps/contrib/114124772470984280170/reviews?hl=en-CA,a year ago,2021-06-22 19:10:36.855779,1.0,117,Very little
2,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSUNDOEppTDVnRRAB,Alexandra Tremblay,https://www.google.com/maps/contrib/100744846399981298259/reviews?hl=en-CA,10 months ago,2021-06-22 19:10:36.856703,3.0,20,"(Translated by Google) Parts of the bridge in the module has been broken for at least 6 months: / not super safe.

(Original)
Des pièces du pont dans le module est brisé depuis au moins 6 mois :/ pas super sécuritaire."
3,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSUNpeGRUMG93RRAB,Martin Milhomme,https://www.google.com/maps/contrib/110821751793224474756/reviews?hl=en-CA,7 months ago,2021-06-22 19:10:36.857626,5.0,412,"(Translated by Google) A perfect park for children

(Original)
Un parc parfait pour les enfants"
4,Parc Sicard,ChZDSUhNMG9nS0VJQ0FnSURVb1oyWVd3EAE,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,a year ago,2021-06-22 19:10:36.858547,3.0,455,"(Translated by Google) Beautiful little park where to bring the children play.

(Original)
Beau petit parc où amener les enfants jouer."
5,Parc Sicard,ChZDSUhNMG9nS0VJQ0FnSUNrbXREWFBnEAE,Kim Lessard,https://www.google.com/maps/contrib/115681858764413577139/reviews?hl=en-CA,2 years ago,2021-06-22 19:10:36.859467,4.0,40,"(Translated by Google) Clean and fun for kids from 6 to 12 years old.

(Original)
Propre et amusant pour les enfants de 6 a 12 ans."
6,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSURBdk82d3NnRRAB,Amelie Roy,https://www.google.com/maps/contrib/114848378497260401915/reviews?hl=en-CA,3 years ago,2021-06-22 19:10:36.860387,5.0,19,"(Translated by Google) Small, pleasant, well-shaded park. Please note, the structure is not suitable for children under 4 years old. Adjacent to a beautiful green alley.

(Original)
Petit parc agréable bien ombragé. Attention, la structure n'est pas convenable pour les moins de 4 ans. Adjacent à une belle ruelle verte."
7,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSURrXzhTMmtnRRAB,g f,https://www.google.com/maps/contrib/102495665613424539728/reviews?hl=en-CA,a year ago,2021-06-22 19:10:36.861307,5.0,99,"(Translated by Google) very pleasant

(Original)
tres agreable"
8,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSURnaXM2VDRRRRAB,Daniil Petrenyov,https://www.google.com/maps/contrib/107806234592328757697/reviews?hl=en-CA,3 years ago,2021-06-22 19:10:36.862228,4.0,39,"(Translated by Google) A good place to stay while walking with a child. While the child is frolicing on the playground, there is the opportunity to read books that lie on a common shelf behind the glass.

(Original)
Хооошее место что бы остановиться во время прогулки с ребёнком. Пока ребёнок резвится на площадке есть возможность почитать книжки, которые лежат на общей полочеке за стеклом."
9,Parc Sicard,ChdDSUhNMG9nS0VJQ0FnSUNBckxfT2pnRRAB,Marshall roussel,https://www.google.com/maps/contrib/102343272352647405655/reviews?hl=en-CA,3 years ago,2021-06-22 19:10:36.863181,5.0,19,"(Translated by Google) Very nice quiet park

(Original)
Très jolie parc tranquil"
