,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSUN3X08yQ3ZBRRAB,Guy-Henri Godin,https://www.google.com/maps/contrib/108254524443558220026/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.720253,4.0,136,"(Translated by Google) Ideal for listening to chamber music by an artist or a group. Can accommodate approximately one hundred (100) people. Not enough seats or any games for the children. No public toilet or watering hole. Perfect for small gatherings.

(Original)
Ideal pour ecouter de la musique de chambre par un artiste ou un groupe. Peut accueillir environ cent (100) personnes. Pas assez de sieges ni aucun jeu pour les enfants. Pas de toilette publique ni d'abreuvoir. Parfait pour les petits rassemblements."
1,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSUNBM3JlSURnEAE,Gerald Chartre,https://www.google.com/maps/contrib/100827137481480453826/reviews?hl=en-CA,3 years ago,2021-06-22 19:22:59.721249,4.0,149,"(Translated by Google) Nice nice place with theater on Sundays in summer

(Original)
Belle endroit sympathique avec du théâtre les dimanche en été"
2,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSURBeGJ1RzdBRRAB,Dany Faulkner,https://www.google.com/maps/contrib/112584651003799024767/reviews?hl=en-CA,3 years ago,2021-06-22 19:22:59.722180,4.0,103,
3,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSURnNkpxNTN3RRAB,Al Becker,https://www.google.com/maps/contrib/117111920127200778607/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.723945,4.0,35,
4,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSURvdnZQVjB3RRAB,Aroh Wendelin,https://www.google.com/maps/contrib/105570538336922967857/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.724890,5.0,112,
5,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSUNnMUlueHNnRRAB,Temirmalik Shomansurov,https://www.google.com/maps/contrib/109032755767437280315/reviews?hl=en-CA,3 years ago,2021-06-22 19:22:59.725818,5.0,79,
6,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSUQwdmNXRmtBRRAB,Jyppy Violette,https://www.google.com/maps/contrib/111449139330742837461/reviews?hl=en-CA,a year ago,2021-06-22 19:22:59.726740,5.0,89,
7,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSUNReTZ6YWl3RRAB,Reza M,https://www.google.com/maps/contrib/116998590855273655047/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.727856,5.0,4,
8,Parc Stinson,ChdDSUhNMG9nS0VJQ0FnSURnekp6bmlRRRAB,Vladimir Yesin,https://www.google.com/maps/contrib/104255713629525502901/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.729016,5.0,34,
9,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSURrbDcza2Z3EAE,Daniel Froment,https://www.google.com/maps/contrib/102097940058450704981/reviews?hl=en-CA,a year ago,2021-06-22 19:22:59.729980,5.0,46,
10,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSUNNaWN5UWNnEAE,Catherine Mbakop,https://www.google.com/maps/contrib/110805273815819795594/reviews?hl=en-CA,a year ago,2021-06-22 19:22:59.731091,4.0,0,
11,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSURza0tDNVhBEAE,Omar Guillermo Chávez Vázquez,https://www.google.com/maps/contrib/110801936278225195954/reviews?hl=en-CA,a year ago,2021-06-22 19:22:59.732232,5.0,2,
12,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSUNxMjhtMFd3EAE,Anthony Ecclissi,https://www.google.com/maps/contrib/107017846241768595263/reviews?hl=en-CA,2 days ago,2021-06-22 19:22:59.733261,5.0,7,
13,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSURBZzhtaFdBEAE,j-man37 j-man37,https://www.google.com/maps/contrib/105072980213128574147/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.734350,2.0,7,
14,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSUNRb1pfd0tREAE,Jean-Philippe Dupont,https://www.google.com/maps/contrib/107165947296682452548/reviews?hl=en-CA,3 years ago,2021-06-22 19:22:59.735476,4.0,2,
15,Parc Stinson,ChZDSUhNMG9nS0VJQ0FnSUNZc1pfekl3EAE,Mehdi Lahmar,https://www.google.com/maps/contrib/112158236273103016202/reviews?hl=en-CA,2 years ago,2021-06-22 19:22:59.736416,5.0,31,
