,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSURLdDZDSkpREAE,Hesham “Hechkok” Elsaghir,https://www.google.com/maps/contrib/111015077407091455824/reviews?hl=en-CA,a month ago,2021-06-22 19:24:49.447830,4.0,114,"A nice hang-out; a great view and you can enjoy the sunset, a bit crowded"
1,Parc Stoney Point,ChdDSUhNMG9nS0VJQ0FnSURLeHVfb2hBRRAB,biswajit chatterjee,https://www.google.com/maps/contrib/108278748098937624990/reviews?hl=en-CA,a month ago,2021-06-22 19:24:49.448830,5.0,84,Very nice place with full majesty of St.Lawrence at view..Decent number of places for sitting..toilet available..not far from Metro station.
2,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSUR5NlAzWlp3EAE,Mia Costamis,https://www.google.com/maps/contrib/103661338925917875377/reviews?hl=en-CA,3 months ago,2021-06-22 19:24:49.449763,5.0,30,Connecting from Parc St. Louis - just perfect for a long refreshing walk. Pathway for pedestrians cleared off and cross country path.
3,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSURTMG9iS0xnEAE,Ramon Dewendt,https://www.google.com/maps/contrib/117786064466835101533/reviews?hl=en-CA,6 months ago,2021-06-22 19:24:49.450856,5.0,9,Very beautiful park first time in there very quiet and peaceful can't wait for Spring to visit it again
4,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSUNxMXBxZUp3EAE,Steven Vinetti-Huot,https://www.google.com/maps/contrib/111372816005442665592/reviews?hl=en-CA,2 weeks ago,2021-06-22 19:24:49.451809,5.0,35,Love taking walks along the water this is a great location!
5,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSUM4alBITEZ3EAE,AnaGyslinn Danae,https://www.google.com/maps/contrib/102031936561559019370/reviews?hl=en-CA,11 months ago,2021-06-22 19:24:49.452806,5.0,79,It's a lovely walk/bike ride along the riverside. Some chairs were placed here and there to take the sun and appreciate the nice view. There's even people fishing... Lovely place!
6,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSUNLdWJ2U0hREAE,Haithem Ben Aissa,https://www.google.com/maps/contrib/103222465824187306377/reviews?hl=en-CA,2 months ago,2021-06-22 19:24:49.453946,5.0,107,Beautiful place to spend the day and have a piknic
7,Parc Stoney Point,ChdDSUhNMG9nS0VJQ0FnSUNxdXNDb2h3RRAB,Mohan Isaac,https://www.google.com/maps/contrib/111273690536310918501/reviews?hl=en-CA,2 weeks ago,2021-06-22 19:24:49.454910,5.0,6,"Linear park along the lake, no parking available
Walkable from dairy queen on 32nd and saint Joseph"
8,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSUNLM291OEZ3EAE,Marty Gregory,https://www.google.com/maps/contrib/117678122681464263882/reviews?hl=en-CA,2 months ago,2021-06-22 19:24:49.455843,5.0,161,"Great place for walking, biking, or just hanging."
9,Parc Stoney Point,ChZDSUhNMG9nS0VJQ0FnSURFLXU3dFl3EAE,S V,https://www.google.com/maps/contrib/106258117936923005231/reviews?hl=en-CA,2 years ago,2021-06-22 19:24:49.456991,5.0,312,Beautiful place to walk or picnic or cycle. Relaxing and nostalgic
10,Parc Stoney Point,ChdDSUhNMG9nS0VJQ0FnSURLM2V5cjNRRRAB,Vincent Mlakar,https://www.google.com/maps/contrib/118417781153678559508/reviews?hl=en-CA,a month ago,2021-06-22 19:24:49.458067,3.0,10,Way too many people on weekends and no distanciation no police monitoring lots of crowds and large multi family gatherings . So much for being sensitized to the pandemic
