,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNLcE83WFlBEAE,Wilfred Liu,https://www.google.com/maps/contrib/113675545943123517144/reviews?hl=en-CA,2 months ago,2021-06-22 19:28:53.032793,5.0,179,Very safe and user friendly.
1,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURZMHRINElnEAE,Amir Taherizadeh,https://www.google.com/maps/contrib/106101719781226294970/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.033874,5.0,14,A cozy park with lots of fun equipment for little ones to have fun. Best is it has fences around it so they don’t run into the nearby streets.
2,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUQ4My1DMzR3RRAB,Jim H,https://www.google.com/maps/contrib/108471213000618083766/reviews?hl=en-CA,10 months ago,2021-06-22 19:28:53.034797,5.0,11,Plenty of space and fun equipment!
3,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNNOHNpQjFBRRAB,Ramses Premier,https://www.google.com/maps/contrib/115120214006643606210/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.035731,5.0,86,There is a pokestop there. Small park with few features. Its nice.
4,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURVcGFTekdREAE,Frodo K,https://www.google.com/maps/contrib/117312232609171224072/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.036698,4.0,45,"Usually not very crowded, great place for kids aged 2 to 6"
5,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURreVkyZmxnRRAB,Bradley Ostheimer,https://www.google.com/maps/contrib/111638119193293348205/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.037904,4.0,228,"Nice neighborhood park for kids. Lots of items to climb on, swing on, hang on and run around on."
6,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUMwMlBHMHJRRRAB,Vitalii Lushyn,https://www.google.com/maps/contrib/118083813794557836385/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.038860,5.0,89,"Small and cozy park, good place for kids"
7,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNBNy1IQ3ZBRRAB,Jason Dawes,https://www.google.com/maps/contrib/116932854831601763697/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.039784,3.0,22,Small park good for little kids five and under
8,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURBblpTQnhnRRAB,Tony Sperduti,https://www.google.com/maps/contrib/101727045281173168948/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.040699,3.0,68,Small park with a well equipped playground for kids fenced for the kids to be safe
9,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURBOFBQLTdBRRAB,Gianni Plescia,https://www.google.com/maps/contrib/112966956287327891004/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.041650,5.0,176,Love it here. Kids love this park
10,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNncWViVldREAE,HUnewearl Sue,https://www.google.com/maps/contrib/107633268788044341076/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.042574,4.0,140,"One of the climbers is damaged upon my visit on the 18th of April 2017, I'll follow it up in a week just to update my review, but still a nice park"
11,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNZaThQTnBnRRAB,Rosa Isela,https://www.google.com/maps/contrib/103243460534498596292/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.043490,5.0,281,Perfect place for children.
12,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURVc3RTOHBBRRAB,Karim Amrani,https://www.google.com/maps/contrib/114060991592136995221/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.044657,4.0,96,Missing rides...
13,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNRNTU2ajR3RRAB,flavius mateus,https://www.google.com/maps/contrib/115558457908445885857/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.045818,5.0,101,Nice
14,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURRMS1DeDFBRRAB,Frishops Canada,https://www.google.com/maps/contrib/116396532041009201858/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.046816,5.0,21,Nice park in the neighborhood.
15,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNBdnMyMFJREAE,Dima Moraru,https://www.google.com/maps/contrib/106254849478555776050/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.047928,4.0,426,Great place
16,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUN3X01UdnVRRRAB,Van Z.,https://www.google.com/maps/contrib/116616074204916631485/reviews?hl=en-CA,5 years ago,2021-06-22 19:28:53.048889,5.0,220,It's a nice spot in summer
17,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNzNktMYkxBEAE,Mégane Chauvette,https://www.google.com/maps/contrib/107776617448076048317/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.049849,5.0,19,"(Translated by Google) Beautiful park near a pokémon go gym!

(Original)
Beau parc près d'un gym pokémon go!"
18,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURrNTc2UTBnRRAB,Louis René Dussault,https://www.google.com/maps/contrib/108054064987948342127/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.050847,5.0,280,"(Translated by Google) Beautiful park for my grandchildren

(Original)
Beau parc .pour mes petits enfants"
19,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNBX0pyUmR3EAE,Natacha Migneault,https://www.google.com/maps/contrib/111379591097821813084/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.051831,5.0,102,"(Translated by Google) Beautiful little park renovated with a lot of challenge for the little ones. Fully fenced, picnic tables, mature trees with lots of shade.

(Original)
Beau petit parc refait à neuf avec beaucoup de défi pour les tous petits. Entièrement clôturé, tables de pique-nique, arbres matures avec beaucoup d'ombre."
20,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNBOS1PWUVREAE,Claudia DuCrKr,https://www.google.com/maps/contrib/100140306781817731846/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.052757,5.0,302,"(Translated by Google) Beautiful by the river!

(Original)
Lindo a beira Rio!"
21,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNnLWFybWFREAE,Denise beauséjour,https://www.google.com/maps/contrib/116671043272872622676/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.053762,4.0,144,"(Translated by Google) Beautiful relaxing view has a pond and we can see ducks

(Original)
Belle vue reposant possede un etang et on voit des canard"
22,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURVLU42c193RRAB,Marie-Eve Grenier,https://www.google.com/maps/contrib/117387063203527345565/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.054694,5.0,20,
23,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNNa2I2TS13RRAB,Olga maslenicova,https://www.google.com/maps/contrib/112116551144651236257/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.055617,5.0,10,
24,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURZMk1uaS1BRRAB,Troy Tagg,https://www.google.com/maps/contrib/105538356966069766350/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.056539,3.0,25,
25,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURZLTdiUS1BRRAB,Alexandria Benwell,https://www.google.com/maps/contrib/110298243234780943840/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.057590,5.0,0,
26,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUM0bE5PMzd3RRAB,Eugenia Negruta,https://www.google.com/maps/contrib/116012950416084986719/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.058534,5.0,51,
27,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURVdjd2aDVnRRAB,Sarah Thériault,https://www.google.com/maps/contrib/109262294897703263277/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.059459,4.0,1,
28,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURRN2RtRDRBRRAB,Kieran Snagg,https://www.google.com/maps/contrib/109241328869154878519/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.060513,4.0,0,
29,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNRamJ2UzNBRRAB,Olivier Godin,https://www.google.com/maps/contrib/109348259271885285953/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.061905,4.0,11,
30,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNBckxDanZRRRAB,Rafael Alencar,https://www.google.com/maps/contrib/117560587026943702761/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.062850,5.0,49,
31,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURDeU11cXVnRRAB,Marie Eve Descoteaux,https://www.google.com/maps/contrib/100501453430172759019/reviews?hl=en-CA,9 months ago,2021-06-22 19:28:53.063934,5.0,1,
32,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURVNGFxTnVnRRAB,Roman Goldur,https://www.google.com/maps/contrib/118340555490669356986/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.064990,5.0,0,
33,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUQwbE1qT3VRRRAB,dandoun ko,https://www.google.com/maps/contrib/115082607924350196780/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.065920,5.0,10,
34,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNncnNTYXRBRRAB,Steve Dell,https://www.google.com/maps/contrib/116954108539482285880/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.066945,5.0,0,
35,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURrOUxuTXN3RRAB,Alexandre Belanger (AethorXenor),https://www.google.com/maps/contrib/112871201924219634264/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.067907,5.0,7,
36,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUMwbUlPa3JBRRAB,Rick Vo,https://www.google.com/maps/contrib/116050083542823834615/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.068899,4.0,246,
37,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURDakxyQW5nRRAB,François Paquette,https://www.google.com/maps/contrib/117527517012292582111/reviews?hl=en-CA,9 months ago,2021-06-22 19:28:53.070117,3.0,9,
38,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURndDctSG5nRRAB,Cebotaru Vladislav,https://www.google.com/maps/contrib/111651854925621253061/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.071502,5.0,3,
39,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSURZMHV6Zm13RRAB,Stephane Belleau,https://www.google.com/maps/contrib/111596192399021059002/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.072438,4.0,1,
40,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNVMjhXaG13RRAB,Sue Krueger13,https://www.google.com/maps/contrib/102190639650462796366/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.073425,2.0,5,
41,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNJLVpLVGtnRRAB,alexandre loof,https://www.google.com/maps/contrib/116841223707447851687/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.074361,4.0,62,
42,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNxOXEzdGhnRRAB,Yves Nz.,https://www.google.com/maps/contrib/105855603325784996303/reviews?hl=en-CA,2 weeks ago,2021-06-22 19:28:53.075297,5.0,11,
43,Parc Thaïs-Lacoste,ChdDSUhNMG9nS0VJQ0FnSUNBekl6VmdRRRAB,Erwan Leconte,https://www.google.com/maps/contrib/110571554045628644527/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.076210,5.0,1,
44,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURBMzU3R2Z3EAE,lynxking03,https://www.google.com/maps/contrib/107376623159657172791/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.077125,5.0,18,
45,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURjb3AtemZREAE,Véronique Aumais,https://www.google.com/maps/contrib/101120177089128284574/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.078661,4.0,42,
46,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURRb0wtSWVnEAE,Mathieu Beaulieu,https://www.google.com/maps/contrib/102563982888983820138/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.079630,4.0,48,
47,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNDaDVPNGRnEAE,Melissa Pinkham,https://www.google.com/maps/contrib/112949216736197622955/reviews?hl=en-CA,9 months ago,2021-06-22 19:28:53.080655,5.0,0,
48,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUM4M0p5R1lBEAE,Kevin Leroux,https://www.google.com/maps/contrib/103194115545665306632/reviews?hl=en-CA,11 months ago,2021-06-22 19:28:53.081589,4.0,16,
49,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNTcTV1X1ZBEAE,Audrey Desveaux,https://www.google.com/maps/contrib/100403996793251078008/reviews?hl=en-CA,6 months ago,2021-06-22 19:28:53.082528,5.0,4,
50,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUMwOVAzRVVREAE,Jean-Francois Lambert,https://www.google.com/maps/contrib/105634608922903647642/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.083468,5.0,24,
51,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURneGZDaVVREAE,j j,https://www.google.com/maps/contrib/105108936021564209167/reviews?hl=en-CA,3 years ago,2021-06-22 19:28:53.084491,5.0,0,
52,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURROHEtRVNREAE,Adolfo Cuevas Rios,https://www.google.com/maps/contrib/110923653011068741416/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.085527,4.0,23,
53,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNNMS1Mdk9nEAE,Sam Tanedjikov,https://www.google.com/maps/contrib/102575871963408464481/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.086524,4.0,1,
54,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURDcGZYUE5nEAE,Gulbarchin Mambetalieva,https://www.google.com/maps/contrib/118014877810490948755/reviews?hl=en-CA,8 months ago,2021-06-22 19:28:53.087478,5.0,19,
55,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURncy1uTktBEAE,Jeff Armstrong,https://www.google.com/maps/contrib/106075187632343475545/reviews?hl=en-CA,5 years ago,2021-06-22 19:28:53.088422,1.0,9,
56,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURVNHZlTklBEAE,Terry Kuang,https://www.google.com/maps/contrib/116982338521913994296/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.089374,5.0,2,
57,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURndmZUekRnEAE,Donia Trimech,https://www.google.com/maps/contrib/107700881672373981983/reviews?hl=en-CA,4 years ago,2021-06-22 19:28:53.090293,4.0,20,
58,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURLdllyOUNREAE,Ayoub Saadi,https://www.google.com/maps/contrib/101719907587794717668/reviews?hl=en-CA,a month ago,2021-06-22 19:28:53.091456,5.0,0,
59,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURnOGRyQ0NBEAE,Nicole Hagabimana,https://www.google.com/maps/contrib/112198948485759484206/reviews?hl=en-CA,2 years ago,2021-06-22 19:28:53.092393,4.0,4,
60,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSURVN2NDNUNBEAE,Christine Dery,https://www.google.com/maps/contrib/113355513112030603376/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.093325,5.0,9,
61,Parc Thaïs-Lacoste,ChZDSUhNMG9nS0VJQ0FnSUNVczRxOUJ3EAE,karan sidhu,https://www.google.com/maps/contrib/117885341758141776517/reviews?hl=en-CA,a year ago,2021-06-22 19:28:53.094603,5.0,6,
