,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Thibodeau,ChZDSUhNMG9nS0VJQ0FnSUN3cDhXUFBBEAE,cain Kuri,https://www.google.com/maps/contrib/110380556470752948732/reviews?hl=en-CA,2 years ago,2021-06-22 19:33:13.435169,4.0,246,"Was nice, they have a piano."
1,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSUNpX2VENjRRRRAB,Kristin MH,https://www.google.com/maps/contrib/103514407592067584488/reviews?hl=en-CA,7 months ago,2021-06-22 19:33:13.436503,5.0,69,Pleasant small park between a church and a school
2,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSUNVc05QbV9RRRAB,MarieJo L'Espérance,https://www.google.com/maps/contrib/106413636653823980056/reviews?hl=en-CA,a year ago,2021-06-22 19:33:13.437591,5.0,8,"Great place in the summer with the swings and the pretty lights. Also, they occasionally have outdoor cinema"
3,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSURLcXJMZTFRRRAB,Marcus Bailey,https://www.google.com/maps/contrib/114409652737087689566/reviews?hl=en-CA,a month ago,2021-06-22 19:33:13.439803,3.0,25,Calm
4,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSUNROW82MXhBRRAB,Kevin Cyrenne,https://www.google.com/maps/contrib/101734428431321555439/reviews?hl=en-CA,3 years ago,2021-06-22 19:33:13.440920,5.0,79,"Nice little quiet place to eat lunch outside during the right seasons and even has shelter in the eventuality of rain, very nice little gem within the area."
5,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSUNRNmZidDVnRRAB,Eduard P,https://www.google.com/maps/contrib/117175608077979840632/reviews?hl=en-CA,4 years ago,2021-06-22 19:33:13.442059,4.0,171,Pleasant little park
6,Parc Thibodeau,ChZDSUhNMG9nS0VJQ0FnSURnNnNmbU1BEAE,Akram Zouggari,https://www.google.com/maps/contrib/100139247690066880554/reviews?hl=en-CA,2 years ago,2021-06-22 19:33:13.443114,5.0,31,"(Translated by Google) Much improvement this summer

(Original)
Beaucoup d'amélioration cet été"
7,Parc Thibodeau,ChZDSUhNMG9nS0VJQ0FnSUM0N3RUVFVBEAE,Joel Charette,https://www.google.com/maps/contrib/106603295970570775233/reviews?hl=en-CA,2 years ago,2021-06-22 19:33:13.444864,4.0,112,"(Translated by Google) Beautiful park, with several picnic tables

(Original)
Beau parc, avec plusieurs tables de pique nique"
8,Parc Thibodeau,ChdDSUhNMG9nS0VJQ0FnSUN3cjViTi1BRRAB,Marc Mantovani,https://www.google.com/maps/contrib/113114118473053640132/reviews?hl=en-CA,3 years ago,2021-06-22 19:33:13.446385,5.0,21,"(Translated by Google) Very beautiful with a lot of greenery and in front of a church! They put a lot of stuff for the summer too!

(Original)
Très beau avec beaucoup de verdure et devant une église! Ils mettent beaucoup de trucs pour l'été aussi!"
9,Parc Thibodeau,ChZDSUhNMG9nS0VJQ0FnSUNRek9iNWFBEAE,Karina Arreaga,https://www.google.com/maps/contrib/109031756758303087088/reviews?hl=en-CA,3 years ago,2021-06-22 19:33:13.447386,5.0,17,"(Translated by Google) Great, this summer there are a lot of improvements. More things to do with children and huts with swing are an exito.

(Original)
Super , cet été il y a beaucoup des améliorations. Plus de choses a faire avec les enfants et les cabanes avec les balançoire sont un éxito."
10,Parc Thibodeau,ChZDSUhNMG9nS0VJQ0FnSUNBNnFMdlJnEAE,Sébastien Clermont,https://www.google.com/maps/contrib/109470077928923416719/reviews?hl=en-CA,2 years ago,2021-06-22 19:33:13.448312,4.0,282,"(Translated by Google) Small park with a lot of life! Two streets are blocked off in the summer to provide facilities such as picnic tables, sandbox for children, hanging swings, 4-seater swings on wheels.
Some of these facilities are covered with a roof for shade or protection in the event of rain.
There is also an enclosure for playing field hockey (Cosom).

(Original)
Petit parc avec beaucoup de vie!  Deux rues sont bloquées l'été pour y mettre des installations telles des tables de picnic, bac à sable pour les enfants, balançoires suspendues, balançoires 4 places sur roues.
Certaines de ces installations sont recouvertes d'un toit pour y faire de l'ombre ou protéger en cas de pluie.
Il ya aussi une enceinte pour y jouer au hockey gazon (Cosom)."
