,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Thomas-Chapais,ChdDSUhNMG9nS0VJQ0FnSUNxX2FmbTBBRRAB,Rajinder Singh,https://www.google.com/maps/contrib/111909432183076682697/reviews?hl=en-CA,6 days ago,2021-06-22 19:36:20.569064,4.0,6,Nice place to visit! All this green is good for health! But feels like some trees could fell! Otherwise very cool!
1,Parc Thomas-Chapais,ChdDSUhNMG9nS0VJQ0FnSUR5bTVMRTd3RRAB,rrr312,https://www.google.com/maps/contrib/112243752495332421433/reviews?hl=en-CA,3 months ago,2021-06-22 19:36:20.570186,5.0,28,"Love this little piece of nature, it's not very big but walking peacefully between trees is always a good thing."
2,Parc Thomas-Chapais,ChdDSUhNMG9nS0VJQ0FnSURDbTR5S3JBRRAB,YU q,https://www.google.com/maps/contrib/102482492745883375114/reviews?hl=en-CA,8 months ago,2021-06-22 19:36:20.571110,5.0,33,Make you feel the natrue is just  at next door.
3,Parc Thomas-Chapais,ChZDSUhNMG9nS0VJQ0FnSUNpaWE3Y1FBEAE,QweGo 2014,https://www.google.com/maps/contrib/110860475149684577262/reviews?hl=en-CA,7 months ago,2021-06-22 19:36:20.572047,5.0,11,"It's a beautiful Park in the middle of Montreal, once there you forget the city things, it's like being in the wild."
4,Parc Thomas-Chapais,ChZDSUhNMG9nS0VJQ0FnSURDMk5DV1hnEAE,Isha Julien,https://www.google.com/maps/contrib/106780338071380357942/reviews?hl=en-CA,9 months ago,2021-06-22 19:36:20.573080,5.0,33,Full of nature's beautiful surprises! 💚
5,Parc Thomas-Chapais,ChZDSUhNMG9nS0VJQ0FnSURDNF9pWGNREAE,YacineCreations,https://www.google.com/maps/contrib/112556576891413294413/reviews?hl=en-CA,8 months ago,2021-06-22 19:36:20.574120,5.0,2,"Very nice place to run, full of pure oxygen for your tired lungs, good for kids too."
6,Parc Thomas-Chapais,ChdDSUhNMG9nS0VJQ0FnSUM4M19QeHBRRRAB,Vanessa E,https://www.google.com/maps/contrib/112514007890403330564/reviews?hl=en-CA,10 months ago,2021-06-22 19:36:20.575051,5.0,40,Peaceful. Great view for photos
7,Parc Thomas-Chapais,ChdDSUhNMG9nS0VJQ0FnSUNpbFAtNm1nRRAB,Eric Guerra-Grenier,https://www.google.com/maps/contrib/102979990454887937167/reviews?hl=en-CA,7 months ago,2021-06-22 19:36:20.575981,4.0,8,"Beautiful, but can be dangerous after dark"
8,Parc Thomas-Chapais,ChZDSUhNMG9nS0VJQ0FnSUQweElMNk5nEAE,Charlotte Demers Landry,https://www.google.com/maps/contrib/101192259546959396753/reviews?hl=en-CA,a year ago,2021-06-22 19:36:20.576911,4.0,33,Great forest! Cool to go for a walk or bike around. Ghere should be a little more security in it sometimes.
9,Parc Thomas-Chapais,ChZDSUhNMG9nS0VJQ0FnSUNZNDlmcVp3EAE,Alexandre Paquette,https://www.google.com/maps/contrib/101516016841159055113/reviews?hl=en-CA,2 years ago,2021-06-22 19:36:20.577839,5.0,70,"Big park. Has a large wooden area covering almost 3 street corners. With few different ""treks"". Has outdoor swings and slides and playing ground for kids. Has few areas with picnic tables."
