,review_for,review_id,username,user_url,published,date_retrieved,num_stars,num_reviews,review_text
0,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSUNxM01EaG5BRRAB,Annie B,https://www.google.com/maps/contrib/107114963821876216029/reviews?hl=en-CA,3 weeks ago,2021-06-22 19:32:00.372825,4.0,40,Fun little park. Currently one slide broken in the kiddie section.
1,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSUNxMmNqQ3B3RRAB,Michael Calder,https://www.google.com/maps/contrib/111850572736733420707/reviews?hl=en-CA,a week ago,2021-06-22 19:32:00.374171,4.0,1,Funtastic place to party...🙎🙍🤦🤷🙅🙆💁🙋🙇👈🌟✨⏰⏲️⏱️👉👄🗣️🤗🫂😗😙😚😘🤭🤭🤫💋😺😹😹😼
2,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUN3cExYbElnEAE,Thomas Hemmy,https://www.google.com/maps/contrib/104034806954519566820/reviews?hl=en-CA,3 years ago,2021-06-22 19:32:00.375581,5.0,150,Nice park
3,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNLcV9XMld3EAE,IpodApps,https://www.google.com/maps/contrib/105956974053177368456/reviews?hl=en-CA,2 months ago,2021-06-22 19:32:00.376872,3.0,4,Nice and quiet.
4,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURLcXJLTnRRRRAB,Marcus Bailey,https://www.google.com/maps/contrib/114409652737087689566/reviews?hl=en-CA,a month ago,2021-06-22 19:32:00.378144,4.0,25,Great location
5,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURTc2RTYjl3RRAB,Ender Da Don,https://www.google.com/maps/contrib/114544339520185611385/reviews?hl=en-CA,5 months ago,2021-06-22 19:32:00.379404,5.0,12,Nice ball court
6,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNpbGVDWFR3EAE,Karin Bruna,https://www.google.com/maps/contrib/113322395871201925820/reviews?hl=en-CA,7 months ago,2021-06-22 19:32:00.380658,5.0,75,Relaxing place!
7,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSUM4MDVUSGlBRRAB,Simon Lemire,https://www.google.com/maps/contrib/105034639454090187797/reviews?hl=en-CA,11 months ago,2021-06-22 19:32:00.382041,4.0,11,Not badly dooo
8,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUN3eE4yd2R3EAE,Patrick Grace,https://www.google.com/maps/contrib/107825974645265988703/reviews?hl=en-CA,3 years ago,2021-06-22 19:32:00.383670,4.0,16,The renovations done to the park in 2016 have made this one of the nicer parks for kids in the neighbourhood. A public toilet would boost this to 5 stars.
9,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNRa3I3ZUtnEAE,Nordinne BABOUCH,https://www.google.com/maps/contrib/107537867049437409495/reviews?hl=en-CA,4 years ago,2021-06-22 19:32:00.384667,4.0,117,"It is not perfect, but it getting better comparing to last year"
10,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNBbWZHbFZ3EAE,Guillaume “Guizmo” Landais,https://www.google.com/maps/contrib/113530598503624197846/reviews?hl=en-CA,3 years ago,2021-06-22 19:32:00.385752,4.0,26,Soccer and basketball field. Park for childrens. No bathroom nearby :(
11,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURBbmFIOWdBRRAB,Elvio Daniel,https://www.google.com/maps/contrib/112648194197569624563/reviews?hl=en-CA,4 years ago,2021-06-22 19:32:00.386765,4.0,19,Good place to play soccer with friends
12,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNncnBXc0pREAE,Maru Cisneros,https://www.google.com/maps/contrib/110697501997848489957/reviews?hl=en-CA,2 years ago,2021-06-22 19:32:00.387745,5.0,109,Always clean...
13,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNnaDlpTUhnEAE,Mun eeb,https://www.google.com/maps/contrib/105763720081692306426/reviews?hl=en-CA,3 years ago,2021-06-22 19:32:00.388719,4.0,249,It was good
14,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSUNBak5mM3NnRRAB,Nico Louis,https://www.google.com/maps/contrib/104492917395413118078/reviews?hl=en-CA,4 years ago,2021-06-22 19:32:00.389692,3.0,157,Not always clean
15,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURLdC1lODlBRRAB,Globule Agrumes,https://www.google.com/maps/contrib/108391267602700261080/reviews?hl=en-CA,a month ago,2021-06-22 19:32:00.390663,2.0,455,"(Translated by Google) This park is sometimes a little spooky, even in broad daylight ... Otherwise anyway the location and the glaring lack of maintenance make it a place that does not attract people to spend a lot of time there.

(Original)
Ce parc est parfois un peu sinistre, même en plein jour... Sinon de toute façon l'emplacement et le manque flagrant d'entretien en font un endroit qui n'attire pas les gens à y passer beaucoup de temps."
16,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSUNpcmZmSjR3RRAB,Sabrina Vallee,https://www.google.com/maps/contrib/118226492168021233549/reviews?hl=en-CA,7 months ago,2021-06-22 19:32:00.391637,3.0,7,"(Translated by Google) The water games are really pitiful. There are 2 things that throw water but there really isn't much that comes out. I have nothing to say about the modules, my children have fun when I go.

(Original)
Les jeux d'eau font vraiment pitié. Il y a 2 truc qui jette de l'eau mais il y en a vraiment pas beaucoup qui sort. J'ai rien a dire sur les modules, mes enfants ont du fun quand j'y vais."
17,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURpZ3BQdDZRRRAB,Mickaël B. (MikhaLOurs),https://www.google.com/maps/contrib/115145535088496529008/reviews?hl=en-CA,6 months ago,2021-06-22 19:32:00.392610,5.0,176,"(Translated by Google) Tennis, baseball, basketball, soccer ... Everything is there! Even children's games!

(Original)
Tennis, baseball, basketball, soccer... Tout y est ! Même des jeux pour enfants !"
18,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNLOWRiOWZnEAE,Dany Dubé pesant,https://www.google.com/maps/contrib/115901450013011760687/reviews?hl=en-CA,2 months ago,2021-06-22 19:32:00.393583,5.0,21,"(Translated by Google) Fast and always the choice

(Original)
Rapide et tjs du choix"
19,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUN5MWI2U0tREAE,Lycia Aziz,https://www.google.com/maps/contrib/101412081944103251815/reviews?hl=en-CA,4 months ago,2021-06-22 19:32:00.394573,5.0,2,"(Translated by Google) Good ice rink

(Original)
Bon patinoire"
20,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNLLWZmZ05BEAE,Martin Milhomme,https://www.google.com/maps/contrib/110821751793224474756/reviews?hl=en-CA,2 months ago,2021-06-22 19:32:00.395584,5.0,412,"(Translated by Google) Very family park

(Original)
Parc très familial"
21,Parc Théodore,ChZDSUhNMG9nS0VJQ0FnSUNDeS1mR1lBEAE,Ilias Bennani,https://www.google.com/maps/contrib/103235855765930732431/reviews?hl=en-CA,9 months ago,2021-06-22 19:32:00.396579,5.0,53,"(Translated by Google) Clean. Children love

(Original)
Propre. Les enfants adorent"
22,Parc Théodore,ChdDSUhNMG9nS0VJQ0FnSURNbXZUb253RRAB,Viau Christian,https://www.google.com/maps/contrib/117731061119029546001/reviews?hl=en-CA,a year ago,2021-06-22 19:32:00.397697,4.0,427,"(Translated by Google) Park my youth he recall good memories and also some bad .... Hochelaga-Maisonneuve in time it was not so much a paradise

(Original)
Parc de ma jeunesse il m'a rappeler des bons souvenirs et aussi certains mauvais.... Hochelaga-Maisonneuve dans le temps c'était pas tant un paradis"
